"file","date","time_point","species","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00001","12.04.2022","training","Ble",NA,26.608,0.773488372093023,33140.00466,963.372228488372,40.2510813382216,44.3838807801853,22.956043867758,15.1620830026604,128.756232313781,54.2151244170922,77.2944827586207,54.2248524061883,0.856896551724138
"sample_00002","12.04.2022","training","Ble",NA,15.328,0.445581395348837,44023.39146,1279.74975174419,52.1322738234557,50.6332530363729,31.8832318761497,22.9288149782063,142.509116673677,70.068630416755,94.6181818181818,71.8083413138828,0.651363636363636
"sample_00003","12.04.2022","training","Ble",NA,90.392,2.62767441860465,101822.38974,2959.95319011628,34.5856361840658,35.1083605379835,21.8370762288987,12.4601143448619,192.435729449296,70.9185455329125,163.685223880597,92.2753971048175,0.488731343283582
"sample_00004","12.04.2022","training","Ble",NA,116.824,3.39604651162791,127419.47514,3704.05450988372,35.5033350075988,35.861648377883,22.0057440827601,12.508923242716,200.660083024203,66.1578817676368,164.474457142857,87.1815343704854,0.485314285714286
"sample_00005","12.04.2022","training","Ble",NA,63.336,1.84116279069767,72691.81218,2113.134075,34.5013625365259,36.9537681467442,21.2847954044132,12.5755122430877,167.301491716261,76.5732191839955,113.215684210526,101.764820590906,0.689368421052632
"sample_00006","12.04.2022","training","Ble",NA,60.792,1.76720930232558,73598.27994,2139.48488197674,34.6385873785012,37.6995325901608,22.1132789040767,12.819933017825,178.033874440273,63.133065100803,135.961123595506,82.4344673808205,0.631460674157303
"sample_00007","12.04.2022","training","Ble",NA,24.464,0.711162790697674,72286.34238,2101.3471622093,50.116540746414,62.1501654063768,27.4405658901226,23.6419520469691,183.655471986584,68.7211315982035,135.400571428571,95.3993477577548,0.609428571428571
"sample_00008","12.04.2022","training","Ble",NA,86.432,2.51255813953488,83542.13154,2428.55033546512,34.5589868176495,29.3636066583271,22.6543746038485,11.332585119793,181.661297362112,53.923427871163,127.130495867769,82.6541357389457,0.589752066115703
"sample_00009","12.04.2022","training","Ble",NA,80.736,2.34697674418605,71781.80148,2086.6802755814,34.0458106580137,30.5969799556448,22.3014083306184,10.4249809341066,196.748045522352,57.9649462416761,167.293274336283,76.2916381095137,0.472035398230088
"sample_00010","12.04.2022","training","Ble",NA,97.736,2.84116279069767,115619.77908,3361.04008953488,35.3015355885571,34.9455000961459,22.2530539487607,12.7492124364983,203.40591975396,66.3740410068046,168.312978723404,86.1309851061135,0.512127659574468
