"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","comment"
"sample_00001",55.10676,1.79246336805148,4633.24698,127.370046838267,258.1301196,4.78726716474957,93.1158828,2.10534712925002,63.3881052,2.33177773755818,1.47176,0.0801877232981579,0.04,0.46,5,125,1304.43,1273,254.67,1904.25,380.85,33.75,0.84,7.91,197.76,843.71,21.04,"sample_00001-1","13.04.2022","t0",NA
"sample_00001",65.96265625,6.89514521232207,1843.743515625,254.856871719097,163.395984375,14.0005710670487,63.1892390625,6.56768787983579,37.022821875,4.35213707913997,1.734734375,0.278061386518551,0,0.22,2.56,64,2695.8,2696,1053.05,2838.92,1108.95,57.69,17.22,8.59,214.87,1442.13,430.38,"sample_00001-106","13.04.2022","t0",NA
"sample_00001",54.2977755102041,7.56610239892736,1542.16974489796,170.212651290786,147.659776530612,9.73055622411894,55.0824795918367,5.8971177198936,35.8927530612245,4.2616844591689,1.56961224489796,0.339245904932698,0.05,0.36,1.96,49,1448.13,1448,738.84,1721.49,878.31,52.24,5.63,13.84,346.11,1305.98,140.69,"sample_00001-108","13.04.2022","t0",NA
"sample_00001",88.0486226415095,23.9362678041779,1368.83504716981,651.427306359313,161.205741509434,101.195082816508,53.0269556603773,21.0424890491049,32.2623764150943,4.18898169804984,1.64977358490566,0.568698197691935,-0.06,0.74,2.12,53,188.09,92,43.32,402.61,189.91,25.52,0.45,3.85,96.2,638,11.13,"sample_00001-114","13.04.2022","t0",NA
"sample_00001",27.74552,0.883158587300481,896.49504,56.4023236409207,108.8861616,4.03119558795555,39.3916608,1.89659022412575,29.0201616,2.01701106998873,1.366176,0.140274734119363,0.17,0.18,5,125,130.61,120,23.9,1219.27,243.85,19.76,4.79,2.28,56.96,494.12,119.71,"sample_00001-13","13.04.2022","t0",NA
"sample_00001",57.6792954545455,4.00856039564832,7072.45977272727,1244.50669122158,387.486971590909,51.4558043275234,168.14385,25.172993657136,52.9948022727273,4.36912460183846,3.15159090909091,0.363276518306156,-0.01,0.05,1.76,44,1608.69,1609,914.03,1642.42,933.19,59.04,17.87,6.8,170.12,1475.98,446.69,"sample_00001-132","13.04.2022","t0",NA
"sample_00001",56.9142051282051,10.3453679748843,1688.19576923077,209.932595842309,153.6489,11.7443551061608,57.1121653846154,6.55930053394609,37.7593961538462,3.46646544970493,1.53084615384615,0.260747360935481,0.01,0.46,1.64,39,1136.27,1136,692.85,1947.66,1187.6,172.14,14.81,24.6,354.99,1609.19,370.27,"sample_00001-134","13.04.2022","t0",NA
"sample_00001",50.1471142857143,5.93024744435344,1821.61478571429,321.568316317587,159.30027,16.0077876787693,57.9078257142857,7.65540965723289,39.9826414285714,5.94691282420954,1.47802857142857,0.28915734427453,0.02,0.17,1.4,35,648.87,649,463.48,692.54,494.67,33.47,1.94,7.63,190.64,836.74,48.55,"sample_00001-139","13.04.2022","t0",NA
"sample_00001",26.925024,2.03866898966442,680.63814,55.1387233794703,95.0754995999999,3.57147320876798,35.1756108,1.9550912945702,24.7315032,2.65136377707337,1.44284,0.203069287396866,0.01,0.55,5,125,325.31,325,65.06,498.36,99.67,7.67,1.38,1.4,35.07,191.8,34.61,"sample_00001-14","13.04.2022","t0",NA
"sample_00001",167.238304347826,26.0124522933201,1150.31445652174,751.010867036419,190.968945652174,126.119501954209,60.1211934782609,27.6752634820968,22.3586413043478,6.55864044033539,2.67904347826087,0.839809906968176,-2.82,2.32,1.16,23,80.38,69,59.62,257.84,222.28,70.62,0.36,16.69,273.58,897.33,9.12,"sample_00001-142","13.04.2022","t0",NA
"sample_00001",51.1731333333333,3.08960024333835,1553.499,175.257198219276,146.42658,10.4297477114981,55.20294,5.0193817492976,35.81118,3.52393061945426,1.55446666666667,0.201056595379148,-0.02,0.28,1.84,45,2136.64,2137,1161.22,2338.45,1270.9,117.77,11.85,14.28,257.22,1560.29,296.3,"sample_00001-15","13.04.2022","t0",NA
"sample_00001",39.985968,2.89998897366091,596.26368,33.0852906427147,94.3546968,3.53427165324643,38.1113424,1.64633438424894,19.941714,1.1654925704085,1.919728,0.165482012276552,0.02,0.28,5,125,279.98,280,56,651.87,130.37,8.16,1.23,1.32,33.12,204.06,30.71,"sample_00001-17","13.04.2022","t0",NA
"sample_00001",43.141872,6.83474121436612,621.9828,175.435280481323,88.4599704,11.7574405832903,30.9617316,4.26140503021643,25.4022804,2.98561426214682,1.22976,0.170279959232227,0.18,0.85,5,125,310.9,302,60.45,673.1,134.62,29.8,0.26,3.42,85.56,745.12,6.44,"sample_00001-2","13.04.2022","t0",NA
"sample_00001",38.956928,5.91577585669958,3420.77418,257.41033755547,228.9433896,12.0382063748149,89.00523,6.76777749154331,49.0200984,2.74838288787137,1.824584,0.200517201578898,0.05,0.31,5,125,1597.59,1598,319.52,2930.73,586.15,38.82,5.26,7.6,190.04,970.4,131.6,"sample_00001-20","13.04.2022","t0",NA
