"","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet","indiv_misclass_percent"
"Ble",2378,5,1,55,2,3,0,0,13,4,24,4.3
"Cep",14,144,0,0,0,3,2,0,4,7,0,17.2
"Col",1,2,323,0,3,1,3,2,0,0,1,3.9
"Eug",14,1,0,225,0,1,0,0,2,1,2,8.5
"Eup",0,0,1,0,236,1,4,2,6,2,0,6.3
"Lox",6,1,1,0,2,173,1,0,0,4,0,8
"Pau",0,0,0,0,2,0,208,17,0,0,0,8.4
"Pca",0,0,0,0,0,0,2,77,0,3,0,6.1
"Spi",3,0,0,1,17,13,6,4,400,16,2,13.4
"Spi_te",0,0,0,0,0,0,0,0,1,88,0,1.1
"Tet",0,0,0,0,0,0,0,0,0,2,110,1.8
