id,patch_size,disturbance,disturbance,replicate,metaecosystem,metaeco,species,Ble,Cep,Col,Eug,Eup,Lox,Pau,Pca,Spi,Spi_te,Tet,time_points,resource_exchanges,water_add_before_t3,water_add_after_t3,water_add_after_t4,water_add_after_t5,water_add_after_t6
13,37.5,low,5.25,3,13,L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,2.5,1.5,1,1.5,1.5
14,37.5,low,5.25,4,14,L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,3.5,2.5,0.5,1.5,1.5
15,37.5,low,5.25,5,15,L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,2,2,1.5,1.5,1.5
16,7.5,low,5.25,1,16,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2,2,0.5,1,1
17,7.5,low,5.25,1,16,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2,2,0.5,1,1
18,7.5,low,5.25,2,17,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2.5,1,1,NA,1.5
19,7.5,low,5.25,2,17,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,1.5,1,1.5,1.5,1
20,7.5,low,5.25,3,18,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2,2,1,1,1
21,7.5,low,5.25,3,18,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2,1,0.5,1,1.5
22,7.5,low,5.25,4,19,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,1,2,0.5,1.5,0.5
23,7.5,low,5.25,4,19,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2.5,3,1,0.5,2
24,7.5,low,5.25,5,20,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,1.5,1,1,1.5,0.5
25,7.5,low,5.25,5,20,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2,2.5,0.5,1.5,1
26,22.5,low,5.25,1,21,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,3.5,2.5,1,1,0.5
27,22.5,low,5.25,1,21,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,4,2.5,0.5,1.5,1.5
28,22.5,low,5.25,2,22,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2.5,2,1,1,1
29,22.5,low,5.25,2,22,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2.5,1,1,1.5,1
30,22.5,low,5.25,3,23,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,1.4,2,1,1.5,1
31,22.5,low,5.25,3,23,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2.5,1,1,1.5,1.5
32,22.5,low,5.25,4,24,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,1.5,1,1,0.5,1.5
33,22.5,low,5.25,4,24,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,3,1.5,1,1.5,0.5
34,22.5,low,5.25,5,25,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2.5,1,0.5,1.5,1.5
35,22.5,low,5.25,5,25,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2.5,1.5,1.5,1,1.5
36,37.5,low,5.25,1,26,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2,1.5,1,1,1
37,37.5,low,5.25,1,26,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2,1.5,1,1,1.5
38,37.5,low,5.25,2,27,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2,2,1,1.5,1
39,37.5,low,5.25,2,27,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,1,2,1,1.5,1.5
40,37.5,low,5.25,3,28,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,3.5,3,1,1.5,1.5
