"","file","date","time_point","culture_ID","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"35","sample_00035","17.04.2022","t1",35,49.824,1.44837209302326,224370.84726,6522.4083505814,91.5855790001072,64.0279550430572,41.0636913172327,18.7396229270194,327.839016940008,245.883273306256,196.722077922078,260.163019194027,0.695584415584416,0.152790697674419,0.523255813953488,0.284418604651163,0.00627906976744186,0.101627906976744,0.0290697674418605,0.154651162790698,0.0579069767441861,0.109302325581395,0.0290697674418605,0
"36","sample_00036","17.04.2022","t1",36,35.792,1.04046511627907,105358.63752,3062.75109069767,81.4753056718249,32.9847305759296,37.1531166550872,14.4532345054179,338.756163357793,253.246477623094,200.957719298246,267.01203105597,0.816315789473684,0.13,0.242093023255814,0.25906976744186,0,0.136744186046512,0.0290697674418605,0.113255813953488,0,0.130232558139535,0,0
"37","sample_00037","17.04.2022","t1",37,22.952,0.667209302325582,54016.18812,1570.23802674419,67.0644440796537,35.6612722002751,32.0456712089426,14.3734575042563,355.824302313239,251.24060168579,271.011428571429,268.755918782892,0.59952380952381,0.132558139534884,0.07,0.272558139534884,0.0290697674418605,0.0393023255813954,0,0.0746511627906977,0,0.0490697674418605,0,0
"38","sample_00038","17.04.2022","t1",38,37.576,1.09232558139535,96097.91724,2793.54410581395,69.493729967779,40.7966888113926,35.0770450855032,16.8256628522678,408.947262883724,244.076377147626,263.796603773585,228.75939000436,0.385283018867925,0.38953488372093,0.046046511627907,0.401860465116279,0.0581395348837209,0.0990697674418605,0,0.0104651162790698,0,0,0.0872093023255814,0
"39","sample_00039","17.04.2022","t1",39,35.416,1.02953488372093,120212.34786,3494.54499593023,86.5512909286166,50.8873313958243,39.8632537597984,16.2675286415184,355.288654655029,221.339754993532,238.127954545455,224.615495743898,0.4425,0.288604651162791,0.170697674418605,0.303720930232558,0.0290697674418605,0.0809302325581395,0,0.0290697674418605,0.0290697674418605,0.0111627906976744,0.0872093023255814,0
"40","sample_00040","17.04.2022","t1",40,27.248,0.792093023255814,85244.4486,2478.03629651163,75.9467373783397,43.773497041105,36.2200088454894,18.1602974853877,294.272880462235,238.240305909887,165.586666666667,233.150384192527,0.573846153846154,0.154883720930233,0.12906976744186,0.217209302325581,0.0565116279069767,0.0646511627906977,0.0811627906976744,0.0109302325581395,0.0290697674418605,0.0386046511627907,0.01,0
"41","sample_00041","17.04.2022","t1",41,73.008,2.12232558139535,319738.39398,9294.72075523256,85.9399335845091,87.1650081571084,36.9750695300686,18.2713277441666,304.524302582992,215.235494940361,162.124,218.12701707226,0.889826086956522,0.37953488372093,0.22906976744186,0.244651162790698,0,0.275116279069767,0.165813953488372,0.290232558139535,0.0741860465116279,0.376511627906977,0.0872093023255814,0
"42","sample_00042","17.04.2022","t1",42,29.752,0.864883720930233,151730.9982,4410.78483139535,116.738804520882,56.7015220965025,43.6457221301625,16.5591403029872,389.363287018755,260.189534209995,300.849,297.420679507956,0.53625,0.135348837209302,0.199767441860465,0.278372093023256,0.0467441860465116,0,0,0,0.127441860465116,0.0481395348837209,0.0290697674418605,0
"43","sample_00043","17.04.2022","t1",43,46.464,1.3506976744186,133768.2924,3888.61315116279,85.6381710423752,45.3390697357259,37.6879625438573,14.6460157329776,352.622375494845,211.159143530348,275.340735294118,223.341854078078,0.524411764705882,0.416046511627907,0.181860465116279,0.363023255813954,0,0.165348837209302,0.0290697674418605,0.0258139534883721,0.0458139534883721,0.0569767441860465,0.0667441860465116,0
"44","sample_00044","17.04.2022","t1",44,39.464,1.14720930232558,132462.6534,3850.65852906977,88.1001013101892,52.5652640047124,37.5827167613186,16.1873909217118,344.659872881423,220.514053039023,239.442068965517,234.56275585489,0.51051724137931,0.344651162790698,0.206511627906977,0.371860465116279,0,0,0.0290697674418605,0.0290697674418605,0.118139534883721,0.0188372093023256,0.0290697674418605,0
"45","sample_00045","17.04.2022","t1",45,51.344,1.49255813953488,198722.97972,5776.83080581395,95.160084216563,76.4005093929252,37.640235957225,17.0655359768433,352.396237552687,186.275314851675,234.945466666667,192.794830481142,0.548266666666667,0.362325581395349,0.203953488372093,0.41906976744186,0.0390697674418605,0.117674418604651,0,0.0532558139534884,0.082093023255814,0.0872093023255814,0.127906976744186,0
"46","sample_00046","17.04.2022","t1",46,33.224,0.965813953488372,107260.14654,3118.02751569767,82.3822890970189,39.5916342095298,38.1602577555108,14.2612513316869,268.717667267566,176.51016825127,193.917291666667,194.698044726105,0.574375,0.21093023255814,0.365813953488372,0.245813953488372,0,0,0.0783720930232558,0.0158139534883721,0.0290697674418605,0.02,0,0
"47","sample_00047","17.04.2022","t1",47,33.504,0.973953488372093,82098.05544,2386.57137906977,81.9535570321574,45.1393833870661,34.6615680237564,11.4303981742516,410.142404006956,196.076608034378,322.618,214.832392519039,0.396,0.194418604651163,0.0306976744186047,0.450697674418605,0,0.0693023255813953,0.00627906976744186,0.151627906976744,0,0.0318604651162791,0.0390697674418605,0
"48","sample_00048","17.04.2022","t1",48,49.528,1.43976744186047,124296.96402,3613.2838377907,75.3028599040701,37.4137292315428,36.210366030502,13.9378867195486,358.55972042579,187.646296740805,265.346818181818,215.225533580718,0.458787878787879,0.452558139534884,0.153953488372093,0.585348837209302,0,0.0958139534883721,0.0504651162790698,0.00790697674418605,0.023953488372093,0.0483720930232558,0.0213953488372093,0
"49","sample_00049","17.04.2022","t1",49,44.76,1.30116279069767,132522.22728,3852.39032790698,86.9869460527655,35.4323141128713,38.8932352440233,11.8692792255379,357.802666231862,239.170658516915,237.601639344262,244.760569136318,0.606229508196721,0.246511627906977,0.309302325581395,0.43906976744186,0,0.0941860465116279,0.0113953488372093,0.0630232558139535,0.0967441860465116,0.026046511627907,0.0148837209302326,0
"50","sample_00050","17.04.2022","t1",50,38.168,1.10953488372093,105067.98522,3054.30189593023,80.6587007708846,41.6645991282077,35.9801682309154,13.1626781909894,323.16681254835,180.492527716177,241.593541666667,185.614081666025,0.377916666666667,0.238837209302326,0.244651162790698,0.467906976744186,0.0290697674418605,0.0351162790697674,0,0.0290697674418605,0.0116279069767442,0,0.0532558139534884,0
