"file","date","time","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00001","21.04.22",13,"t2",1,NA,20.72,0.602325581395349,53725.79826,1561.79646104651,78.3664677703468,34.5616303893613,30.9320341348676,10.0946250449912,264.174347295863,119.762806057924,170.633421052632,124.413038885548,0.667894736842105
"sample_00002","21.04.22",13,"t2",2,NA,37.6,1.09302325581395,79066.08612,2298.43273604651,74.2602702686304,32.8237021280976,27.267490772202,9.25142720539445,265.032508141206,143.82000275661,184.943623188406,147.178523608845,0.657101449275362
"sample_00003","21.04.22",13,"t2",3,NA,16.216,0.471395348837209,39425.7051,1146.09607848837,77.616641717707,30.1468100355823,30.0571515234444,9.01857863859495,234.878156106871,105.759660216623,117.555517241379,74.1086205505235,0.660344827586207
"sample_00004","21.04.22",13,"t2",4,NA,18.824,0.547209302325582,35031.8034,1018.36637790698,69.3814120969963,22.9348586716793,28.6756350189022,8.88788991311865,312.15035341394,149.280254050316,208.798125,134.332226298001,0.5684375
"sample_00005","21.04.22",13,"t2",5,NA,21.552,0.626511627906977,52907.37912,1538.00520697674,80.4183535538439,45.6222731315926,29.0059080025692,10.050498616198,292.28940240112,193.478073066497,232.640789473684,193.944918251487,0.561842105263158
"sample_00006","21.04.22",13,"t2",6,NA,28.392,0.825348837209302,109931.26086,3195.6761877907,93.9881832779276,67.4533880369687,32.28618651518,14.2606155551574,244.293811134953,156.333877245868,154.593191489362,165.684126776466,0.66936170212766
"sample_00007","21.04.22",13,"t2",7,NA,30.288,0.88046511627907,102452.77062,2978.27821569768,93.1201166765345,86.0389416266433,30.8239884899514,14.3169759516534,295.116110119751,183.517728415078,209.487884615385,183.941016274202,0.567884615384615
"sample_00008","21.04.22",13,"t2",8,NA,22.288,0.647906976744186,51026.60286,1483.33147848837,79.0307904056462,43.2999732761223,32.4695617568992,17.111259502131,299.889111486713,232.524103589432,200.445384615385,239.624823475169,0.583589743589744
"sample_00009","21.04.22",13,"t2",9,NA,37.184,1.08093023255814,117195.60006,3406.84883895349,76.1422765362848,43.7635759483934,34.0414920520931,15.9917563397718,225.786458953913,174.852239612104,101.969344262295,143.915566900282,0.752786885245902
"sample_00010","21.04.22",13,"t2",10,NA,23.576,0.685348837209302,85324.23036,2480.35553372093,85.0765910101874,51.4957365724323,36.0646073486615,14.4596299114266,269.271891568923,166.152160561612,118.999210526316,131.531873280012,0.702368421052632
"sample_00011","21.04.22",13,"t2",11,NA,27.064,0.786744186046512,57890.19618,1682.85454011628,65.7102071709194,46.1480513029799,26.6117576941876,13.8233365227804,349.507852233805,183.094732599814,235.294736842105,210.728728370718,0.514473684210526
"sample_00012","21.04.22",13,"t2",12,NA,18.264,0.53093023255814,57169.66716,1661.90892906977,82.9215773909612,43.7581469254038,35.0614962853379,13.8532114411295,298.172443593888,192.806110059507,192.692352941176,201.997442063895,0.537058823529412
