"file","date","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00001","17.04.2022","t1",1,NA,22.88,0.665116279069767,48394.72332,1406.82335232558,69.4024393351734,28.1143908640786,28.803378973816,11.0111234289928,284.373721064123,181.967220396133,189.093684210526,182.423787247243,0.634210526315789
"sample_00002","17.04.2022","t1",2,NA,22.464,0.653023255813953,38115.60462,1108.0117622093,72.6727075232971,28.8762799551657,27.0736815440741,6.76861276049546,297.186088898077,183.339122303256,169.48380952381,181.018324257079,0.735
"sample_00003","17.04.2022","t1",3,NA,20.32,0.590697674418605,48263.10966,1402.99737383721,73.9105853003527,50.1087413472078,27.3687969315763,11.8404387972336,248.721822004091,156.017413761513,136.757878787879,169.748447006106,0.685151515151515
"sample_00004","17.04.2022","t1",4,NA,18.464,0.536744186046512,35599.72356,1034.87568488372,77.9089414789947,48.0116081186529,25.4974471049344,8.09767264195615,376.322248187654,179.104592670128,216.395357142857,176.474607458539,0.450714285714286
"sample_00005","17.04.2022","t1",5,NA,14.44,0.419767441860465,36096.26004,1049.30988488372,81.3136124227418,26.8391431479166,31.7590374973232,11.20728635964,289.9845811953,155.246751901586,152.7432,134.878967835365,0.6376
"sample_00006","17.04.2022","t1",6,NA,28.216,0.820232558139535,113384.31516,3296.05567325581,84.07986086638,67.1230829252096,31.7096705372648,22.9842897835519,431.344066943261,195.864649069313,305.594090909091,218.417393733193,0.383181818181818
"sample_00007","17.04.2022","t1",7,NA,27.608,0.802558139534884,47311.89588,1375.34581046512,67.4136649212725,40.010293921772,26.2176339362198,7.66227274243841,365.060037882302,288.574323836057,240.640576923077,293.446240193965,0.685961538461538
"sample_00008","17.04.2022","t1",8,NA,27.232,0.791627906976744,125018.67402,3634.26377965116,85.7130751405474,92.4540536079995,31.0467931116316,20.5498454913417,386.471715485128,225.651021305927,279.386739130435,250.374943031485,0.503260869565217
"sample_00009","17.04.2022","t1",9,NA,21.296,0.61906976744186,95128.98876,2765.37758023256,91.6723482038373,124.277522577033,29.6669641891708,13.720572525598,318.032767958382,203.916366082832,169.250555555556,213.216995984901,0.681666666666667
"sample_00010","17.04.2022","t1",10,NA,23.896,0.694651162790698,66105.48672,1921.6711255814,78.8595515860979,42.7603978335121,30.7063546992558,10.9063643725676,290.127635181331,168.445746319457,155.366744186047,173.240151863587,0.74046511627907
"sample_00011","17.04.2022","t1",11,NA,23.624,0.686744186046512,51245.08416,1489.68267906977,67.9023780018249,39.6817390553912,29.2744290972565,12.8967143864638,432.049247698686,218.591024844591,293.109189189189,236.525251017241,0.456216216216216
"sample_00012","17.04.2022","t1",12,NA,37.048,1.07697674418605,97467.06672,2833.3449627907,75.1248491104315,49.0339226891124,30.4752026382583,14.0424274654516,421.443485480615,248.326032734339,297.884406779661,280.372308542564,0.502542372881356
"sample_00013","17.04.2022","t1",13,NA,26.72,0.776744186046512,76405.60062,2221.09304127907,74.9206274544498,64.8306953500122,27.8550195398958,14.7586621934753,436.432471188368,214.825814360071,350.42880952381,245.087701179149,0.357619047619048
"sample_00014","17.04.2022","t1",14,NA,20.8,0.604651162790698,36299.12616,1055.20715581395,64.1613115527861,37.2471488785523,26.7075246180441,9.25415187157083,376.494076395022,270.665048145538,244.755714285714,283.03563099625,0.577428571428571
"sample_00015","17.04.2022","t1",15,NA,21.36,0.62093023255814,39093.7185,1136.44530523256,69.8337047723355,34.9232376881532,26.8281598639889,9.81443089081009,412.336028192112,224.429229106804,234.710833333333,247.654658060949,0.615555555555556
"sample_00016","17.04.2022","t1",16,NA,33.088,0.961860465116279,74060.17434,2152.91204476744,75.0307269067856,30.245603572246,31.0377722960405,11.8651717775102,317.558256867207,211.395275630908,191.31,241.048505674688,0.66843137254902
"sample_00017","17.04.2022","t1",17,NA,22.352,0.649767441860465,64254.10374,1867.85185290698,80.8105813002448,57.6739167066843,29.9523237794466,14.2223808320041,306.457703941084,225.589295107317,216.508974358974,248.942562248645,0.646153846153846
"sample_00018","17.04.2022","t1",18,NA,23.312,0.677674418604651,62242.10748,1809.36358953488,78.0571034212231,44.2426176189816,31.4479082759344,13.9494905950438,281.571016796355,192.039510434772,168.38,193.581511675315,0.647878787878788
"sample_00019","17.04.2022","t1",19,NA,21.728,0.631627906976744,55116.86148,1602.23434534884,77.0598789539003,38.9858963118425,30.8588860241072,12.1330322000842,262.063447410279,141.119984882259,132.485483870968,101.028703638742,0.615483870967742
