"file","date","time_point","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00001","13.04.2022","t0",NA,23.288,0.676976744186047,98575.87572,2865.57778255814,80.5153211868659,145.908062755262,27.6146347897783,15.5155913791834,686.685524751451,412.398936045708,587.727837837838,402.385258628919,0.360540540540541
"sample_00002","13.04.2022","t0",NA,20.24,0.588372093023256,27086.69484,787.403919767442,60.0034129574599,42.269198818229,26.0632260389875,11.6260189150543,372.250080470017,268.523466036766,243.7365625,239.358957346484,0.484375
"sample_00003","13.04.2022","t0",NA,9.808,0.285116279069767,18037.5012,524.345965116279,67.7332293000702,53.8565443035296,26.5279323011752,8.65060108435033,441.17249404235,288.387421696081,329.13625,259.457360475667,0.58625
"sample_00004","13.04.2022","t0",NA,18.232,0.53,39054.61494,1135.30857383721,72.3044100919616,45.6501633975255,31.3708996439267,13.5899203991206,549.839286170281,261.032788984944,390.855909090909,284.211023657039,0.348181818181818
"sample_00005","13.04.2022","t0",NA,13.368,0.388604651162791,12589.37802,365.97029127907,48.7015015698361,28.6268993010566,20.8932820159639,9.61839278359844,257.247921286547,256.05784809961,180.594,222.178809364274,0.595
"sample_00006","13.04.2022","t0",NA,15.608,0.453720930232558,23811.31242,692.189314534884,54.8640598877475,27.6821348562558,27.0527226351363,9.21118043434636,429.758095706538,336.210625876663,313.331034482759,332.463662959093,0.49551724137931
"sample_00007","13.04.2022","t0",NA,20.072,0.583488372093023,38215.59426,1110.9184377907,64.7439250757252,48.1007888149075,27.5951696007393,11.2220962557666,398.195557602895,292.210476662767,249.594516129032,256.223040635026,0.496129032258065
"sample_00008","13.04.2022","t0",NA,19.24,0.559302325581395,27576.27666,801.635949418605,53.7788967039362,37.3166019084572,23.8090459694805,7.95829862191392,513.822215508603,339.404918218387,389.973157894737,328.111728219464,0.439210526315789
"sample_00009","13.04.2022","t0",NA,23.424,0.68093023255814,94840.17354,2756.98178895349,109.393986474425,195.413579568507,33.007630880098,21.8161416834981,526.199520089382,278.44916254353,354.834473684211,296.29099490742,0.422894736842105
"sample_00010","13.04.2022","t0",NA,13.648,0.396744186046512,23432.6115,681.180566860465,64.6868068390783,38.2280390733133,27.0943381147843,9.0419788035613,474.274542078793,300.033350516613,273.881428571429,281.42030675283,0.48952380952381
"sample_00011","13.04.2022","t0",NA,19.328,0.561860465116279,47922.8562,1393.10628488372,80.1955909503135,74.6388273777474,29.3270161691282,12.1598597086202,570.537028549555,283.365490490858,359.841923076923,245.638018849188,0.348076923076923
"sample_00012","13.04.2022","t0",NA,9.008,0.261860465116279,12812.3208,372.451186046512,49.7361043788139,29.8575908504649,24.5060138767834,11.5575608539773,397.027268532968,266.772276001059,267.732222222222,260.699866164716,0.482777777777778
