"","p_value","delta_AIC"
"1",0.00432258518488769,-6.88780326656342
"2",0.0075287120376693,-5.77806259186855
"3",0.0144260128853613,-4.47744450339405
"4",0.011470610880225,-4.93593418060618
"5",0.0137501445839582,-4.57341187945576
"6",0.0113319898578808,-4.96025118402486
"7",0.00780421617941312,-5.70618231100252
"8",0.0101299683477686,-5.18451417065944
"9",0.00441690320517728,-6.84463292152577
"10",0.00211740812219623,-8.31512504426655
"11",0.00801633420550039,-5.65254808641157
"12",0.00157623430297407,-8.90543325839371
"13",0.00115435305887997,-9.52843042823451
"14",0.00384478629281623,-7.12207451622226
"15",0.00456813525449721,-6.77730039587732
"16",0.00490021477292495,-6.63695248723388
"17",0.00924821549598923,-5.3666493308433
"18",0.0110994898749066,-5.00171225787108
"19",0.00373450742704715,-7.18027869880598
"20",0.00153907488572889,-8.95314753323191
"21",0.00425396002496291,-6.91980991859009
"22",0.00433379859186096,-6.88262169719928
"23",0.00262961071805762,-7.88183891939116
"24",0.00208422671302716,-8.34671474713377
"25",0.00158084946754683,-8.8995858774615
"26",0.0357618023740557,-2.66174985597581
"27",0.00830111272498094,-5.58273141982909
"28",0.000432874901540733,-11.490123565392
"29",0.00385713858373479,-7.11565933990869
"30",0.00395069631664989,-7.0677268658178
"31",0.0054370356902065,-6.42904255304029
"32",0.00160053402820839,-8.87483587558836
"33",0.00311765159183135,-7.54135051100729
"34",0.00426799058947185,-6.91322430089713
"35",0.00494753334560253,-6.61773228124184
"36",0.00371511847589464,-7.19068942019521
"37",0.00372369188544878,-7.18607932103487
"38",0.00227290785435649,-8.17339054830381
"39",0.00787244608077381,-5.68877290814544
"40",0.0112785640716138,-4.96970267926235
"41",0.014626481732674,-4.44984315188321
"42",0.00557880548719114,-6.37756119180222
"43",0.00217042214209993,-8.26566718963886
"44",0.00514895306687237,-6.53792374591649
"45",0.00808425833310844,-5.63567304770368
"46",0.00455936679428944,-6.7811430519987
"47",0.0021731028536538,-8.26319849253514
"48",0.0013217253545709,-9.25763461816405
"49",0.00167731095444646,-8.78112678056959
"50",0.00271535451686531,-7.81766551401279
"51",0.00198982043448884,-8.43942175648453
"52",0.00227977809117088,-8.16735433837266
"53",0.00155127133240273,-8.93736093957932
"54",0.00161513624463048,-8.85667192773099
"55",0.00240665917526446,-8.05903145504271
"56",0.00668445081164509,-6.01594244827447
"57",0.00367581443312856,-7.21196111282688
"58",0.00531505353854484,-6.47442438827102
"59",0.00769903836201254,-5.73331969194396
"60",0.00476555484017302,-6.69268261580964
"61",0.00276219772703551,-7.78345727640544
"62",0.00158456607995851,-8.894889351443
"63",0.0046366150913053,-6.74754137029458
"64",0.00542135104206551,-6.43482044967868
"65",0.00220264864496823,-8.23618942645771
"66",0.0361821245883462,-2.63838015601959
"67",0.00433223185175783,-6.88334486111171
"68",0.0097328190065002,-5.26450340314022
"69",0.00145098276656974,-9.07102836416789
"70",0.00411653826310975,-6.98548539242029
"71",0.00414756717693297,-6.97046667812174
"72",0.00148659317148132,-9.02253647812722
"73",0.00326814791265351,-7.44706368419747
"74",0.0013811024626551,-9.16974642554123
"75",0.00218582863417388,-8.25152056943762
"76",0.00399220881591134,-7.04682122661188
"77",0.00888967690764106,-5.44572914692844
"78",0.00252359272645127,-7.96414341536638
"79",0.00704626279800728,-5.91051580456769
"80",0.00164314943419158,-8.82228098405812
"81",0.00762200437943209,-5.75343180390564
"82",0.00535035390147137,-6.46118514090858
"83",0.00142221402420807,-9.1110808992762
