"","file","date","time_point","culture_ID","comment","time","replicate","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","07.05.22","t6",1,NA,NA,1,0.75,0.0218023255813953,3433.43691,99.8092125,94.6335393,15.5070492205319,35.4368034,6.01774157894561,243.298,123.744123222075,180.355,59.3951813421482,0.26,0.00726744186046512,0.0145348837209302,0,0,0,0,0.00726744186046512,0,0,0,0
"2","sample_00002","07.05.22","t6",2,NA,NA,1,1.238,0.0359883720930233,5527.57689,160.685374709302,54.2343604466501,23.7837281255829,23.3149882630273,2.4268343902341,217.040845280765,24.0688863650393,138.676666666667,105.836277491857,0.483333333333333,0.00226744186046512,0.00441860465116279,0,0,0,0,0,0,0,0,0
"3","sample_00003","07.05.22","t6",3,NA,NA,1,1.344,0.0390697674418605,8058.08898,234.246772674419,80.9694779722235,7.7770215483764,27.9616932537259,4.4253965476769,176.305864098632,63.3078487632959,115.236,85.7584044277877,0.492,0,0.0117441860465116,0,0,0,0.00726744186046512,0,0,0,0,0
"4","sample_00004","07.05.22","t6",4,NA,NA,1,2.148,0.0624418604651163,10532.209275,306.168874273256,59.3687409607973,34.7188570179013,24.9397459475083,9.35299317529768,169.234178294574,46.2262338791893,121.826666666667,92.4662448320106,0.596666666666667,0.000813953488372093,0.00976744186046512,0,0,0,0,0,0,0,0,0
"5","sample_00005","07.05.22","t6",5,NA,NA,1,1.042,0.0302906976744186,6846.07545,199.01382122093,74.6939394,31.736735097269,31.0419145125,3.55600307393551,446.0683125,243.496020800537,162.405,21.5738278940016,0.525,0,0,0,0,0.00726744186046512,0,0.000930232558139535,0,0,0,0
"6","sample_00006","07.05.22","t6",6,NA,NA,1,1.056,0.0306976744186047,6461.07597,187.821975872093,68.9913666128543,23.3792052597199,34.0285087528374,9.25268568160763,370.878525028457,269.734034881707,246.172857142857,249.280457453311,0.445714285714286,0.00581395348837209,0.0249418604651163,0,0,0.023546511627907,0,0,0.00238372093023256,0.00116279069767442,0,0
"7","sample_00007","07.05.22","t6",7,NA,NA,1,1,0.0290697674418605,9688.6287,281.646183139535,71.658457728015,32.6609848999641,31.7278927290485,8.97795940169898,332.969673415564,260.285669216867,211.052666666667,207.19309708119,0.496,0.000581395348837209,0.0286046511627907,0.000755813953488372,0,0.0119186046511628,0,0.0145348837209302,0.00726744186046512,0,0,0
"8","sample_00008","07.05.22","t6",8,NA,NA,1,1.286,0.0373837209302326,5741.104635,166.892576598837,83.3646158725265,33.4216106549001,37.2652547624023,10.7865995671018,313.895193663144,194.622294462269,180.085833333333,142.078851376035,0.41,0.0218023255813953,0.0218023255813953,0,0.0038953488372093,0.0219186046511628,0,0.00709302325581395,0,0,0,0
"9","sample_00009","07.05.22","t6",9,NA,NA,1,0.876,0.0254651162790698,4796.02539,139.419342732558,78.3635374936073,16.6690784768331,30.0341296011982,7.48523744984305,311.496066882289,242.601848069898,189.21,199.778201263301,0.572727272727273,0,0.028953488372093,0,0,0.00703488372093023,0,0,0.00726744186046512,0,0,0
"10","sample_00010","07.05.22","t6",10,NA,NA,1,2.018,0.0586627906976744,9880.439535,287.222079505814,86.2142560141007,29.3593074894551,37.6809073909257,9.32970391294404,205.028020796474,157.243979515125,115.725882352941,107.261020940672,0.434705882352941,0.0225581395348837,0.0415116279069767,0,0,0.0191860465116279,0.00726744186046512,0,0,0,0,0
"11","sample_00011","07.05.22","t6",11,NA,NA,1,1.216,0.0353488372093023,5137.098975,149.33427252907,78.9019519528316,30.9958649938369,32.5366062693459,9.70215688505253,258.698162236867,155.54842810643,182.993846153846,154.655475980022,0.594871794871795,0.0151162790697674,0.09,0,0,0.0158720930232558,0.00726744186046512,0,0.00726744186046512,0.00127906976744186,0.0106976744186047,0
"12","sample_00012","07.05.22","t6",12,NA,NA,1,2.27,0.0659883720930233,14665.311225,426.317186773256,75.3852324306659,36.6837114860855,33.8407186214007,11.9140962407543,206.002188808888,184.36994147255,118.773333333333,163.694584907596,0.722307692307692,0.038953488372093,0.0923255813953488,0.00156976744186047,0,0.0106395348837209,0,0,0.00872093023255814,0,0,0
"13","sample_00013","07.05.22","t6",13,NA,NA,1,1.74,0.0505813953488372,6301.414035,183.180640552326,72.3701265734101,39.1855948304604,26.3329594071211,9.88580241024736,241.339421111738,112.422278117169,184.543043478261,125.384044011802,0.632391304347826,0.0244767441860465,0.102848837209302,0,0.00104651162790698,0,0,0,0.000872093023255814,0,0.00843023255813953,0
"14","sample_00014","07.05.22","t6",14,NA,NA,1,2.208,0.0641860465116279,12088.83933,351.419747965116,78.0092986564705,26.0720046078847,33.2109628783728,7.45069211000052,239.385524190181,159.543810012571,104.874,95.9299926881205,0.568,0.00726744186046512,0.0411627906976744,0,0,0.0181976744186047,0,0,0.0075,0,0,0
"15","sample_00015","07.05.22","t6",15,NA,NA,1,0.21,0.0061046511627907,112.8492,3.2805,87.6237135615375,64.1652642666349,33.6523081404758,14.9680804059902,279.073119825621,182.221928171866,154.588974358974,163.837057642083,0.621025641025641,0.0181395348837209,0.0561627906976744,0,0,0.0218023255813953,0.00569767441860465,0.0218023255813953,0.011453488372093,0.00726744186046512,0.00627906976744186,0
"16","sample_00016","07.05.22","t6",16,NA,NA,1,2.178,0.0633139534883721,11513.144385,334.684429796512,91.2390308240964,39.4228803835529,31.0208735710843,10.0591048616173,281.641180722892,227.984829920372,108.706666666667,72.1698097083076,0.643333333333333,0,0.012093023255814,0,0,0,0,0.00726744186046512,0,0,0,0
