"","file","date","time_point","culture_ID","comment","time","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","29.04.22","t4",1,NA,NA,0.75,0.0218023255813953,3433.43691,99.8092125,73.7438340526713,34.808949006071,32.1722524949571,11.8372032999494,355.583552463158,200.334807541585,247.4492,175.090625556215,0.4688,0.0140697674418605,0.0475,0.0126162790697674,0,0.0106976744186047,0.0145348837209302,0.00726744186046512,0,0.00726744186046512,0.00313953488372093,0
"2","sample_00002","29.04.22","t4",2,NA,NA,1.238,0.0359883720930233,5527.57689,160.685374709302,54.368494828281,22.4826618446551,24.9656361560126,6.65563826181886,225.813300742949,127.37048298781,124.118260869565,128.171709176407,0.80695652173913,0.00122093023255814,0.042906976744186,0.00505813953488372,0,0.00726744186046512,0.0131976744186047,0,0,0,0,0
"3","sample_00003","29.04.22","t4",3,NA,NA,1.344,0.0390697674418605,8058.08898,234.246772674419,72.8941876183761,21.9490191475992,27.3652208954564,7.74803746783145,247.103496751527,113.199505771491,156.994583333333,88.869199534517,0.732916666666667,0,0.0723255813953488,0,0,0.00726744186046512,0.00203488372093023,0.00726744186046512,0,0,0,0
"4","sample_00004","29.04.22","t4",4,NA,NA,2.148,0.0624418604651163,10532.209275,306.168874273256,67.6355371933465,37.3695536721936,28.0018562129622,9.64841921053314,382.090944117494,320.843788622066,315.517894736842,342.973390862565,0.583684210526316,0.00726744186046512,0.0426744186046512,0.0145348837209302,0,0.00511627906976744,0,0.00691860465116279,0,0.0013953488372093,0,0
"5","sample_00005","29.04.22","t4",5,NA,NA,1.042,0.0302906976744186,6846.07545,199.01382122093,82.200831121024,26.0835204864263,28.1721955546358,9.69385353458508,282.448177546334,208.697701921382,187.999,145.833220758052,0.651,0,0.0242441860465116,0,0,0,0,0.0038953488372093,0.0011046511627907,0,0,0
"6","sample_00006","29.04.22","t4",6,NA,NA,1.056,0.0306976744186047,6461.07597,187.821975872093,105.01959797294,38.2946940582241,40.4324540061338,15.6512690328217,361.337576497962,270.236060699524,255.74125,288.617530723744,0.3825,0.00726744186046512,0.00726744186046512,0,0,0.0106976744186047,0,0,0.00255813953488372,0.00726744186046512,0.00133720930232558,0
"7","sample_00007","29.04.22","t4",7,NA,NA,1,0.0290697674418605,9688.6287,281.646183139535,86.672253481709,28.0505366981787,28.8432625659554,8.57932311869858,324.643057520672,248.134990785443,262.737777777778,274.508616657919,0.425555555555556,0.00831395348837209,0.0211627906976744,0,0,0,0,0,0.00627906976744186,0,0,0
"8","sample_00008","29.04.22","t4",8,NA,NA,1.286,0.0373837209302326,5741.104635,166.892576598837,120.98662399714,23.6740259559737,31.4790361722588,5.39096595408186,802.081068727722,476.09736681084,757.201,493.660587121016,0.254,0.00709302325581395,0.0142441860465116,0,0,0,0,0,0.0163372093023256,0,0,0
"9","sample_00009","29.04.22","t4",9,NA,NA,0.876,0.0254651162790698,4796.02539,139.419342732558,86.4166236677389,39.0418304965039,38.4991267615531,15.5988598846359,171.772837108065,63.2693866421578,94.1947368421053,71.4137884576315,0.487368421052632,0.0227325581395349,0.0394767441860465,0,0,0,0.00308139534883721,0,0,0.00308139534883721,0.00726744186046512,0
"10","sample_00010","29.04.22","t4",10,NA,NA,2.018,0.0586627906976744,9880.439535,287.222079505814,84.201354415672,41.8047598873239,29.0662269535929,9.67963113701432,310.198923788533,337.699342938484,239.547142857143,331.067433926373,0.532857142857143,0.015406976744186,0.0332558139534884,0,0.00104651162790698,0,0,0.00726744186046512,0.00156976744186047,0,0,0
