"","file","date","time_point","culture_ID","comment","time","replicate","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","11.05.2022","t7",1,NA,NA,1,0.75,0.0218023255813953,3433.43691,99.8092125,47.2439383776486,21.4077833880053,22.9111167807471,14.2359135255404,293.423652374947,294.667306316324,255.928,301.324531062441,0.654,0.00191860465116279,0.00668604651162791,0,0,0.00709302325581395,0,0,0,0.000813953488372093,0,0
"2","sample_00002","11.05.2022","t7",2,NA,NA,1,1.238,0.0359883720930233,5527.57689,160.685374709302,39.3138812143739,9.68748136835715,20.0310403317271,2.19158090950389,197.002243306229,56.1823744287634,102.752857142857,64.4287675691239,0.932857142857143,0.000755813953488372,0.00796511627906977,0,0,0,0,0,0,0.000755813953488372,0,0
"3","sample_00003","11.05.2022","t7",3,NA,NA,1,1.344,0.0390697674418605,8058.08898,234.246772674419,56.3367411482282,17.2450216637827,23.3870882545942,2.96334051842688,204.561229648026,26.3945256739273,145.569285714286,55.2757154167648,0.700714285714286,0.000755813953488372,0.025406976744186,0,0.00482558139534884,0,0,0,0,0,0,0
"4","sample_00004","11.05.2022","t7",4,NA,NA,1,2.148,0.0624418604651163,10532.209275,306.168874273256,67.4660502,7.36755004846378,38.9329578,4.93535105708358,357.006,302.245722550378,130.965,28.0226417384229,0.355,0,0.00726744186046512,0,0,0.00726744186046512,0,0,0,0,0,0
"5","sample_00005","11.05.2022","t7",5,NA,NA,1,1.042,0.0302906976744186,6846.07545,199.01382122093,78.6446056699653,18.5067877527234,36.451704781211,9.15299282908456,245.32594331323,222.250069903359,132.758461538462,123.922948362155,0.476153846153846,0,0,0,0,0,0,0,0,0,0,0
"6","sample_00006","11.05.2022","t7",6,NA,NA,1,1.056,0.0306976744186047,6461.07597,187.821975872093,78.1325028,18.8684394701642,31.2406146,2.59188184858089,207.616,56.869716679442,104.468333333333,70.5925478833755,0.335,0.0290697674418605,0.0250581395348837,0,0,0.0199418604651163,0,0,0,0,0,0
"7","sample_00007","11.05.2022","t7",7,NA,NA,1,1,0.0290697674418605,9688.6287,281.646183139535,78.9686285512487,36.8896566237447,30.1771534849401,10.3485787213662,387.678868255551,272.606682018085,232.705555555556,244.198752398948,0.651666666666667,0.00726744186046512,0.0218023255813953,0,0,0.0145348837209302,0,0,0,0,0,0
"8","sample_00008","11.05.2022","t7",8,NA,NA,1,1.286,0.0373837209302326,5741.104635,166.892576598837,69.7535797079846,32.4618396717064,30.5748728283268,9.1547868751745,423.673688900205,275.945366691513,230.335,187.94670918759,0.566,0.0156976744186047,0.016046511627907,0,0,0.0190697674418605,0,0,0.0127325581395349,0.000872093023255814,0,0
"9","sample_00009","11.05.2022","t7",9,NA,NA,1,0.876,0.0254651162790698,4796.02539,139.419342732558,73.0963493472897,19.5709579599141,29.7684925444508,7.68574150042492,241.196295303755,181.878135925958,142.051538461538,101.893539445684,0.567692307692308,0.00726744186046512,0.00587209302325581,0.00180232558139535,0,0.0101162790697674,0,0,0.00215116279069767,0,0,0
"10","sample_00010","11.05.2022","t7",10,NA,NA,1,2.018,0.0586627906976744,9880.439535,287.222079505814,60.3674851604234,26.226328928595,27.8217514872319,8.4636855700926,202.536251479036,134.395812015024,108.9975,134.872279395799,0.798863636363636,0.00831395348837209,0.0311627906976744,0,0,0.0134302325581395,0,0,0.00726744186046512,0,0,0
"11","sample_00011","11.05.2022","t7",11,NA,NA,1,1.216,0.0353488372093023,5137.098975,149.33427252907,62.628930421782,18.2294748563196,26.6103580347686,6.46494810975087,175.616989983372,76.157039240856,103.458333333333,81.6494804224254,0.778095238095238,0.0047093023255814,0.101220930232558,0.00313953488372093,0.00215116279069767,0.0218023255813953,0,0,0.0072093023255814,0.000813953488372093,0,0
"12","sample_00012","11.05.2022","t7",12,NA,NA,1,2.27,0.0659883720930233,14665.311225,426.317186773256,68.3840580431522,43.6892798432014,29.9628055707531,10.4766047259488,218.862020798721,137.235433677573,111.098360655738,125.204452598944,0.679016393442623,0.00837209302325581,0.0974418604651163,0.00133720930232558,0,0.0036046511627907,0,0,0,0,0.00511627906976744,0
"13","sample_00013","11.05.2022","t7",13,NA,NA,1,1.74,0.0505813953488372,6301.414035,183.180640552326,74.5323936122521,28.1241764603561,29.6270615271157,7.39902391408754,203.389220664881,130.381907973873,96.160625,108.708296430938,0.54875,0.0322093023255814,0.132383720930233,0,0.000813953488372093,0.0377325581395349,0.0027906976744186,0,0,0,0.0143023255813953,0
"14","sample_00014","11.05.2022","t7",14,NA,NA,1,2.208,0.0641860465116279,12088.83933,351.419747965116,77.1930532090014,25.9140134947054,31.9339240033885,8.97731451598723,204.725061169571,122.059944475673,105.867291666667,105.9480188832,0.6175,0.011046511627907,0.0208139534883721,0,0,0,0.0145348837209302,0,0.00575581395348837,0,0,0
"15","sample_00015","11.05.2022","t7",15,NA,NA,1,0.21,0.0061046511627907,112.8492,3.2805,59.46495255,52.7238827881704,25.447750425,14.7567092448052,161.189928571429,56.4583348523132,156.925,51.6258660944298,0.21,0.0251744186046512,0.144418604651163,0,0,0.0088953488372093,0.00273255813953488,0.0227325581395349,0.00127906976744186,0.00238372093023256,0,0
"16","sample_00016","11.05.2022","t7",16,NA,NA,1,2.178,0.0633139534883721,11513.144385,334.684429796512,144.7950492,NA,51.0143184,NA,559.15,NA,196.28,NA,0.4,0.0013953488372093,0.00726744186046512,0,0,0,0,0,0,0,0,0
"17","sample_00017","11.05.2022","t7",17,NA,NA,1,1.42,0.0412790697674419,4186.016415,121.68652369186,110.03090625,NA,46.88836875,NA,779.471153846154,NA,332.26,NA,0.51,0,0,0,0,0,0,0.00726744186046512,0,0,0,0
