"","file","date","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","17.04.2022","t1",1,NA,0.75,0.0218023255813953,3433.43691,99.8092125,61.0706951013547,28.1935837490921,25.50146290265,10.3392029270915,315.784157291097,195.008554637255,239.609827586207,209.267217124727,0.597586206896552,0.0121511627906977,0.0965116279069767,0.0291279069767442,0.00215116279069767,0.0290697674418605,0,0,0.0151744186046512,0,0,0
"2","sample_00002","17.04.2022","t1",2,NA,1.238,0.0359883720930233,5527.57689,160.685374709302,61.9856094439476,30.1099754277825,24.5251309981344,7.30929166263365,287.31950184263,183.52526589688,190.741408450704,188.8922620611,0.681267605633803,0.00598837209302326,0.0700581395348837,0.0204651162790698,0.0172674418604651,0.00843023255813953,0.00697674418604651,0.0159883720930233,0.0437209302325581,0.000930232558139535,0.00232558139534884,0
"3","sample_00003","17.04.2022","t1",3,NA,1.344,0.0390697674418605,8058.08898,234.246772674419,64.0818645511895,45.9378007940489,25.027132117962,10.8890025809219,258.846848699918,164.300125174554,168.67,183.881145970647,0.690425531914894,0.0155813953488372,0.0891860465116279,0.00883720930232558,0.00796511627906977,0.00325581395348837,0.00273255813953488,0,0.0186046511627907,0.000872093023255814,0.0145348837209302,0
"4","sample_00004","17.04.2022","t1",4,NA,2.148,0.0624418604651163,10532.209275,306.168874273256,68.3262673980817,47.2243099741325,23.7813889606582,8.27703342818409,376.915244184504,166.803914000172,244.548571428571,176.917955646825,0.398,0.00116279069767442,0.0626162790697674,0.0192441860465116,0,0.0142441860465116,0.00575581395348837,0.0106976744186047,0.0137790697674419,0,0.0138953488372093,0
"5","sample_00005","17.04.2022","t1",5,NA,1.042,0.0302906976744186,6846.07545,199.01382122093,73.8034576105978,29.5915683935623,29.4701827778726,10.7194293748415,280.781030787654,151.498097127287,174.283714285714,145.401456200446,0.607428571428571,0.00802325581395349,0.0583139534883721,0.0108720930232558,0.0036046511627907,0.00726744186046512,0,0.00715116279069767,0.0128488372093023,0.00517441860465116,0.00104651162790698,0
"6","sample_00006","17.04.2022","t1",6,NA,1.056,0.0306976744186047,6461.07597,187.821975872093,76.0155680978174,63.3703969329375,30.505647418123,23.8279025944284,432.580212015887,196.565974037842,337.692666666667,220.602433310693,0.337666666666667,0.00726744186046512,0.0373837209302326,0.0605813953488372,0.0036046511627907,0.0205232558139535,0.00726744186046512,0.013953488372093,0.0466860465116279,0.017093023255814,0.00726744186046512,0
"7","sample_00007","17.04.2022","t1",7,NA,1,0.0290697674418605,9688.6287,281.646183139535,61.9123308034033,36.8475171519388,25.0177766080681,7.70632535349464,348.005877952294,265.31942373053,232.089852941176,275.507620180622,0.681911764705882,0,0.078546511627907,0.0262209302325581,0.00877906976744186,0.0294186046511628,0.0112209302325581,0.0190116279069767,0.0283720930232558,0.00145348837209302,0.0165116279069767,0
"8","sample_00008","17.04.2022","t1",8,NA,1.286,0.0373837209302326,5741.104635,166.892576598837,74.4529057836795,84.3136540228129,28.5611618880918,18.7941590609954,382.845169489856,225.684624494908,288.507288135593,251.849860616437,0.540677966101695,0.0122093023255814,0.0626744186046512,0.0473837209302326,0.000755813953488372,0.016046511627907,0.0203488372093023,0.00726744186046512,0.0282558139534884,0.0112209302325581,0.00366279069767442,0
"9","sample_00009","17.04.2022","t1",9,NA,0.876,0.0254651162790698,4796.02539,139.419342732558,77.3163214560501,103.675223269877,27.2215532674908,12.1028488449831,301.976182674863,190.411050029582,181.904259259259,202.122770141858,0.655925925925926,0.0129651162790698,0.0952906976744186,0.0295348837209302,0.00203488372093023,0.0117441860465116,0,0,0.0145348837209302,0.00726744186046512,0,0
"10","sample_00010","17.04.2022","t1",10,NA,2.018,0.0586627906976744,9880.439535,287.222079505814,69.1235601811832,40.7630743129207,28.2795118235835,9.98079068654839,269.313446698413,160.933886014327,149.376119402985,166.042700385712,0.786567164179104,0.0125,0.0841279069767442,0.00627906976744186,0,0.016453488372093,0.00726744186046512,0.0109302325581395,0.0324418604651163,0.00843023255813953,0.0202325581395349,0
