"file","date","time_point","species","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00001","12.04.2022","training","Ble",NA,2.16,0.0627906976744186,13495.71456,392.31728372093,80.25587325,71.7816058734599,39.113792325,29.7318086999509,184.376306451613,72.0499862196143,93.68,42.0568139544593,0.6675
"sample_00002","12.04.2022","training","Ble",NA,4.808,0.139767441860465,21348.05058,620.582865697674,94.5637788760396,51.0917352554339,50.3159236324753,18.7190221814369,237.618748514852,78.6355961774788,148.056,114.959329677934,0.224
"sample_00003","12.04.2022","training","Ble",NA,4.952,0.143953488372093,31784.50206,923.968083139535,119.464660269651,42.7445418797644,50.8995614413659,21.6338843214514,371.764404859754,130.267139433873,349.157142857143,121.466086174192,0.2
"sample_00004","12.04.2022","training","Ble",NA,8.592,0.249767441860465,42128.8371,1224.67549709302,109.208057280422,45.1599784742601,48.2182694217213,15.0494686148012,267.124962811689,130.174695840261,218.9725,157.542186334328,0.240833333333333
"sample_00005","12.04.2022","training","Ble",NA,3.6,0.104651162790698,27042.86736,786.129865116279,142.564408537065,79.448395914897,53.8097209572654,29.0991331600841,374.446361282561,138.478225836194,304.2675,156.505959923789,0.1425
"sample_00006","12.04.2022","training","Ble",NA,3.752,0.10906976744186,25730.40492,747.976887209302,134.256680607447,10.020900969014,64.7550821393617,10.7737759223855,327.240696808511,163.999158992175,311.7,157.524835502215,0.1325
"sample_00007","12.04.2022","training","Ble",NA,4,0.116279069767442,38754.5148,1126.58473255814,160.3508724,17.6447737953441,76.5188208,8.62758285981955,298.413,136.270493715013,251.515,181.027823736205,0.1275
"sample_00008","12.04.2022","training","Ble",NA,4.832,0.14046511627907,22896.5778,665.598191860465,103.711831574101,30.4678170142401,54.6694432058986,15.9234728034106,211.630857142857,88.7954070656764,109.972,131.002304827053,0.25
"sample_00009","12.04.2022","training","Ble",NA,3.064,0.0890697674418605,18506.21904,537.97148372093,112.148564826908,54.0332270095789,48.2074786285224,21.07886398405,343.72010076314,124.673188987333,220.34,153.267853609294,0.4
"sample_00010","12.04.2022","training","Ble",NA,7.392,0.214883720930233,38432.3697,1117.2200494186,92.9228939403583,65.0290475524416,43.5580783984329,21.2412511572643,284.708934242067,143.815723877459,236.951,159.250333643467,0.228
"sample_00011","12.04.2022","training","Ble",NA,4.648,0.135116279069767,20177.83062,586.564843604651,109.796605373793,22.8827107253664,48.6468718448276,6.98779213185569,386.782150224888,85.8819045150826,321.664,175.409573085393,0.152
"sample_00012","12.04.2022","training","Ble",NA,8.36,0.243023255813953,56795.69016,1651.03750465116,134.712956448216,36.9055336735723,62.4287937362261,10.3433822066336,267.635175563802,115.691804649197,213.015555555556,130.760270352955,0.21
"sample_00013","12.04.2022","training","Ble",NA,6.48,0.188372093023256,25096.74354,729.556498255814,77.1579944438961,51.6611540689056,37.1816048618182,19.7168561220395,274.361378635785,144.14160663112,170.379,162.058240864889,0.474
"sample_00014","12.04.2022","training","Ble",NA,8.424,0.244883720930233,48260.0916,1402.90963953488,118.218314989184,54.7265815690698,52.368891323696,19.7997449338992,349.109782169356,117.608718366063,299.823333333333,162.142111201871,0.123333333333333
"sample_00015","12.04.2022","training","Ble",NA,0.672,0.0195348837209302,369.51552,10.7417302325581,31.9303288636364,5.43735962648339,20.8536893181818,2.72064540938731,176.848877494457,8.44030326828449,56.83,45.4103974878001,0.325
"sample_00016","12.04.2022","training","Ble",NA,8.024,0.233255813953488,45874.77444,1333.5690244186,134.374302257143,44.1401521129108,50.4723326142857,12.5211868877362,360.522714285714,96.1531663178545,276.632222222222,133.302324133694,0.127777777777778
"sample_00017","12.04.2022","training","Ble",NA,5.216,0.151627906976744,16358.67252,475.542805813954,94.1560096747253,49.4883694647555,41.9080457793956,10.0701194547095,289.79105833872,150.318501342919,242.802857142857,180.223692644658,0.194285714285714
"sample_00018","12.04.2022","training","Ble",NA,4.392,0.127674418604651,22273.54524,647.486780232558,115.578798532344,39.3739108908408,50.6007474954786,18.6716205529685,313.016990429314,56.6639295375337,234.422,156.502224488983,0.144
"sample_00019","12.04.2022","training","Ble",NA,1.616,0.0469767441860465,13752.38088,399.778513953488,148.225293584416,19.9243774638156,67.8396257766234,14.4752239629227,376.859701298701,62.20800375424,349.175,99.7232693507388,0.075
"sample_00020","12.04.2022","training","Ble",NA,7.392,0.214883720930233,17931.73788,521.27145,64.528711645623,42.6985766618952,36.2794792958754,17.5464742365378,220.316460594523,97.2906922572343,188.69375,113.825325569802,0.30625
"sample_00021","12.04.2022","training","Ble",NA,6.68,0.194186046511628,29539.72152,858.712834883721,80.3625172353483,58.1019337961774,37.4841452535974,22.5781709604509,323.440140353506,128.857972769938,236.576,166.867048488044,0.466
"sample_00022","12.04.2022","training","Cep",NA,21.76,0.632558139534884,32300.85276,938.978277906977,55.8955164023915,18.578194664541,26.1671098864758,7.56017377244213,158.190033463158,43.4838257532319,85.2,67.6984278779268,0.660277777777778
"sample_00023","12.04.2022","training","Cep",NA,8.688,0.252558139534884,13358.45844,388.327280232558,60.4861033928705,13.204492791468,28.6896470529175,5.54288719662825,148.297738084974,53.5819288915168,91.336,71.7132227098223,0.651333333333333
"sample_00024","12.04.2022","training","Cep",NA,15.512,0.45093023255814,21971.87046,638.717164534884,59.4336279250523,17.3296117752038,25.018510324333,6.98321068613931,197.518766181074,37.2522411252395,148.57,63.4173083022899,0.487037037037037
