"file","date","time_point","culture_ID","comment","time","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00001","03.05.22","t5",1,NA,10,3.672,0.106744186046512,9462.14298,275.062295930233,91.7055257967861,21.1213705564748,33.0853921137666,8.18346559246163,302.544423152057,260.724006931787,240.43,246.599981650445,0.53
"sample_00002","03.05.22","t5",2,NA,10,1.88,0.0546511627906977,6125.08716,178.054859302326,85.61233305,44.0524375650728,34.810606575,8.68498178611242,274.130875,119.964441413057,129.41,36.2150120806276,0.456666666666667
"sample_00003","03.05.22","t5",3,NA,10,3.704,0.107674418604651,6923.42964,201.262489534884,63.5317097375741,28.9077205211779,29.2995300847439,8.19872914182829,194.770312289648,139.152787960992,83.232,86.2624464642639,0.654
"sample_00004","03.05.22","t5",4,NA,10,2.96,0.086046511627907,7056.48672,205.130427906977,74.4226414898874,27.9704845496685,28.0623521156161,8.22852837752604,345.558837670951,256.330631141982,242.55625,285.827140115815,0.565
"sample_00005","03.05.22","t5",5,NA,10,2.984,0.0867441860465116,5799.53034,168.590998255814,79.9951439487915,7.81243448754588,32.114836113425,4.94187175454025,179.70172236489,39.2905517753186,133.67,69.3201351220072,0.455
"sample_00006","03.05.22","t5",6,NA,10,10.808,0.314186046511628,27147.05604,789.158605813953,91.3365853345929,27.0364277110437,31.4342174325733,8.16535332414162,280.609003958004,192.483281587029,180.156428571429,122.373326694438,0.479285714285714
"sample_00007","03.05.22","t5",7,NA,10,5.752,0.167209302325581,16444.88406,478.048955232558,94.910984828779,29.9862772122568,35.9369971832584,8.34944300858944,428.929539259772,255.423427227237,174.995714285714,92.4705399676284,0.438571428571429
"sample_00008","03.05.22","t5",8,NA,10,8.648,0.251395348837209,24443.13672,710.5563,87.8376510929995,35.8210828162026,29.2966881461181,10.6985863543901,324.800498727624,246.608319355134,216.613571428571,217.077013969596,0.46
"sample_00009","03.05.22","t5",9,NA,10,7.448,0.216511627906977,21796.16688,633.609502325581,95.807817503065,37.6252124396474,35.5214311007179,9.57841180741753,328.212217551946,176.611131968042,181.60625,137.862014133957,0.485
"sample_00010","03.05.22","t5",10,NA,10,8.056,0.234186046511628,20034.6696,582.403186046512,83.162363752029,39.8371961642828,31.3586215298312,8.95777509453889,361.988328325936,350.690119780655,231.194545454545,338.287612080716,0.376363636363636
"sample_00011","03.05.22","t5",11,NA,10,16.72,0.486046511627907,64670.72724,1879.96300116279,104.751027666019,48.9657896203531,38.5743509856556,9.99029678897242,269.703362588738,201.830578742919,192.607826086957,197.292916035489,0.559130434782609
"sample_00012","03.05.22","t5",12,NA,10,16.72,0.486046511627907,64900.0998,1886.63080813953,102.072247474532,41.1278154725645,40.2160911238909,13.1609569802104,279.00887987142,187.609249724692,164.865769230769,184.814878235992,0.495769230769231
"sample_00013","03.05.22","t5",13,NA,10,16.816,0.488837209302326,83077.3503,2415.03925290698,117.987628258077,40.265030516105,40.5508296680245,14.0152016841549,290.653998885863,135.85995076822,161.3828,124.851627993658,0.4456
"sample_00014","03.05.22","t5",14,NA,10,11.248,0.326976744186046,26292.68262,764.322169186046,78.7113498593991,39.9165034528557,28.1754026152196,9.71335190020457,248.321785742526,166.387383888513,191.514375,127.715828879,0.521875
"sample_00015","03.05.22","t5",15,NA,10,22.176,0.644651162790698,101757.96072,2958.08025348837,86.4646323642772,67.3429066227024,33.5508615715624,17.9834833570803,297.658429546119,168.782460501888,162.608048780488,172.955532149445,0.640243902439024
"sample_00016","03.05.22","t5",16,NA,10,5.168,0.150232558139535,9507.28266,276.374495930233,71.3368659054321,21.8580458030458,26.8344846869298,6.03081226963592,168.774146003438,50.9323115638299,116.335,74.5907556455743,0.597
"sample_00017","03.05.22","t5",17,NA,10,2.8,0.0813953488372093,7061.6043,205.279194767442,70.4800387158515,40.9171664799287,27.7821727224962,11.4016831542409,299.869909850898,109.335585828027,184.302,41.647351296331,0.672
"sample_00018","03.05.22","t5",18,NA,10,3.344,0.0972093023255814,6910.57008,200.888665116279,79.6304770813187,6.57682792282236,31.5745523813833,8.22069847366861,305.923712633771,305.656970870317,207.09,230.868234194313,0.741666666666667
"sample_00019","03.05.22","t5",19,NA,10,3.2,0.0930232558139535,4003.91586,116.392902906977,50.4963790905324,16.9675319487654,26.9634517887979,9.51333697985708,385.612181873406,250.528709169366,243.5,247.360947835922,0.56375
"sample_00020","03.05.22","t5",20,NA,10,3.952,0.114883720930233,7493.71176,217.840458139535,82.5820607287348,13.6915792222058,28.9990914350189,5.89475837194535,233.843334914796,30.1374957394381,176.618571428571,63.4979901069242,0.494285714285714
"sample_00021","03.05.22","t5",21,NA,10,6.512,0.189302325581395,9430.51896,274.142993023256,64.0415228815179,21.5375153043288,26.9602271952929,5.08341135006257,285.664118092192,147.328036337163,194.626,87.1345669639782,0.534
"sample_00022","03.05.22","t5",22,NA,10,5.456,0.158604651162791,15578.30718,452.857766860465,88.1517098029542,24.0937163981939,32.5328906042739,10.3359788850615,272.912715420362,152.212641713011,185.361111111111,59.9013619303527,0.518888888888889
"sample_00023","03.05.22","t5",23,NA,10,9.264,0.269302325581395,24778.79748,720.313880232558,86.5986472347875,58.4291203652209,28.9092119491056,10.2646853215072,278.364691014228,131.654355684376,211.842222222222,124.427834296481,0.547222222222222
"sample_00024","03.05.22","t5",24,NA,11,4.76,0.138372093023256,14460.444,420.361744186047,102.134309904299,23.3506221929855,34.3206964627885,9.98026565776014,282.63497490701,154.249145204321,166.234444444444,143.622901473887,0.616666666666667
"sample_00025","03.05.22","t5",25,NA,11,5.968,0.173488372093023,12413.80566,360.866443604651,65.5349335390442,34.1160874887707,29.8433725253585,10.0669502998509,323.75289402653,191.765048038451,236.394166666667,165.011921082213,0.674166666666667
"sample_00026","03.05.22","t5",26,NA,11,6.64,0.193023255813953,19219.92462,558.718738953488,86.2259433648683,31.2161063713782,36.5376761227818,9.26350217284008,352.524236806626,400.198876392869,198.574545454545,354.948712812531,0.489090909090909
"sample_00027","03.05.22","t5",27,NA,11,3.552,0.103255813953488,10841.65884,315.164501162791,100.708395604724,29.4428612560175,36.7589164848371,8.93086280976053,563.433884078895,388.15659693452,341.222,400.240156993273,0.306
"sample_00028","03.05.22","t5",28,NA,11,25.624,0.744883720930233,93404.75796,2715.25459186047,92.8844060578358,50.7814045333241,35.1228094315194,12.47796032326,334.361710722405,229.08512493145,203.054888888889,210.330786399361,0.570222222222222
"sample_00029","03.05.22","t5",29,NA,11,18.704,0.543720930232558,43086.34944,1252.51015813953,78.7033265906737,26.0736470220275,30.0509634897323,9.81222679018581,180.77413050596,51.3902716249538,128.797142857143,64.5620288506501,0.540714285714286
