"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment","time","replicate"
"sample_00001",55.106032,6.31990254740096,5676.18354,531.347841834989,323.1597708,18.7942347830887,135.7743384,10.3511040914767,53.3084976,4.07773117553298,2.564992,0.299531986982703,-0.04,0.47,5,125,1326.9,1327,265.38,2131.52,426.3,31.58,1.6,7.33,183.38,789.56,39.93,"sample_00001-1","07.05.22","t6",1,NA,NA,1
"sample_00001",64.454696,8.09523092004016,4356.89766,365.76794372185,278.4471228,23.3765661315075,109.3465008,11.7717497278253,50.9955588,3.62351846466841,2.16736,0.364221427688016,0,0.15,5,125,774.66,775,154.93,845.87,169.17,11.2,2.86,1.45,36.31,280.03,71.55,"sample_00001-6","07.05.22","t6",1,NA,NA,1
"sample_00001",59.340408,13.3196187330981,4917.07584,979.032660834633,289.3125924,47.4821087614057,113.0983236,24.9403494658825,55.7297496,3.29150064166674,2.050264,0.521344990478257,-0.01,0.28,5,125,657.55,658,131.51,826.43,165.29,13.07,0.9,2.59,64.74,326.76,22.41,"sample_00001-7","07.05.22","t6",1,NA,NA,1
"sample_00001",40.313856,5.61933050871663,3815.2215,336.615624270808,270.1395684,23.9423607557932,112.0354416,12.983053994264,43.6017492,3.01661645105599,2.59568,0.431437555755325,0,0.12,5,125,868.62,869,173.72,1088.99,217.8,13.03,3.99,1.83,45.77,325.86,99.85,"sample_00001-8","07.05.22","t6",1,NA,NA,1
"sample_00002",39.0790980392157,6.91336409935106,3071.44852941176,895.755786837598,241.03305,60.4236293498777,97.5216970588235,28.157198810424,39.7235911764706,7.34347274476256,2.49996078431373,0.807060219829582,0.1,0.86,2.04,51,138.57,30,14.71,366.74,179.77,23.09,0.26,4.51,112.83,577.34,6.48,"sample_00002-11","07.05.22","t6",2,NA,NA,1
"sample_00002",43.1698125,8.05054436723822,3643.4053125,848.960045604837,275.1409265625,43.1316493564816,116.2751203125,19.6949831361492,38.9666953125,6.12071025070804,2.97196875,0.340108188135918,-0.03,0.19,1.28,32,235.63,236,184.09,247.86,193.64,22.73,4.48,3.04,75.87,568.15,112.09,"sample_00002-16","07.05.22","t6",2,NA,NA,1
"sample_00002",34.600085106383,2.45076145957331,3478.02797872341,788.077044105005,288.172665957447,42.6685194363824,123.523621276596,20.021514962781,35.2870468085106,5.0008797537925,3.50878723404255,0.449991880901162,-0.03,0.44,1.88,47,386.97,387,205.84,448.82,238.73,20.71,5.17,2.79,69.65,517.69,129.14,"sample_00002-3","07.05.22","t6",2,NA,NA,1
"sample_00003",43.462112,3.28903634582062,4182.37506,233.197622050238,263.542572,8.11463977470111,107.3216952,3.97781247728605,49.635342,2.46500933970127,2.168288,0.144700960604966,0.02,0.5,5,125,229.38,53,10.5,1128.33,225.67,15.8,1.99,2.79,69.83,395.09,49.69,"sample_00003-1","07.05.22","t6",3,NA,NA,1
"sample_00003",42.7421515151515,5.54058820276112,3552.88090909091,1025.65590743893,269.779827272727,64.2720763075105,114.502090909091,30.9860295320792,39.0267818181818,2.66977935107175,2.90536363636364,0.734456764307038,-0.04,0.32,1.32,33,148.93,149,112.83,165.95,125.72,8.93,1.08,2.11,52.8,223.21,26.98,"sample_00003-14","07.05.22","t6",3,NA,NA,1
"sample_00003",46.657328,11.8616180584324,3712.8699,333.028217649263,271.9802448,28.3558311240215,115.3123128,15.1338225640263,41.2817472,2.40014239629907,2.82048,0.492899610272164,-0.01,0.22,5,125,998.79,999,199.76,1059.81,211.96,18.94,0.94,3.24,80.95,473.5,23.49,"sample_00003-4","07.05.22","t6",3,NA,NA,1
"sample_00003",57.2234347826087,7.34617982552738,3253.04364130435,731.706390772568,232.30342173913,29.738977820526,87.3966228260869,13.3233378161393,46.6456989130435,5.96457419260205,1.87197826086957,0.171330543314564,0.09,0.99,1.84,46,127.31,116,63.13,216.33,117.57,25.14,0.06,4.55,113.81,628.56,1.44,"sample_00003-7","07.05.22","t6",3,NA,NA,1
