"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","species","comment"
"sample_00001",38.233176,6.81082454515628,609.5169,83.6470436858293,87.890832,6.33549018587342,31.3616772,2.32528018694578,24.707268,2.48778792556696,1.280496,0.146790481804465,0.25,1.19,5,125,185.26,152,30.42,532.39,106.48,8.87,0.23,2.59,64.72,221.76,5.68,"sample_00001-11","12.04.2022","training","Ble",NA
"sample_00001",31.6265348837209,3.60867354707475,499.32261627907,84.936172808232,87.0521598837209,9.84564820248555,36.1737052325581,4.56978993378721,17.5782715116279,2.08622408169204,2.08574418604651,0.38128189929566,0,0.23,3.44,86,730.99,731,212.5,779.75,226.67,17.62,3.49,1.85,46.18,440.46,87.21,"sample_00001-14","12.04.2022","training","Ble",NA
"sample_00001",23.271952,4.52973062621438,405.60102,135.616940508673,75.6912275999999,13.6529144596352,31.8847104,6.12094299649511,15.8439564,2.66307024109222,2.024176,0.288479050058372,0.06,0.37,5,125,878.1,878,175.62,1080.67,216.13,13.24,0.34,2.06,51.44,331.04,8.48,"sample_00001-19","12.04.2022","training","Ble",NA
"sample_00001",62.4864752475248,13.8992696560604,9636.38754950495,2672.91772490216,435.254382178218,99.1003415796037,173.900263366337,46.1865924274128,69.6926806930693,8.36537393583506,2.48841584158416,0.63374324875815,0.04,0.19,4.04,101,582.22,582,144.11,842.06,208.43,14.72,2.23,2.69,67.17,368.05,55.65,"sample_00001-2","12.04.2022","training","Ble",NA
"sample_00001",28.416688,6.38552568050486,318.8646,74.3355611897777,62.5432427999999,7.30337057275696,23.700114,2.36215890067547,16.9596504,2.51455515833202,1.413904,0.153133845313977,0.2,1.34,5,125,312.25,312,62.45,551.51,110.3,10.36,0.26,3.07,77.04,258.97,3.58,"sample_00001-21","12.04.2022","training","Ble",NA
"sample_00001",40.596744,8.71652989357281,435.38796,59.9237871262054,73.5858756,5.2313609553486,26.941896,1.67836273971766,20.5373232,2.19247282794381,1.323728,0.137553296181235,-0.09,0.81,5,125,261.41,261,52.22,349.49,69.9,4.94,0.07,1.16,29.26,123.43,1.85,"sample_00001-23","12.04.2022","training","Ble",NA
"sample_00001",27.95728,3.53264456727671,606.76128,90.5976463638819,91.8409428,7.1791618295303,36.5085144,3.97857315899107,21.2376816,2.67866750403231,1.754608,0.333814800305837,0,0.58,5,125,357.37,357,71.47,421.73,84.35,6.59,0.5,1.11,27.77,164.82,12.46,"sample_00001-25","12.04.2022","training","Ble",NA
"sample_00001",40.88936,9.03744827888649,455.72706,58.9410210310943,76.2740388,5.1654173375013,28.4416596,1.94719046778959,20.3921712,2.09843189696981,1.408544,0.168416510569059,0.14,0.81,5,125,257.77,254,50.82,463.31,92.66,9.3,0.36,1.72,43.08,232.58,8.88,"sample_00001-28","12.04.2022","training","Ble",NA
"sample_00001",38.700552,7.41903052145781,526.58586,80.7279123885868,82.7150616,6.17631766902539,31.6460844,2.51617801085598,21.1944276,2.8159771717886,1.518024,0.224121203672218,0.01,0.27,5,125,683.89,684,136.78,876.06,175.21,10.1,3.2,1.35,33.64,252.5,80.02,"sample_00001-29","12.04.2022","training","Ble",NA
"sample_00001",38.228392,6.34421913252911,546.79374,67.595352749796,83.0327112,5.01918932642218,29.8248804,1.46587232193997,23.3194464,2.39989044945013,1.29076,0.132215818193759,0.49,1.05,5,125,155.4,148,29.67,568.15,113.63,8.27,0.07,2.51,63,206.84,1.81,"sample_00001-33","12.04.2022","training","Ble",NA
