"","file","date","time_point","culture_ID","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","17.04.2022","t1",1,22.88,0.665116279069767,48394.72332,1406.82335232558,69.4024393351734,28.1143908640786,28.803378973816,11.0111234289928,284.373721064123,181.967220396133,189.093684210526,182.423787247243,0.634210526315789,0.0290697674418605,0.376511627906977,0.08,0.00627906976744186,0.116279069767442,0.0086046511627907,0,0.0409302325581395,0,0.00744186046511628,0
"2","sample_00002","17.04.2022","t1",2,22.464,0.653023255813953,38115.60462,1108.0117622093,72.6727075232971,28.8762799551657,27.0736815440741,6.76861276049546,297.186088898077,183.339122303256,169.48380952381,181.018324257079,0.735,0,0.257441860465116,0.0506976744186047,0.0581395348837209,0.0411627906976744,0.0167441860465116,0.063953488372093,0.164883720930233,0,0,0
"3","sample_00003","17.04.2022","t1",3,20.32,0.590697674418605,48263.10966,1402.99737383721,73.9105853003527,50.1087413472078,27.3687969315763,11.8404387972336,248.721822004091,156.017413761513,136.757878787879,169.748447006106,0.685151515151515,0.0872093023255814,0.312093023255814,0.0176744186046512,0.0223255813953488,0.0086046511627907,0.0109302325581395,0,0.0737209302325581,0,0.0581395348837209,0
"4","sample_00004","17.04.2022","t1",4,18.464,0.536744186046512,35599.72356,1034.87568488372,77.9089414789947,48.0116081186529,25.4974471049344,8.09767264195615,376.322248187654,179.104592670128,216.395357142857,176.474607458539,0.450714285714286,0,0.25046511627907,0.0527906976744186,0,0.0569767441860465,0.0230232558139535,0.0427906976744186,0.0551162790697674,0,0.0555813953488372,0
"5","sample_00005","17.04.2022","t1",5,14.44,0.419767441860465,36096.26004,1049.30988488372,81.3136124227418,26.8391431479166,31.7590374973232,11.20728635964,289.9845811953,155.246751901586,152.7432,134.878967835365,0.6376,0.0497674418604651,0.22046511627907,0.05,0.0116279069767442,0.0290697674418605,0,0.0286046511627907,0.0302325581395349,0,0,0
"6","sample_00006","17.04.2022","t1",6,28.216,0.820232558139535,113384.31516,3296.05567325581,84.07986086638,67.1230829252096,31.7096705372648,22.9842897835519,431.344066943261,195.864649069313,305.594090909091,218.417393733193,0.383181818181818,0.0290697674418605,0.146511627906977,0.19906976744186,0.0104651162790698,0.0762790697674419,0.0290697674418605,0.101162790697674,0.141395348837209,0.0581395348837209,0.0290697674418605,0
"7","sample_00007","17.04.2022","t1",7,27.608,0.802558139534884,47311.89588,1375.34581046512,67.4136649212725,40.010293921772,26.2176339362198,7.66227274243841,365.060037882302,288.574323836057,240.640576923077,293.446240193965,0.685961538461538,0,0.280232558139535,0.083953488372093,0.0253488372093023,0.106744186046512,0.0448837209302326,0.105116279069767,0.0923255813953488,0.00581395348837209,0.0581395348837209,0
"8","sample_00008","17.04.2022","t1",8,27.232,0.791627906976744,125018.67402,3634.26377965116,85.7130751405474,92.4540536079995,31.0467931116316,20.5498454913417,386.471715485128,225.651021305927,279.386739130435,250.374943031485,0.503260869565217,0.0741860465116279,0.242790697674419,0.151860465116279,0,0.0653488372093023,0.0883720930232558,0.0072093023255814,0.105813953488372,0.0413953488372093,0.0146511627906977,0
"9","sample_00009","17.04.2022","t1",9,21.296,0.61906976744186,95128.98876,2765.37758023256,91.6723482038373,124.277522577033,29.6669641891708,13.720572525598,318.032767958382,203.916366082832,169.250555555556,213.216995984901,0.681666666666667,0.0444186046511628,0.347209302325581,0.0795348837209302,0,0.0493023255813953,0,0,0.0695348837209302,0.0290697674418605,0,0
"10","sample_00010","17.04.2022","t1",10,23.896,0.694651162790698,66105.48672,1921.6711255814,78.8595515860979,42.7603978335121,30.7063546992558,10.9063643725676,290.127635181331,168.445746319457,155.366744186047,173.240151863587,0.74046511627907,0.0567441860465116,0.273023255813953,0.0134883720930233,0,0.0606976744186047,0.0290697674418605,0.086046511627907,0.0581395348837209,0.0290697674418605,0.0883720930232558,0
"11","sample_00011","17.04.2022","t1",11,23.624,0.686744186046512,51245.08416,1489.68267906977,67.9023780018249,39.6817390553912,29.2744290972565,12.8967143864638,432.049247698686,218.591024844591,293.109189189189,236.525251017241,0.456216216216216,0.0218604651162791,0.13953488372093,0.190232558139535,0.0283720930232558,0.106279069767442,0.04,0.0581395348837209,0.0741860465116279,0.0281395348837209,0,0
"12","sample_00012","17.04.2022","t1",12,37.048,1.07697674418605,97467.06672,2833.3449627907,75.1248491104315,49.0339226891124,30.4752026382583,14.0424274654516,421.443485480615,248.326032734339,297.884406779661,280.372308542564,0.502542372881356,0.141860465116279,0.183255813953488,0.135348837209302,0.027906976744186,0.232093023255814,0.0453488372093023,0.163720930232558,0.12,0.0274418604651163,0,0
"13","sample_00013","17.04.2022","t1",13,26.72,0.776744186046512,76405.60062,2221.09304127907,74.9206274544498,64.8306953500122,27.8550195398958,14.7586621934753,436.432471188368,214.825814360071,350.42880952381,245.087701179149,0.357619047619048,0.0872093023255814,0.147209302325581,0.267209302325581,0.00953488372093023,0.0655813953488372,0.0609302325581395,0.0241860465116279,0,0.0576744186046512,0.0572093023255814,0
"14","sample_00014","17.04.2022","t1",14,20.8,0.604651162790698,36299.12616,1055.20715581395,64.1613115527861,37.2471488785523,26.7075246180441,9.25415187157083,376.494076395022,270.665048145538,244.755714285714,283.03563099625,0.577428571428571,0.0290697674418605,0.197441860465116,0.116744186046512,0.0646511627906977,0.0281395348837209,0,0.0669767441860465,0.0725581395348837,0,0.0290697674418605,0
"15","sample_00015","17.04.2022","t1",15,21.36,0.62093023255814,39093.7185,1136.44530523256,69.8337047723355,34.9232376881532,26.8281598639889,9.81443089081009,412.336028192112,224.429229106804,234.710833333333,247.654658060949,0.615555555555556,0.0290697674418605,0.152790697674419,0.10093023255814,0.0209302325581395,0.105116279069767,0.0581395348837209,0.0374418604651163,0.116511627906977,0,0,0
"16","sample_00016","17.04.2022","t1",16,33.088,0.961860465116279,74060.17434,2152.91204476744,75.0307269067856,30.245603572246,31.0377722960405,11.8651717775102,317.558256867207,211.395275630908,191.31,241.048505674688,0.66843137254902,0.043953488372093,0.519302325581395,0.166511627906977,0,0.0506976744186047,0.0323255813953488,0.0683720930232558,0.0806976744186046,0,0,0
"17","sample_00017","17.04.2022","t1",17,22.352,0.649767441860465,64254.10374,1867.85185290698,80.8105813002448,57.6739167066843,29.9523237794466,14.2223808320041,306.457703941084,225.589295107317,216.508974358974,248.942562248645,0.646153846153846,0.0581395348837209,0.203488372093023,0.0932558139534884,0.0344186046511628,0.0790697674418605,0,0.0572093023255814,0,0.0167441860465116,0.107441860465116,0
"18","sample_00018","17.04.2022","t1",18,23.312,0.677674418604651,62242.10748,1809.36358953488,78.0571034212231,44.2426176189816,31.4479082759344,13.9494905950438,281.571016796355,192.039510434772,168.38,193.581511675315,0.647878787878788,0.0872093023255814,0.266976744186046,0.0313953488372093,0.0332558139534884,0.0786046511627907,0.00651162790697674,0.0644186046511628,0.0802325581395349,0,0.0290697674418605,0
"19","sample_00019","17.04.2022","t1",19,21.728,0.631627906976744,55116.86148,1602.23434534884,77.0598789539003,38.9858963118425,30.8588860241072,12.1330322000842,262.063447410279,141.119984882259,132.485483870968,101.028703638742,0.615483870967742,0.0581395348837209,0.191860465116279,0.0530232558139535,0.092093023255814,0.0290697674418605,0.00674418604651163,0.0211627906976744,0.0655813953488372,0,0.113953488372093,0
"20","sample_00020","17.04.2022","t1",20,23.72,0.68953488372093,124407.18882,3616.48804709302,104.767085343281,134.789644379339,34.3527085382154,15.919740247476,343.200913570754,218.03859503449,209.311388888889,221.845563285463,0.630277777777778,0.0581395348837209,0.197209302325581,0.0411627906976744,0,0.101860465116279,0.0658139534883721,0.0579069767441861,0.0946511627906977,0.043953488372093,0.0288372093023256,0
"21","sample_00021","17.04.2022","t1",21,21.264,0.618139534883721,49615.5942,1442.31378488372,73.1024310199516,46.6740480077956,29.7986830164687,11.7676507693639,354.710871545993,175.624291974198,235.000571428571,184.863338966333,0.526,0.0453488372093023,0.182558139534884,0.0641860465116279,0.0209302325581395,0.113023255813953,0.0290697674418605,0.0453488372093023,0.0574418604651163,0,0.0602325581395349,0
"22","sample_00022","17.04.2022","t1",22,37.416,1.08767441860465,105682.88214,3072.17680639535,78.3621627047363,62.1561553826888,27.3084580801902,13.2150619030041,322.102789472375,168.731501353581,202.663571428571,172.128754716066,0.632428571428571,0,0.41906976744186,0.0623255813953488,0.0586046511627907,0.0762790697674419,0.0346511627906977,0.0795348837209302,0.204883720930233,0.0376744186046512,0.114651162790698,0
"23","sample_00023","17.04.2022","t1",23,25.384,0.737906976744186,53032.30056,1541.63664418605,67.8922423045119,36.8312133111184,27.5244735833625,11.3265771592598,350.733054233172,212.786102726891,251.761320754717,247.494127964823,0.612075471698113,0.0688372093023256,0.313255813953488,0.173023255813954,0,0.0648837209302326,0,0,0.0893023255813954,0,0.0286046511627907,0
"24","sample_00024","17.04.2022","t1",24,23.968,0.696744186046512,54433.46772,1582.36824767442,71.2382820629214,32.8817078409119,29.9045431851255,12.5277937659057,285.04283282505,206.062265013738,170.931891891892,202.019524122984,0.654594594594595,0.0551162790697674,0.363720930232558,0.0741860465116279,0.0230232558139535,0.0290697674418605,0.0246511627906977,0.0797674418604651,0.0255813953488372,0,0.0216279069767442,0
"25","sample_00025","17.04.2022","t1",25,26.84,0.780232558139535,64327.9806,1869.99943604651,75.8321983023347,45.9248438068304,28.5930334113819,13.0396011661037,361.439724842474,195.750619296389,251.074347826087,206.849385642492,0.518695652173913,0.0493023255813953,0.277209302325581,0.203488372093023,0,0.0581395348837209,0,0,0.111627906976744,0,0.0804651162790698,0
"26","sample_00026","17.04.2022","t1",26,20.52,0.596511627906977,67104.20214,1950.7035505814,74.7917884496458,48.3128316975536,32.1521072585015,16.2360158766557,311.652006655308,183.986665577016,195.566285714286,201.550011047991,0.628571428571429,0.0872093023255814,0.241162790697674,0.0862790697674419,0,0.0976744186046512,0,0.0551162790697674,0,0.0290697674418605,0,0
"27","sample_00027","17.04.2022","t1",27,35.096,1.02023255813953,135163.42344,3929.16928604651,83.1850492986373,85.9405518362739,31.3186884292359,13.5480107743009,330.976477869687,262.29800184267,206.639384615385,283.987238890659,0.624461538461539,0.0290697674418605,0.463953488372093,0.0774418604651163,0,0.101860465116279,0,0.145348837209302,0.0802325581395349,0.0581395348837209,0.0641860465116279,0
"28","sample_00028","17.04.2022","t1",28,31.616,0.919069767441861,69169.3425,2010.7367005814,70.2169878968416,36.6176293377101,29.7985979586773,13.134114728677,383.9512666471,264.957660241862,251.871818181818,274.199998805217,0.628363636363636,0.0290697674418605,0.197209302325581,0.108604651162791,0.0574418604651163,0.236046511627907,0.0151162790697674,0.0916279069767442,0.13906976744186,0.0448837209302326,0,0
"29","sample_00029","17.04.2022","t1",29,39.744,1.1553488372093,114587.99622,3331.04640174419,77.7500948968832,46.6763290378451,32.3879153964792,16.6892356208532,348.534554846342,211.029581193197,208.535588235294,224.852839121152,0.596323529411765,0.0355813953488372,0.405116279069767,0.142325581395349,0.00674418604651163,0.171162790697674,0.105813953488372,0.0709302325581395,0.104186046511628,0.0844186046511628,0.0290697674418605,0
"30","sample_00030","17.04.2022","t1",30,17.064,0.496046511627907,48080.84508,1397.69898488372,72.8039335846221,37.3912648024493,31.3561889641586,15.7193585029923,416.055790417424,300.600730483639,303.166,321.879371960667,0.539,0.0581395348837209,0.162325581395349,0.133953488372093,0,0.0290697674418605,0.0716279069767442,0.0365116279069767,0.00441860465116279,0,0,0
"31","sample_00031","17.04.2022","t1",31,21.856,0.635348837209302,62106.29478,1805.41554593023,79.840064757126,45.3128182326262,30.2120804002996,14.2457648528823,515.135336314005,224.877896968808,399.953235294118,289.262632585731,0.299117647058824,0.0872093023255814,0.0781395348837209,0.141162790697674,0,0.0290697674418605,0.0290697674418605,0.261627906976744,0.00906976744186047,0,0,0
"32","sample_00032","17.04.2022","t1",32,29.632,0.861395348837209,66482.74422,1932.63791337209,68.7905641304126,34.5208053063868,30.3791558170983,12.6673872475431,296.107469108664,186.765526480056,163.00511627907,188.964524075062,0.68,0.0872093023255814,0.341162790697674,0.0574418604651163,0,0.0732558139534884,0.135348837209302,0.0669767441860465,0.0846511627906977,0.0153488372093023,0,0
"33","sample_00033","17.04.2022","t1",33,31.912,0.927674418604651,68177.05686,1981.8911877907,73.7632042015116,41.3838072700904,27.3109256585271,8.59882887686053,423.457006277691,279.800389067413,312.997924528302,309.436439449317,0.541698113207547,0.0467441860465116,0.35953488372093,0.100697674418605,0.0316279069767442,0.0548837209302326,0,0.164186046511628,0.106744186046512,0.00581395348837209,0.0574418604651163,0
"34","sample_00034","17.04.2022","t1",34,27.76,0.806976744186047,48480.67242,1409.32187267442,70.3161451941154,46.4378442947123,26.4592342047147,6.07048482037545,414.262964676207,243.382098253595,268.873260869565,250.820650275622,0.546304347826087,0,0.204186046511628,0.0746511627906977,0.00744186046511628,0.0876744186046512,0.106046511627907,0.177209302325581,0.063953488372093,0,0.0858139534883721,0
"35","sample_00035","17.04.2022","t1",35,38.128,1.10837209302326,129646.14732,3768.78335232558,80.4360057038787,66.1991989687146,31.5731740282912,17.317127520923,361.266172174298,271.739326311067,237.445441176471,293.803664437862,0.637941176470588,0.0581395348837209,0.508139534883721,0.171395348837209,0.00953488372093023,0.0948837209302326,0.0290697674418605,0.0862790697674419,0.0558139534883721,0.0623255813953488,0.0327906976744186,0
"36","sample_00036","17.04.2022","t1",36,24.328,0.707209302325581,42721.42662,1241.90193662791,65.4316331790251,26.4485031651488,28.2563319122663,8.78976504362295,405.687490187108,289.20106030728,260.2915,324.42903647082,0.62675,0,0.282325581395349,0.0841860465116279,0,0.165116279069767,0.0290697674418605,0.108139534883721,0.0383720930232558,0,0,0
"37","sample_00037","17.04.2022","t1",37,11.544,0.335581395348837,19502.31006,566.927618023256,51.5540413599408,33.0617863362001,25.5777777389422,12.1742470678718,449.660574617852,257.849462421622,362.2212,288.5107147681,0.4892,0,0.109302325581395,0.101395348837209,0.0102325581395349,0.0453488372093023,0.00581395348837209,0.046046511627907,0,0.0174418604651163,0,0
"38","sample_00038","17.04.2022","t1",38,21.688,0.63046511627907,43889.1534,1275.84748255814,60.9612578078321,40.8768859222402,27.8288245837943,11.7236360043711,458.284418556779,247.223160159092,295.193157894737,264.416463241231,0.53578947368421,0.0581395348837209,0.0586046511627907,0.20906976744186,0.0390697674418605,0.140697674418605,0,0.0686046511627907,0,0.0272093023255814,0.0290697674418605,0
"39","sample_00039","17.04.2022","t1",39,23.576,0.685348837209302,60301.23246,1752.94280406977,74.0239117300448,42.1973158759481,29.223086117906,11.9500369909737,377.031161958507,216.165560961323,252.019487179487,234.460584589491,0.524358974358974,0.093953488372093,0.178837209302326,0.0748837209302326,0,0.110697674418605,0.00744186046511628,0.103255813953488,0.0290697674418605,0,0.0872093023255814,0
"40","sample_00040","17.04.2022","t1",40,18.72,0.544186046511628,41078.28978,1194.13633081395,66.6381925180355,36.9553519446915,28.8947491043212,14.1696021317132,369.724580151709,248.565734302074,248.851481481481,269.982482390471,0.466666666666667,0.0290697674418605,0.133488372093023,0.112325581395349,0.0104651162790698,0.0644186046511628,0.0869767441860465,0.04,0.0290697674418605,0.0290697674418605,0.00930232558139535,0
"41","sample_00041","17.04.2022","t1",41,52.48,1.52558139534884,187967.26998,5464.164825,82.7080332310319,94.3802671139228,32.5301756610556,14.2201945452855,334.916728226666,235.181539477709,198.12843373494,242.563937919931,0.648072289156627,0.104186046511628,0.364883720930233,0.0525581395348837,0,0.273255813953488,0.367209302325581,0.163255813953488,0.0786046511627907,0.0344186046511628,0.0872093023255814,0
