"","file","date","time_point","culture_ID","comment","time","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","29.04.22","t4",1,NA,NA,2.16,0.0627906976744186,13495.71456,392.31728372093,74.2542293311818,35.4619259007512,32.3679541340014,12.0504116621532,359.059621535088,203.871976984458,247.951666666667,178.838033127055,0.472916666666667,0,0,0,0,0,0,0,0,0,0,0
"2","sample_00002","29.04.22","t4",2,NA,NA,4.808,0.139767441860465,21348.05058,620.582865697674,58.1125251723203,22.483723359968,25.583644543791,6.7175523600362,215.514224739487,147.821457607474,110.749375,148.497057006472,0.7275,0,0,0,0,0,0,0,0,0,0,0
"3","sample_00003","29.04.22","t4",3,NA,NA,4.952,0.143953488372093,31784.50206,923.968083139535,74.6429196108013,22.1932712257556,28.4809924182976,7.97836865429261,251.486237272467,122.572235717844,162.8335,93.9066867343378,0.638,0,0,0,0,0,0,0,0,0,0,0
"4","sample_00004","29.04.22","t4",4,NA,NA,8.592,0.249767441860465,42128.8371,1224.67549709302,69.4252640328177,33.9125471002624,29.8081437584884,8.10635405276799,363.755915150635,270.675802823872,300.214666666667,283.792653405029,0.412,0,0,0,0,0,0,0,0,0,0,0
"5","sample_00005","29.04.22","t4",5,NA,NA,3.6,0.104651162790698,27042.86736,786.129865116279,87.1122245380282,16.5401841877142,28.7849928031284,6.24907109292196,234.8633392561,110.958060373389,150.375,50.8038773126619,0.518333333333333,0,0,0,0,0,0,0,0,0,0,0
"6","sample_00006","29.04.22","t4",6,NA,NA,3.752,0.10906976744186,25730.40492,747.976887209302,111.530451474576,41.404719596357,46.0069299152542,13.9190803369735,362.122096882193,315.554694976393,247.923333333333,341.059433393458,0.365,0,0,0,0,0,0,0,0,0,0,0
"7","sample_00007","29.04.22","t4",7,NA,NA,4,0.116279069767442,38754.5148,1126.58473255814,96.250882260607,23.0194441796194,30.4213843380635,9.81070774367618,363.770921828512,302.494780248935,307.81,331.242758713304,0.376666666666667,0,0,0,0,0,0,0,0,0,0,0
"8","sample_00008","29.04.22","t4",8,NA,NA,4.832,0.14046511627907,22896.5778,665.598191860465,116.8545757102,27.7763291268549,31.6741190772528,6.54211190023663,578.573745160482,371.179558035405,516.735714285714,364.540889560972,0.332857142857143,0,0,0,0,0,0,0,0,0,0,0
"9","sample_00009","29.04.22","t4",9,NA,NA,3.064,0.0890697674418605,18506.21904,537.97148372093,89.7424267502901,37.3015620963734,39.6215398644677,15.2411677668235,169.520317957503,64.314951608224,87.72,67.5022121641863,0.505555555555556,0,0,0,0,0,0,0,0,0,0,0
"10","sample_00010","29.04.22","t4",10,NA,NA,7.392,0.214883720930233,38432.3697,1117.2200494186,93.7126794552133,39.4829248460508,32.3766019082073,10.148056985333,216.227409464023,151.713359843133,122.34,59.8635794953827,0.442222222222222,0,0,0,0,0,0,0,0,0,0,0
