"","file","date","time_point","culture_ID","replicate","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"98","sample_00098","11.05.2022","t7",98,1,9.544,0.277441860465116,25189.38486,732.249559883721,84.5027585392647,39.460882471504,31.7515397236877,9.71044751676654,296.149231952703,323.409840379077,235.984,330.417213314146,0.426,0.116279069767442,0.0788372093023256,0,0,0.0283720930232558,0.0290697674418605,0.00813953488372093,0.0167441860465116,0,0,0
"99","sample_00099","11.05.2022","t7",99,1,9.936,0.288837209302326,28898.05572,840.059759302326,89.3992600891163,38.1626980258264,34.0565875983565,10.7384861867285,283.714180355057,295.349466098996,215.183076923077,314.390210762162,0.468461538461538,0.0872093023255814,0.143255813953488,0,0,0,0.0290697674418605,0,0.0293023255813953,0,0,0
"100","sample_00100","11.05.2022","t7",100,1,4.832,0.14046511627907,12893.28354,374.804754069767,91.1317600107692,14.6984277583736,37.4228313715385,7.39038917015818,241.355473076923,175.013915532132,125.554,60.7562085716349,0.358,0.0581395348837209,0.0290697674418605,0,0,0,0.0290697674418605,0.0241860465116279,0,0,0,0
"101","sample_00101","11.05.2022","t7",101,1,1,0.0290697674418605,4399.54416,127.893725581395,120.848436,NA,46.3651776,NA,615.886,NA,157.21,NA,0.47,0,0,0,0,0.0290697674418605,0,0,0,0,0,0
"102","sample_00102","11.05.2022","t7",102,1,5.72,0.166279069767442,17589.77856,511.330772093023,85.1361327152159,28.2714816840508,40.0764304935898,8.16429292805942,168.447926705952,135.687164378711,66.6011111111111,59.267035619399,0.414444444444444,0.0586046511627907,0.0667441860465116,0,0,0.0409302325581395,0,0,0,0,0,0
"103","sample_00103","11.05.2022","t7",103,1,0.984,0.0286046511627907,1607.445,46.7280523255814,69.3410707317073,NA,28.9378426829268,NA,119.956,NA,14.41,NA,1.08,0,0.0286046511627907,0,0,0,0,0,0,0,0,0
"104","sample_00104","11.05.2022","t7",104,1,5.776,0.167906976744186,21787.37514,633.353928488372,91.9619087374964,48.0463884094615,38.7037954001449,16.9419964253046,251.214538172878,215.438969738248,119.625714285714,82.1239031092943,0.461428571428571,0.0581395348837209,0.0806976744186046,0,0,0.0290697674418605,0,0,0,0,0,0
"105","sample_00105","11.05.2022","t7",105,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"106","sample_00106","11.05.2022","t7",106,1,2.328,0.0676744186046512,4556.35206,132.452094767442,80.0367863831675,17.413808742991,30.4589567164183,3.29774206161653,218.689980383887,133.268605212505,75.162,64.450552518966,0.66,0,0.0597674418604651,0,0,0,0,0,0.00790697674418605,0,0,0
"107","sample_00107","11.05.2022","t7",107,1,1,0.0290697674418605,4220.95374,122.702143604651,115.1467488,NA,46.6801704,NA,484.002,NA,430.62,NA,0.29,0.0290697674418605,0,0,0,0,0,0,0,0,0,0
"108","sample_00108","11.05.2022","t7",108,1,3.72,0.108139534883721,6200.145,180.236773255814,67.5728499678863,13.4983383075797,30.5864457529477,7.58552927530392,191.193089174339,100.116335026081,42.6666666666667,27.3001338214058,0.608333333333333,0,0.0509302325581395,0,0,0.0290697674418605,0.0281395348837209,0,0,0,0,0
"109","sample_00109","11.05.2022","t7",109,1,1.96,0.0569767441860465,6434.89758,187.060976162791,105.600750685714,3.25092572139592,37.6128282857143,4.94418141808165,416.324238095238,52.6909908769861,194.3,158.169085475007,0.55,0.0162790697674419,0,0,0,0.0290697674418605,0,0.0116279069767442,0,0,0,0
"110","sample_00110","11.05.2022","t7",110,1,4.768,0.138604651162791,11694.3264,339.951348837209,86.4944207884562,32.5338932552534,34.6689205775538,9.95949807602971,501.487824858757,282.849523037935,210.695,189.5800469195,0.36,0,0.0223255813953488,0,0,0.0872093023255814,0,0,0,0,0.0290697674418605,0
"111","sample_00111","11.05.2022","t7",1,2,1.992,0.0579069767441861,4576.69116,133.043347674419,73.3744005366551,19.3229366657485,29.8856527269076,9.00199331458832,157.786698315479,48.9755291078368,100.7725,52.0380529836901,0.66,0,0.0579069767441861,0,0,0,0,0,0,0,0,0
"112","sample_00112","11.05.2022","t7",2,2,1.712,0.0497674418604651,1368.49338,39.7817843023256,50.7844440636886,23.7491412366744,19.6619443333149,1.73418582063758,244.329501376822,15.1085107020533,202.072,24.729033947973,0.604,0,0.0497674418604651,0,0,0,0,0,0,0,0,0
"113","sample_00113","11.05.2022","t7",3,2,1.984,0.0576744186046512,4371.06942,127.065971511628,72.5307533522495,26.7176853138513,32.0723582935805,8.67221041216129,166.346086598574,54.6665816013186,108.08,96.5850656157566,0.576666666666667,0,0.0576744186046512,0,0,0,0,0,0,0,0,0
"114","sample_00114","11.05.2022","t7",4,2,2.728,0.0793023255813954,8116.21944,235.936611627907,107.2381707,25.8317227742179,38.9423180663265,3.38070144904234,531.118947278911,101.863280109737,297.9375,152.85305457094,0.2775,0.00976744186046512,0,0,0,0.0290697674418605,0,0.0404651162790698,0,0,0,0
"115","sample_00115","11.05.2022","t7",5,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"116","sample_00116","11.05.2022","t7",6,2,13.368,0.388604651162791,25115.63922,730.10579127907,68.5265543748449,30.6269724411577,29.0473519807311,10.2015497853267,350.630644387041,271.446409852242,225.517619047619,255.279899226413,0.701428571428571,0,0.169302325581395,0,0.0290697674418605,0.144418604651163,0,0,0.0458139534883721,0,0,0
"117","sample_00117","11.05.2022","t7",7,2,10.248,0.297906976744186,23540.47434,684.316114534884,82.8261427725021,39.1306558415067,28.535123147753,7.11155534831374,342.141487133739,300.16136753097,232.498235294118,293.925967108116,0.542941176470588,0.0290697674418605,0.124651162790698,0,0,0,0.0290697674418605,0.0667441860465116,0.0281395348837209,0,0.0202325581395349,0
"118","sample_00118","11.05.2022","t7",8,2,2.384,0.0693023255813953,5797.43082,168.529965697674,71.3189709,22.7595708813553,38.25085365,8.30641962460653,212.225513888889,106.201917178829,149.19,141.865793269555,0.403333333333333,0,0.0290697674418605,0,0,0.0111627906976744,0.0290697674418605,0,0,0,0,0
