"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment","time"
"sample_00001",49.8231182795699,2.70545887311538,509.182983870968,204.036327599274,81.4429306451613,20.6070160077613,30.2430919354839,7.61285027606102,20.6804758064516,3.63838783539356,1.45336559139785,0.191005450920752,0,0.06,3.76,93,2258.36,2258,600.63,2287.63,608.41,51.98,17.72,5.04,103.83,1081.58,442.9,"sample_00001-14","25.04.22","t3",1,NA,13
"sample_00001",59.02424,4.19470700733905,2052.41202,141.252958160822,218.7274752,7.22130756352624,95.4094464000001,4.14144047579626,27.4316868,2.14062388806794,3.503032,0.34795515413674,0,0.08,5,125,1280.56,1281,256.11,1321.64,264.33,18.66,6.94,1.75,43.83,466.57,173.45,"sample_00001-2","25.04.22","t3",1,NA,13
"sample_00001",92.8739036144578,17.3363334813323,4053.39370481928,775.68390918302,278.224460240964,35.9359213638808,118.673734337349,19.4936550648537,43.5695096385542,7.17028640989368,2.84719277108434,0.795614894246648,-0.04,0.23,3.32,83,1506.45,1498,451.28,1939.43,584.17,39.17,3.96,8.55,213.84,979.32,98.95,"sample_00001-20","25.04.22","t3",1,NA,13
"sample_00001",56.4347580645161,5.81843831136248,1472.25665322581,821.192809326992,167.190662903226,70.7335523550412,68.9520991935484,33.6260015460488,25.9603040322581,3.87946324984652,2.57712903225806,1.08582706233877,0,0.8,2.52,62,426.51,427,169.25,621.29,246.54,27.24,4.76,4.39,106.33,681.1,118.93,"sample_00001-24","25.04.22","t3",1,NA,13
"sample_00001",52.2969268292683,5.31429077230772,623.161646341464,299.814410209116,90.9639219512196,22.7079024929704,34.7718841463415,8.01318804817551,21.5404682926829,6.32560715758584,1.65314634146341,0.225196405458851,0,0.13,5,123,1278.87,1271,254.16,2087.68,417.54,40.23,3.47,5.32,113.29,915.12,86.67,"sample_00001-7","25.04.22","t3",1,NA,13
"sample_00002",74.6982957746479,8.95877385168045,3900.56070422535,562.656777279704,254.069961971831,27.5975097229888,101.307270422535,13.5542680316322,48.8853253521127,4.61684275727683,2.08335211267606,0.288352467778662,0.1,0.47,2.84,71,723.24,723,254.66,1302.61,458.67,40.35,5.41,8.39,209.78,1008.83,135.36,"sample_00002-1","25.04.22","t3",2,NA,13
"sample_00002",99.089656,14.3912070225605,2938.27824,247.999248991819,221.5036368,16.5931233888034,85.9464756,9.29269594366218,43.7059152,2.78412826848404,1.982304,0.309472137054216,-0.05,0.43,5,125,271.75,227,45.42,536.75,107.35,8.49,0.68,1.66,41.59,212.14,16.89,"sample_00002-10","25.04.22","t3",2,NA,13
"sample_00002",54.192392,8.83320925760537,663.57954,242.828705658687,94.8930876,18.1119434142611,36.2085876,6.02005428632907,22.8314376,5.79967200255358,1.647616,0.340557412714565,0.14,0.55,5,125,1119.42,1099,219.9,2060.48,412.1,32.21,0.73,8.25,206.15,805.28,18.16,"sample_00002-11","25.04.22","t3",2,NA,13
"sample_00002",60.576552,4.2151352912432,2525.3289,617.515494333768,248.4587844,42.6144179794018,97.64712,19.1083880786062,32.8630608,6.20209032812073,3.060976,0.758679226533977,-0.09,1.06,5,125,115.71,116,23.14,599.39,119.88,22.61,0.22,4,99.95,565.26,5.61,"sample_00002-12","25.04.22","t3",2,NA,13
"sample_00002",49.9020894308943,7.11038555594784,614.226951219512,294.730691088182,94.0569036585365,24.60261297466,36.9650743902439,9.83409345659516,20.2090390243902,6.1467662909263,1.88987804878049,0.422603165896411,-0.15,0.44,5,123,1084.61,802,160.41,2195.59,439.12,59.49,2.88,7.44,160.09,705.81,72.01,"sample_00002-13","25.04.22","t3",2,NA,13
"sample_00002",68.762144,1.6881945008337,2070.25794,92.7300395801201,180.8772444,5.75631610875216,67.599522,2.46071470235521,39.0003984,1.25240118937609,1.735368,0.0890316667114536,-0.03,0.1,5,125,2154.73,1699,339.89,3558.8,711.76,40.79,16.68,4.53,113.21,1019.67,417.12,"sample_00002-14","25.04.22","t3",2,NA,13
"sample_00002",55.1347021276596,8.14720879814925,858.513829787234,317.560660827082,109.959438829787,21.2864598851148,41.0844925531915,8.29896307962549,25.9644638297872,5.38532937003719,1.60893617021277,0.317994008481821,0.04,0.43,3.76,94,1549.36,1549,412.06,1897.92,504.77,43.41,1.51,10.38,259.37,1085.18,37.81,"sample_00002-15","25.04.22","t3",2,NA,13
"sample_00002",80.284752,7.30031384285149,2985.12378,331.533543798467,261.345852,32.2157757170374,104.8776984,13.618549457824,36.6218172,4.69862951162831,2.933664,0.637161699535399,0.07,0.87,5,125,177.71,124,24.75,622.88,124.58,44.9,0.46,5.19,129.74,1122.58,11.41,"sample_00002-16","25.04.22","t3",2,NA,13
"sample_00002",93.708848,27.9179058575074,2308.29102,588.371128356737,202.7761452,44.6423910278412,78.112674,23.4601803458778,38.2750596,8.73704876329793,2.180248,0.895917502826554,-0.08,0.43,5,125,262.51,205,40.95,564.96,112.99,12.26,0.81,2.41,60.32,306.48,20.2,"sample_00002-17","25.04.22","t3",2,NA,13
"sample_00002",70.9111147540984,8.15395852270714,2872.58864754098,287.615048304811,222.929693852459,25.9972977010815,77.7309860655738,8.40405811955571,47.240162704918,4.78828739777173,1.66786065573771,0.273588014924467,-0.01,0.69,4.96,122,331.73,329,66.3,1782.34,359.34,35.36,2.24,6.07,153.44,884.03,56.04,"sample_00002-2","25.04.22","t3",2,NA,13
"sample_00002",70.1677168141592,14.1507858959374,1453.14537610619,397.719176743424,161.926634070796,39.9923313167876,64.6195420353982,17.8645584104838,28.3576340707964,6.06407556617934,2.33469026548673,0.776011000470239,0.01,1.03,4.56,113,171.39,99,21.71,425.62,93.34,15.1,0.27,2.81,70.28,377.53,6.85,"sample_00002-20","25.04.22","t3",2,NA,13
"sample_00002",93.3706037735849,25.8816005110399,3843.13669811321,719.229482385085,282.100839622642,48.1741147899974,120.204687735849,27.1698224975514,41.2027896226415,5.69487859921896,2.98477358490566,0.78746083276248,0.03,0.6,2.12,53,891.82,892,420.67,1328.57,626.68,52.74,1.42,15.43,385.84,1318.51,35.47,"sample_00002-21","25.04.22","t3",2,NA,13
"sample_00002",82.616112,14.1018082621183,2686.46706,210.246360721606,220.2704928,19.5000883983157,90.4501728,11.7278904297198,38.1767256,3.02517629361401,2.402176,0.434347769538679,-0.03,0.38,5,125,1524,1492,298.5,2328.19,465.64,41.58,1.89,9.06,226.58,1039.41,47.18,"sample_00002-23","25.04.22","t3",2,NA,13
"sample_00002",52.4578888888889,9.27616583356428,719.523,293.974708296011,98.95608,22.3993318816139,37.160145,8.60033794941572,23.88996,4.31770920294443,1.55594444444444,0.226826239545422,0.39,0.7,3.6,90,337.02,337,93.62,996.21,276.72,30.03,0.55,6.76,169.03,750.76,13.78,"sample_00002-24","25.04.22","t3",2,NA,13
