"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment","time","replicate"
"sample_00006",77.68568,0.557114854666721,4595.19318,90.2271211351906,292.619142,6.0934408472527,117.4731012,2.18385136392943,49.806576,0.4790640368418,2.358864,0.0522485289189423,0.03,0.42,5,125,235.72,236,47.14,467.25,93.45,8.9,0.24,1.91,47.74,222.43,6.02,"sample_00006-3","11.05.2022","t7",6,NA,NA,1
"sample_00006",74.2933636363637,5.54148455431703,2273.98295454545,455.502123990427,224.795127272727,38.8101700765724,82.4474454545454,15.3848753701053,34.9553045454545,3.59386384777771,2.36798484848485,0.461168065223823,0.13,0.79,2.64,66,55.87,25,9.41,299.99,113.63,23.45,0.42,3.77,94.23,586.21,10.61,"sample_00006-6","11.05.2022","t7",6,NA,NA,1
"sample_00006",54.11434375,3.35804708615929,1444.44515625,570.119613590675,175.076184375,53.0387496556747,75.0772546875,25.6487784036632,24.0986390625,3.56433182836546,3.136125,1.15539843009157,0.02,0.68,1.28,32,308.74,301,234.91,361.11,282.12,23.21,7.58,3.1,77.6,580.19,189.41,"sample_00006-9","11.05.2022","t7",6,NA,NA,1
"sample_00007",61.322344,4.38283578862641,2099.91366,137.650928003762,224.8033824,11.2097934310506,99.4136652,5.78483378978275,26.9554068,2.00672975513267,3.71572,0.414810559171292,-0.01,0.1,5,125,818.41,817,163.46,924.32,184.86,12.75,2.13,1.82,45.6,318.73,53.24,"sample_00007-3","11.05.2022","t7",7,NA,NA,1
"sample_00007",84.4262,24.3860817631301,2099.78244,409.71834753671,197.3505384,38.781284496669,79.2516636,21.6152116175919,34.836966,7.02514916216799,2.434944,1.00470427605469,-0.07,0.46,5,125,374.65,375,74.93,671.11,134.22,43.96,0.45,4.62,115.55,1099.09,11.37,"sample_00007-4","11.05.2022","t7",7,NA,NA,1
"sample_00007",67.050992,9.91112469814569,2383.6113,129.129892919585,227.8115604,11.7337385872295,98.0705556,6.49273471581958,31.12425,3.21985246032956,3.196848,0.462808154638615,-0.02,0.13,5,125,991.34,990,197.95,1090.85,218.17,15.55,1.54,1.98,49.46,388.75,38.53,"sample_00007-5","11.05.2022","t7",7,NA,NA,1
"sample_00007",72.986496,16.8820639769836,1895.4729,459.361640770791,190.3471812,27.28979982952,78.775254,13.7788926960909,30.6741492,6.53112264479625,2.716264,0.817696954118207,-0.03,0.21,5,125,653.7,654,130.74,917.73,183.55,12.22,1.05,2.64,65.91,305.58,26.37,"sample_00007-6","11.05.2022","t7",7,NA,NA,1
"sample_00007",58.3676,1.09481685020092,1489.60944,56.2590400888618,151.030818,3.875534855223,58.1119596,1.23707132175502,32.6396628,1.08442570346095,1.782496,0.0735050606113883,0.05,0.34,5,125,386.54,156,31.22,1523.27,304.65,31.15,0.6,6.23,155.79,778.76,15.1,"sample_00007-8","11.05.2022","t7",7,NA,NA,1
"sample_00007",58.6324,2.0838031298256,1352.48454,64.2906187810038,140.957334,3.49908351368612,55.1719188,1.65118253610156,31.2132528,1.18063079335323,1.770144,0.0867473811076292,-0.05,0.77,5,125,338.11,143,28.51,1101.2,220.24,36.04,0.11,6.68,167.07,900.97,2.86,"sample_00007-9","11.05.2022","t7",7,NA,NA,1
"sample_00008",63.313912,1.21414328627757,1894.42314,72.6296304731875,164.1157848,3.29652076665824,62.7577632,1.34358779820961,38.4290568,1.04168857493541,1.63404,0.0487813422820519,-0.03,0.23,5,125,970.16,912,182.33,1946.23,389.25,27.95,0.73,6.16,154.03,698.85,18.31,"sample_00008-11","11.05.2022","t7",8,NA,NA,1
"sample_00008",60.8466666666667,2.46137494395279,1668.63894230769,294.88588018209,157.414569230769,19.1472653772109,60.2684134615384,7.48980866723123,34.8201865384615,4.24559388944993,1.73637179487179,0.132805307061689,-0.04,0.86,3.12,78,214.16,214,68.64,800.83,256.68,43.35,0.17,8.57,214.18,1083.67,4.15,"sample_00008-13","11.05.2022","t7",8,NA,NA,1
"sample_00008",85.5502564102564,9.92591929646277,3683.83326923077,748.728646784341,282.000669230769,49.050290970912,124.615592307692,25.8814309574999,37.5412153846154,3.84654996080141,3.33274358974359,0.756037861692846,-0.08,0.58,1.72,39,851.92,768,446.38,1498.62,871.29,190.04,6.42,38.66,425.88,1614.54,160.43,"sample_00008-18","11.05.2022","t7",8,NA,NA,1
"sample_00008",104.31896,9.55786164453792,6309.97614,424.262599080307,395.5919472,42.0316623735163,148.5707184,15.0191012060845,54.3112776,2.98264979002526,2.755512,0.406742480470573,0.03,0.09,5,125,515.15,386,77.13,1152.75,230.55,19.46,3.85,2.49,62.27,486.5,96.37,"sample_00008-2","11.05.2022","t7",8,NA,NA,1
"sample_00008",56.9471587301587,4.50684098721885,1625.40964285714,425.280117975593,186.397328571429,41.7042737184747,73.7841857142857,18.6811327046327,28.2891857142857,6.04445179932716,2.73425396825397,0.942503494786949,-0.23,1.05,2.56,63,102.83,103,40.17,381.79,149.14,61.37,0.41,8.28,132.59,767.15,10.37,"sample_00008-33","11.05.2022","t7",8,NA,NA,1
"sample_00008",54.5857333333333,8.92582552130511,1147.0815,747.162397798128,139.515345,65.4656652715499,56.83905,29.9495428267997,23.077305,6.5729930344889,2.3307,0.970426822198036,-0.01,0.69,1.2,30,236.18,235,195.62,278.71,232.26,17.72,4.24,3.18,79.5,442.94,106.12,"sample_00008-34","11.05.2022","t7",8,NA,NA,1
"sample_00008",71.494408,10.5277291864926,2759.03172,179.067072521818,249.3450864,19.5656586886839,111.8407824,12.5123635525209,31.7176884,3.26156594693022,3.58356,0.598604026586158,-0.01,0.42,5,125,1483.24,1189,237.74,2679.16,535.83,50.67,3.49,8.57,214.14,1266.7,87.32,"sample_00008-4","11.05.2022","t7",8,NA,NA,1
"sample_00008",80.632808,7.64826657115741,2162.89926,121.400377561933,181.6516044,13.4048806610825,68.3767656,3.839939598811,40.3051788,1.61148493677796,1.700624,0.139481277735435,0.03,0.41,5,125,1037.21,812,162.46,2548.55,509.71,39.44,2.57,6.02,150.4,986.06,64.36,"sample_00008-6","11.05.2022","t7",8,NA,NA,1
