"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment","time"
"sample_00001",59.1212142857143,5.97621917035888,1686.61216836735,531.548843846854,195.815475,43.8292172567982,84.2808719387755,20.9777060419749,24.7938107142857,4.39658632069497,3.38685714285714,0.786879600164243,0,0.47,3.96,98,958.77,959,242.11,1066.54,269.33,41.79,2.38,4.37,105.34,1044.72,59.47,"sample_00001-1","03.05.22","t5",1,NA,10
"sample_00001",74.9798526315789,13.0167091757205,4238.57865789474,539.97747658588,296.935555263158,34.5618471556876,128.391011052632,19.7720156552364,42.3164463157895,3.16781379204598,3.06512631578947,0.57309861841377,-0.05,0.24,3.8,95,2447.3,2447,644.03,2847.12,749.24,61.58,2.91,12.64,316.03,1539.56,72.68,"sample_00001-12","03.05.22","t5",1,NA,10
"sample_00001",60.2896176470588,4.76497764956891,1574.64,635.753585336474,190.769294117647,55.2510713041039,79.542,25.5030613757536,24.1395485294118,4.19608785603067,3.23114705882353,0.837280849024151,0,0.76,1.36,34,319.05,319,234.6,352.29,259.04,27.61,0.4,4.47,111.65,690.2,9.96,"sample_00001-17","03.05.22","t5",1,NA,10
"sample_00001",89.8625887850467,11.9979022615774,2162.83058411215,473.932212776534,195.462765420561,35.9528850018303,76.4714943925234,17.1862586048944,36.1308070093458,6.6296868545867,2.20320560747664,0.673061391384198,-0.09,0.83,4.32,107,167.21,105,24.33,414.56,95.96,17.49,0.66,2.93,66.46,437.19,16.54,"sample_00001-3","03.05.22","t5",1,NA,10
"sample_00001",89.768504,16.2836907664634,2638.8342,262.701119593053,224.591616,26.9419356113751,89.8422516,15.224475615927,38.046348,4.44385590745989,2.431096,0.632106226066678,-0.04,0.35,5,125,340.31,285,57.08,695.76,139.15,21.55,0.93,2.84,71.02,538.75,23.3,"sample_00001-4","03.05.22","t5",1,NA,10
"sample_00002",81.475984,4.54232741782334,4278.69054,159.596110200681,290.8306944,9.20383777174048,125.3708604,4.83951374339529,43.4859516,1.58137694048593,2.888968,0.186940344805847,-0.01,0.42,5,125,714.77,556,111.15,2061.51,412.3,42.27,1.36,5.55,138.76,1056.86,33.92,"sample_00002-2","03.05.22","t5",2,NA,10
"sample_00002",71.880325,7.79741963773671,2580.31828125,492.072188381999,227.0707425,32.3038192527309,93.21145875,13.6246889637748,34.829848125,4.71785767665579,2.6840125,0.30424509164675,0,0.24,3.2,80,547.69,548,171.12,683.49,213.59,17.43,1.47,2.68,67.07,435.83,36.69,"sample_00002-23","03.05.22","t5",2,NA,10
"sample_00002",57.3383333333333,9.83770059808039,812.4705,313.257790339462,103.849965,22.7857209843031,38.25468,8.84553248048863,26.11602,6.74695375358646,1.5063,0.332626035226266,0.29,0.71,1.28,30,135.62,136,105.96,251.52,196.5,23.41,0.29,5.37,136.8,585.35,7.26,"sample_00002-26","03.05.22","t5",2,NA,10
"sample_00003",71.3903920000001,10.8326115703373,2588.83938,172.204025824154,234.099072,17.2094970695881,97.9989516,8.78856376267489,33.8457852,3.22773299849875,2.938072,0.487053752349183,0,0.28,5,125,496.46,496,99.29,871.29,174.26,14.2,1.24,2.13,53.33,355.08,30.94,"sample_00003-4","03.05.22","t5",3,NA,10
"sample_00003",77.4213428571428,16.729357429281,897.451071428571,404.282264297449,114.305695714286,26.1303253759918,39.8302457142857,7.54581653614196,27.5708957142857,10.0176512985563,1.60494285714286,0.548528134452294,0.22,1.22,1.48,35,71.19,46,30.78,165.83,112.05,28.92,0.42,5.89,104.8,435.07,10.39,"sample_00003-5","03.05.22","t5",3,NA,10
"sample_00003",105.641752,22.043786922797,2476.38384,334.880272370195,209.4164928,30.9007246200751,78.1948404,14.5304280532083,40.843764,4.1108663111624,1.960656,0.533799710293737,-0.04,0.67,5,125,181.48,58,11.56,557.86,111.57,19.49,0.55,3.03,75.72,487.14,13.78,"sample_00003-7","03.05.22","t5",3,NA,10
"sample_00003",48.7969811320755,3.16247747021811,481.862122641509,322.261628655509,76.7448254716981,28.0008950862283,27.8547537735849,9.94756395586594,20.018691509434,6.0424863385697,1.37988679245283,0.162824074526106,0.12,0.58,2.12,53,479.31,479,226.09,931.66,439.46,44.92,1.72,8.21,205.14,1122.91,42.94,"sample_00003-8","03.05.22","t5",3,NA,10
"sample_00003",53.075232,1.55040505704259,1402.61058,44.9015447639736,169.470144,3.79777519870558,73.7797572,1.81019398366477,24.218514,0.94944599399232,3.052464,0.166414588380365,0.07,0.52,5,125,242.19,242,48.44,682.56,136.51,14.18,0.83,2.54,63.55,354.54,20.7,"sample_00003-9","03.05.22","t5",3,NA,10
"sample_00004",99.5464,6.52723282400051,4063.09608,571.670473417116,317.7976032,31.9023317327894,113.6957472,8.90723319570525,45.32355,3.88989338348483,2.51712,0.19010135666652,-0.21,0.27,5,125,184.36,60,11.94,2326.99,465.4,39.35,3.07,4.78,119.4,983.69,76.84,"sample_00004-1","03.05.22","t5",4,NA,10
"sample_00004",57.5837272727273,8.42360315301863,1123.32272727273,634.830802997245,137.786277272727,58.8625086885042,56.5483090909091,26.9312703571182,23.7010909090909,5.15382916265989,2.32127272727273,1.0160554325653,-0.05,0.67,1.32,33,223.71,221,167.26,285.19,216.05,18.32,1.07,4.08,102.07,457.93,26.77,"sample_00004-11","03.05.22","t5",4,NA,10
"sample_00004",56.1649512195122,7.52022429170573,924.140853658536,597.359703520053,133.170223170732,56.2147232186819,51.2165963414634,26.4480435040793,21.9434926829268,3.12676086282915,2.28073170731707,0.930798958540195,-0.04,0.82,1.64,41,290.37,290,177.06,408.91,249.34,21.06,3.87,2.88,72.07,526.43,96.81,"sample_00004-19","03.05.22","t5",4,NA,10
"sample_00004",58.1312692307692,6.77076058686285,948.190673076923,606.671145235027,122.592409615385,51.9258583265487,49.1166865384615,23.7453154995151,22.9476115384615,3.95852078802948,2.05453846153846,0.681949454477044,-0.08,0.82,1.04,26,148.81,139,133.59,227.05,218.32,20.5,3.53,3.71,92.79,512.43,88.19,"sample_00004-24","03.05.22","t5",4,NA,10
