"file","date","time_point","culture_ID","comment","time","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00001","25.04.22","t3",1,NA,13,5.48,0.159302325581395,15861.34872,461.085718604651,79.6062812898845,38.5282510550246,30.8277101116917,17.745141150091,355.204642284429,181.655467094155,242.381,225.45057972622,0.534
"sample_00002","25.04.22","t3",2,NA,13,21.624,0.628604651162791,91112.34456,2648.61466744186,93.6170992754068,47.1151850180728,44.8235092418737,16.3718871135195,339.879475570518,278.710594667405,194.837857142857,269.638810336499,0.567142857142857
"sample_00003","25.04.22","t3",3,NA,13,17.4,0.505813953488372,82624.77252,2401.88292209302,121.026320657993,33.0655870401977,47.4926447126624,12.14270069786,265.689567894166,175.551417476189,203.414285714286,129.708079916844,0.321904761904762
"sample_00004","25.04.22","t3",4,NA,13,8.816,0.256279069767442,33248.12994,966.515405232558,96.2991343859966,26.7672670897051,44.7752457499718,8.62009401990431,302.474590689504,187.288385538979,227.760909090909,196.503668487616,0.397272727272727
"sample_00005","25.04.22","t3",5,NA,13,15.896,0.462093023255814,79464.73248,2310.02129302326,111.020202641946,48.7130632230448,44.2680804162659,20.241762468657,288.210100184198,176.308629954134,117.897,113.907299803046,0.595
"sample_00006","25.04.22","t3",6,NA,13,27.672,0.804418604651163,132979.92264,3865.6954255814,113.484094342038,53.2988534195398,43.2203048087739,15.3353878005138,243.024612195468,150.253901697826,159.815789473684,123.991792593062,0.447631578947368
"sample_00007","25.04.22","t3",7,NA,13,35.424,1.02976744186047,130763.09196,3801.25267325581,97.7447050389598,36.3082904603322,35.9948727263293,18.6146859662399,234.089671573432,120.507376220514,121.739411764706,98.4549031468066,0.698039215686274
"sample_00008","25.04.22","t3",8,NA,13,20.856,0.606279069767442,67919.99688,1974.41851395349,87.9260651526531,30.5378609349518,42.0111577177557,10.530531384664,217.025843321659,171.820530494338,122.72724137931,146.909631720042,0.57551724137931
"sample_00009","25.04.22","t3",9,NA,13,22.112,0.642790697674419,83872.80594,2438.16296337209,107.574990433794,19.4735297155031,43.0552207512968,7.20545148502041,227.25944772311,117.638935889482,156.510344827586,101.746686449477,0.376206896551724
"sample_00010","25.04.22","t3",10,NA,13,30.544,0.887906976744186,146650.8159,4263.10511337209,120.938408536195,53.815459040438,45.645049329183,11.3872051548539,255.918931169528,164.98374909041,157.188461538462,151.09985348731,0.481025641025641
"sample_00011","25.04.22","t3",11,NA,13,31.632,0.91953488372093,163810.19286,4761.92421104651,107.332507284408,63.7264335429615,44.7464036458201,18.4635450110885,331.157212221518,187.930734098831,236.387346938776,193.416128526203,0.516734693877551
"sample_00012","25.04.22","t3",12,NA,13,36.512,1.06139534883721,188874.52506,5490.53851918605,113.431202618462,65.2521366805382,45.8610699694985,17.3913101993869,266.131282625662,161.270437900778,124.2226,142.795660438407,0.6458
"sample_00013","25.04.22","t3",13,NA,13,25.936,0.753953488372093,126247.02444,3669.97164069767,113.982739966888,52.7550342838657,48.2835998933472,12.5068748200275,343.426172412581,178.633814791506,200.798,193.019160536247,0.477142857142857
"sample_00014","25.04.22","t3",14,NA,13,17.912,0.520697674418605,86372.15328,2510.81840930233,104.392966021748,61.8485254162693,41.7434265070843,16.8930403980188,265.510132292466,210.37993430107,180.368846153846,207.751198606928,0.5
"sample_00015","25.04.22","t3",15,NA,13,32.952,0.957906976744186,171705.9627,4991.45240406977,112.994542899975,61.5413622248378,48.1371744645587,18.8799707062143,298.656553671499,178.786476079529,155.332666666667,158.361761402636,0.500888888888889
