"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment"
"sample_00001",35.3968016528926,17.2608286517092,1825.28646694215,1923.67624809067,135.699768595041,92.2571427937593,50.9831404958678,32.1353484951666,31.3849227272727,22.9221250234953,1.83648760330578,0.460657810739209,-0.03,0.55,5,121,1118.6,1119,223.72,1402.31,280.46,40.79,0.63,11.25,275.04,970.18,15.8,"sample_00001-10","17.04.2022","t1",1,NA
"sample_00001",24.4705528455285,3.04919012145432,398.72743902439,54.5276752632748,78.6201804878048,7.40609283280326,33.2991329268293,3.84115879562805,15.2570085365854,1.4936339271825,2.20275609756098,0.335669146764436,-0.02,0.66,4.92,123,246.25,246,50.05,380.98,77.43,6.53,0.07,1.31,32.72,163.26,1.86,"sample_00001-102","17.04.2022","t1",1,NA
"sample_00001",21.3328727272727,3.19528472294994,285.552613636363,92.7145785439679,58.9764313636364,9.74833363147722,22.1654290909091,3.27240164793846,16.05501,3.06506983656463,1.40064545454545,0.175497122816199,0.01,0.31,4.92,110,628.35,628,127.71,684.99,139.23,18.01,2.32,3.02,33.56,209.07,57.92,"sample_00001-103","17.04.2022","t1",1,NA
"sample_00001",25.072296,4.11885537267725,309.28554,65.534028313498,61.8781032,6.48860279525154,23.6924028,2.20747469009076,16.5627504,2.65891767565434,1.461736,0.247355403965565,-0.07,0.72,5,125,221.79,221,44.19,380.43,76.09,6.35,0.43,1.27,31.7,158.67,10.7,"sample_00001-11","17.04.2022","t1",1,NA
"sample_00001",29.3947457627119,4.5070674370953,1996.93487288136,105.75756575551,177.234933050847,9.35188307979961,72.0205322033898,5.77867017175622,35.4184855932203,1.83952671030769,2.045,0.24658096523007,0.01,0.08,2.36,59,945.37,945,400.58,997.9,422.84,24.65,9.7,2.93,73.31,616.2,242.58,"sample_00001-117","17.04.2022","t1",1,NA
"sample_00001",32.1469633027523,6.92134623215076,1839.78866972477,204.044894644267,167.738998623853,14.3048635160461,65.373502293578,8.26173981241684,35.9548967889908,3.37020725399401,1.83767889908257,0.319774540966958,-0.03,0.11,4.36,109,1095.84,1096,251.34,1581.13,362.64,30.9,6.43,4.12,102.9,772.45,160.79,"sample_00001-128","17.04.2022","t1",1,NA
"sample_00001",43.573512,8.38837524794033,2664.02844,246.030303959282,217.5211908,21.6474968418335,91.1921004,12.878125976152,37.5528636,2.68132084516809,2.4606,0.466218054341044,-0.02,0.38,5,125,600.48,600,120.1,1548.55,309.71,19.49,1.52,3.75,93.66,487.16,38.09,"sample_00001-18","17.04.2022","t1",1,NA
"sample_00001",39.5279518072289,12.330660102307,3028.13864457831,2156.93571884604,220.833715662651,127.824659327012,95.8014325301205,56.5253466755684,31.5981,15.4553511651029,2.77122891566265,0.688182465262776,0.03,1.05,3.4,83,1517.91,1518,446.44,1848.17,543.58,160.88,0.48,21.4,370.76,1340.63,3.96,"sample_00001-183","17.04.2022","t1",1,NA
"sample_00001",18.6123846153846,1.77957964603981,327.208846153846,129.150602895375,70.1984423076923,12.4588841389046,27.6455076923077,2.89947443197035,14.8858269230769,5.09481425082156,2.02482051282051,0.540814048779823,0.1,0.87,1.68,39,117.33,117,69.84,190.07,113.14,43.09,0.42,6.82,69.73,359.12,10.52,"sample_00001-189","17.04.2022","t1",1,NA
"sample_00001",30.37868,1.59868898708265,2377.7064,55.9114884181873,200.0640708,3.53452798498762,82.4676876,1.53323185563413,36.7191792,0.971713973480581,2.247992,0.0886967010333166,-0.01,0.06,5,125,2205.8,2206,441.16,2407.07,481.41,27.86,8.73,2.64,65.97,696.57,218.22,"sample_00001-19","17.04.2022","t1",1,NA
"sample_00001",55.083216,8.96698064998254,4417.78374,468.317269310494,284.6997396,29.8643274584811,113.027724,17.1322863438269,50.2895628,3.89164081388694,2.280784,0.456624194037772,0.01,0.32,5,125,502.95,475,94.99,642.56,128.51,8.66,0.79,1.47,36.69,216.4,19.75,"sample_00001-20","17.04.2022","t1",1,NA
"sample_00001",55.4018552631579,3.40242454221083,4039.54726973684,260.926588322328,241.465796052632,9.29281347380782,87.1415052631579,4.21126892521782,59.0264052631579,2.73309390232119,1.48023684210526,0.114869882147417,0.01,0.21,3.04,76,1621.21,1621,533.29,1813.41,596.52,37.74,8.07,6.31,157.73,943.56,201.63,"sample_00001-21","17.04.2022","t1",1,NA
"sample_00001",30.278472972973,2.34916490684105,2019.72405405405,258.952705668886,178.252868918919,14.4154808552755,71.8173364864865,6.50703246642135,35.7173331081081,4.26305605981537,2.05391891891892,0.38767281632052,0.02,0.07,2.96,74,1272.75,1273,429.98,1381.31,466.66,27.81,5.92,3.92,98.03,695.26,148.07,"sample_00001-211","17.04.2022","t1",1,NA
"sample_00001",31.78665,2.80946689451147,2251.789875,254.932227532385,186.9406425,14.9261918765923,73.3563,6.82017051505362,38.957895,2.1545413377703,1.88133333333333,0.152827660406455,-0.01,0.07,2.4,60,1045.49,1045,435.62,1094.07,455.86,25.48,10.67,2.94,73.51,636.96,266.82,"sample_00001-240","17.04.2022","t1",1,NA
