"","file","date","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","17.04.2022","t1",1,NA,6.26,0.181976744186047,6972.89958,202.700569186047,64.9679237677675,30.0165611219751,30.5130485699245,12.9586269081801,232.280669303916,153.839858067685,147.327981651376,161.9370569181,0.772752293577982,0.0475581395348837,0.126220930232558,0.109186046511628,0.0211046511627907,0.0300581395348837,0,0.00738372093023256,0.010406976744186,0.0216279069767442,0,0
"2","sample_00002","17.04.2022","t1",2,NA,3.606,0.104825581395349,9087.96915,264.185149709302,71.3880198246217,34.9637827977441,30.9145794699583,11.4420645127094,259.704943157786,149.608470796635,160.29025,161.673064424601,0.786916666666667,0.0915697674418605,0.12343023255814,0.0722093023255814,0.00965116279069768,0.00726744186046512,0.00430232558139535,0.0317441860465116,0.0261046511627907,0.0144767441860465,0.00226744186046512,0
"3","sample_00003","17.04.2022","t1",3,NA,21.098,0.613313953488372,22260.22641,647.09960494186,68.2476310289625,38.2406136924554,30.289947266416,11.1552409889788,238.726009253285,149.714492026094,139.522673267327,162.418994978365,0.82019801980198,0.0686046511627907,0.117848837209302,0.0806976744186046,0.00197674418604651,0.0131395348837209,0,0.00441860465116279,0.0103488372093023,0.0159883720930233,0.0186627906976744,0
"4","sample_00004","17.04.2022","t1",4,NA,28.414,0.825988372093023,27538.61652,800.541177906977,83.7791037418494,39.6183607271645,34.9734745401504,11.2297432138841,341.447109527441,163.646614909496,251.594050632911,171.637001774832,0.514050632911392,0.0305232558139535,0.0669767441860465,0.136511627906977,0.00941860465116279,0.0131395348837209,0,0.0171511627906977,0.0088953488372093,0.00575581395348837,0.013953488372093,0
"5","sample_00005","17.04.2022","t1",5,NA,12.25,0.356104651162791,11075.788125,321.97058502907,71.3781497379247,31.9961808811583,32.0282638766437,12.5735108210661,274.936021914676,154.79397823283,198.590674157303,169.895871544079,0.686741573033708,0.0849418604651163,0.0876162790697674,0.0809883720930233,0.00203488372093023,0.00732558139534884,0,0.0151162790697674,0.00843023255813953,0.00732558139534884,0,0
"6","sample_00006","17.04.2022","t1",6,NA,14.128,0.410697674418605,14681.81214,426.796864534884,83.9981981063166,45.9084633153468,37.6091287600047,15.8560785365072,347.609263266876,184.33163417419,251.770111111111,194.375507632529,0.552444444444444,0.068953488372093,0.0481976744186047,0.0908720930232558,0,0.02,0.00726744186046512,0.0213372093023256,0.0363953488372093,0.0181976744186047,0.0103488372093023,0
"7","sample_00007","17.04.2022","t1",7,NA,6.116,0.177790697674419,12914.54118,375.42270872093,72.5406276591218,36.1618406806952,32.7533122571221,10.6271129677209,295.534158706159,221.336129324637,196.659464285714,228.083071727648,0.792410714285714,0.0455232558139535,0.129709302325581,0.0524418604651163,0.00843023255813953,0.0298837209302326,0,0.0261627906976744,0.0186046511627907,0.00930232558139535,0.0145348837209302,0
"8","sample_00008","17.04.2022","t1",8,NA,19.414,0.564360465116279,16369.202925,475.848922238372,73.9827474101252,41.8640673015473,32.661433089659,13.0011194282456,311.214914219261,201.004604019384,221.608172043011,214.886155313774,0.638924731182796,0.099593023255814,0.0786046511627907,0.0841860465116279,0,0.00505813953488372,0.0150581395348837,0.00186046511627907,0.0266860465116279,0.00534883720930233,0.00377906976744186,0
"9","sample_00009","17.04.2022","t1",9,NA,20.674,0.600988372093023,16983.21411,493.698084593023,78.0922243853688,28.6419051184636,34.5549192010662,10.451363703276,294.912632900095,183.493238108762,187.006363636364,199.459677624624,0.78,0.0165697674418605,0.104941860465116,0.0576744186046512,0.00244186046511628,0.0104651162790698,0.000872093023255814,0.0127325581395349,0.0123837209302326,0.0106395348837209,0.0038953488372093,0
"10","sample_00010","17.04.2022","t1",10,NA,23.386,0.679825581395349,21941.09937,637.822656104651,80.2047898158405,40.3007860606482,35.5677883922267,13.3074252441361,299.224661306808,175.927949526152,201.882745098039,197.312029673246,0.662647058823529,0.0840697674418605,0.110581395348837,0.0461046511627907,0,0.0130813953488372,0,0.0141860465116279,0.0342441860465116,0.000872093023255814,0.0119767441860465,0
"11","sample_00011","17.04.2022","t1",11,NA,18.7,0.543604651162791,18623.496915,541.380724273256,78.6216495819343,36.7227884927387,36.92180359022,14.2697723105991,374.122687256932,209.353032293988,283.040897435897,218.248448721438,0.479102564102564,0.0725581395348837,0.0540697674418605,0.0987209302325581,0.022093023255814,0.0280813953488372,0,0.0122093023255814,0.0173837209302326,0,0,0
"12","sample_00012","17.04.2022","t1",12,NA,25.626,0.744941860465116,29356.833645,853.396326889535,76.2918858899832,44.7376892725799,34.9522930016279,15.9971264881678,337.755448483313,224.895436742654,234.548947368421,239.182126999816,0.743157894736842,0.0941860465116279,0.0671511627906977,0.0673255813953488,0.0130813953488372,0.0440116279069767,0.0072093023255814,0.0287209302325581,0.0448255813953488,0.0279651162790698,0,0
"13","sample_00013","17.04.2022","t1",13,NA,20.034,0.582383720930232,19488.827205,566.535674563953,81.7862385564699,55.1954014915288,35.240298382026,18.4235416206124,338.252613483754,214.489053844038,244.061547619048,238.259585531361,0.615595238095238,0.0498837209302326,0.0436046511627907,0.0926744186046512,0.0113372093023256,0.0208139534883721,0.0141279069767442,0.00563953488372093,0,0.0199418604651163,0.0188372093023256,0
"14","sample_00014","17.04.2022","t1",14,NA,27.272,0.792790697674419,29488.93938,857.236609883721,72.4696797902517,36.6900078680843,32.383966603447,11.6397519533614,272.563021089436,220.660858277465,179.503414634146,226.819073937305,0.803414634146342,0.0486046511627907,0.0912209302325581,0.0481395348837209,0.00947674418604651,0.00872093023255814,0.00186046511627907,0.0247093023255814,0.00936046511627907,0.00575581395348837,0,0
"15","sample_00015","17.04.2022","t1",15,NA,24.502,0.712267441860465,11002.173705,319.830630959302,76.1465387720787,36.5876682154803,32.6314809631194,14.3449393658439,318.634688036762,206.625747973404,196.741717171717,212.543331903914,0.863737373737374,0.0476744186046512,0.0387209302325581,0.0365697674418605,0.013953488372093,0.0474418604651163,0.014593023255814,0.0140116279069767,0.0202325581395349,0.0218023255813953,0.00424418604651163,0
"16","sample_00016","17.04.2022","t1",16,NA,22.324,0.648953488372093,25373.060055,737.588955087209,81.5775449284421,30.5047530346302,36.5744208049684,11.5567025162,319.242874166941,207.01410996449,225.260769230769,230.462708768737,0.621111111111111,0.0844186046511628,0.121744186046512,0.113139534883721,0.00343023255813953,0.0137790697674419,0,0.0293604651162791,0.021453488372093,0.00953488372093023,0,0
"17","sample_00017","17.04.2022","t1",17,NA,21.116,0.613837209302326,16893.426825,491.087989098837,86.656774070982,42.6331658342667,36.1124063221889,13.187269675586,318.611870966489,192.202692610294,215.993586956522,223.255042454807,0.769239130434783,0.0122674418604651,0.0644186046511628,0.108895348837209,0.00645348837209302,0.0292441860465116,0,0.0131395348837209,0.00453488372093023,0.0255232558139535,0.0322674418604651,0
"18","sample_00018","17.04.2022","t1",18,NA,18.518,0.538313953488372,17567.47116,510.682301162791,72.353014285032,36.281516294223,32.9810705599307,12.9333547133642,266.760386072162,168.547566004015,181.583529411765,178.624930192932,0.659803921568627,0.0722093023255814,0.103662790697674,0.12156976744186,0.0219186046511628,0.0205813953488372,0.00122093023255814,0.00755813953488372,0.0146511627906977,0.000930232558139535,0.0102325581395349,0
