"","file","date","time_point","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","13.04.2022","t0",NA,7.226,0.210058139534884,8539.53516,248.242301162791,92.8967936984478,134.975424967168,38.0236688879166,16.853713981647,601.751025482524,434.705535440842,495.558222222222,430.463185809979,0.415777777777778,0.00726744186046512,0.00546511627906977,0.0419767441860465,0.0508720930232558,0.0182558139534884,0.0165697674418605,0.0630232558139535,0.00255813953488372,0.0132558139534884,0,0
"2","sample_00002","13.04.2022","t0",NA,4.082,0.118662790697674,11474.303265,333.55532747093,76.4757758059947,50.1339694553255,35.8019874881295,15.9777279339388,444.15898370879,375.080637051412,324.320980392157,394.165090124709,0.473725490196078,0.0483720930232558,0.00941860465116279,0.0523255813953488,0.0546511627906977,0.00994186046511628,0.00726744186046512,0.0178488372093023,0.00959302325581395,0.00331395348837209,0.00255813953488372,0.00441860465116279
"3","sample_00003","13.04.2022","t0",NA,23.508,0.683372093023256,25791.75027,749.760182267442,56.9732936755202,50.4322532488759,26.4507185913609,13.5187115788266,307.918587147014,236.210552042291,176.784210526316,221.522167844794,0.822894736842105,0.0344186046511628,0.00726744186046512,0.0234302325581395,0.0216860465116279,0.00813953488372093,0.00156976744186047,0.00790697674418605,0.00569767441860465,0.0259883720930233,0.00726744186046512,0.0281395348837209
"4","sample_00004","13.04.2022","t0",NA,30.84,0.896511627906977,32475.473775,944.054470203488,61.3612111028875,41.6992527114629,28.2032665049043,16.9947720533601,349.087354454023,254.017013291784,185.2965625,244.636758216209,0.84890625,0.0525581395348837,0.00918604651162791,0.0330813953488372,0.0508139534883721,0.0221511627906977,0.0145348837209302,0.0325581395348837,0.0072093023255814,0.0518604651162791,0.00598837209302326,0
"5","sample_00005","13.04.2022","t0",NA,16.606,0.482732558139535,18508.581,538.040145348837,52.9789021117549,34.5107971925945,26.7489809430622,10.7462885612503,259.153485383597,255.280539823515,173.136285714286,241.899635642623,0.508285714285714,0.0483139534883721,0.0145348837209302,0.0111627906976744,0.0744767441860465,0,0.00883720930232558,0.0176744186046512,0.00122093023255814,0,0,0.0186046511627907
"6","sample_00006","13.04.2022","t0",NA,15.976,0.464418604651163,18712.529685,543.96888619186,59.1909293814896,32.3981971347284,28.8903985942093,16.8829847030997,425.78050125811,315.73860265905,211.394264705882,288.411878082118,0.693088235294118,0.0631395348837209,0.0441279069767442,0.0249418604651163,0.018953488372093,0.0181395348837209,0.00726744186046512,0.0193604651162791,0.00395348837209302,0.0433720930232558,0,0.00726744186046512
"7","sample_00007","13.04.2022","t0",NA,6.382,0.185523255813953,18178.529895,528.445636482558,63.1259949619121,46.3735265315424,31.4751367268426,14.9767820603586,333.134379955569,274.079238515988,209.622631578947,253.797508793402,0.642280701754386,0.0541860465116279,0.0145348837209302,0.0231395348837209,0.0726162790697674,0.0226744186046512,0.0290697674418605,0.0143604651162791,0.0208139534883721,0.00854651162790698,0.00877906976744186,0.00552325581395349
"8","sample_00008","13.04.2022","t0",NA,22.914,0.666104651162791,21428.390025,622.918314680232,62.8454682874121,40.4482371571057,31.6338699095395,12.3682511579932,463.321201645995,346.303907938025,329.440634920635,355.22111003672,0.461428571428571,0.0491860465116279,0.0152906976744186,0.0323255813953488,0.0431976744186046,0.0229651162790698,0.0103488372093023,0.0336046511627907,0.00819767441860465,0.00668604651162791,0.00726744186046512,0.0238372093023256
"9","sample_00009","13.04.2022","t0",NA,21.246,0.617616279069767,18651.906045,542.206571075581,102.277192717147,164.48274962251,40.0749791657785,21.8515844458529,440.848848778839,297.425868646454,287.586949152542,297.543760636953,0.408474576271186,0.0452906976744186,0.0190697674418605,0.039593023255814,0.0269767441860465,0.0438372093023256,0.0218023255813953,0.0384883720930233,0.00726744186046512,0.00726744186046512,0,0.00441860465116279
"10","sample_00010","13.04.2022","t0",NA,25.972,0.755,29905.070805,869.333453633721,47.758418456014,32.570848468267,23.1571836451486,12.6995066059893,391.419635602105,265.593057864357,139.624659090909,223.057967930656,0.726590909090909,0.088953488372093,0.00988372093023256,0.0222093023255814,0.0612790697674419,0.016453488372093,0.0126162790697674,0.025,0.00982558139534884,0.0504651162790698,0.00726744186046512,0.028953488372093
"11","sample_00011","13.04.2022","t0",NA,20.304,0.590232558139535,20655.93069,600.463101453488,71.4822329317474,65.2073303091063,32.8126919526005,14.3309817965482,425.926347040688,291.067370697171,270.063833333333,262.038235048684,0.566333333333333,0.0651744186046512,0.00488372093023256,0.0207558139534884,0.0290697674418605,0.0361627906976744,0.0191860465116279,0.0290697674418605,0,0.0106395348837209,0.0263372093023256,0.0330813953488372
"12","sample_00012","13.04.2022","t0",NA,27.9,0.811046511627907,35556.35535,1033.61498110465,51.4219761027951,28.8882504965012,26.6498431442889,13.3666633704952,304.251013464369,267.197096522119,182.644242424242,247.077208517782,0.72,0.0566279069767442,0,0.0205232558139535,0.025,0.00563953488372093,0.0144767441860465,0.0188953488372093,0,0.0120348837209302,0,0.00726744186046512
