"","file","date","time","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","21.04.22",13,"t2",1,NA,7.226,0.210058139534884,8539.53516,248.242301162791,73.8767812120404,46.6881939265748,32.5170925858748,17.5185554038637,236.259347102219,142.156501983983,127.138253968254,129.041340519352,0.727936507936508,0.0431976744186046,0.0865116279069768,0.0334883720930233,0.00726744186046512,0.00872093023255814,0,0.0195348837209302,0,0.0328488372093023,0.0145348837209302,0.000581395348837209
"2","sample_00002","21.04.22",13,"t2",2,NA,4.082,0.118662790697674,11474.303265,333.55532747093,83.7351466230512,44.7554732598789,33.4592026455916,14.3734337897121,244.168125730234,168.880054115588,171.468018867925,172.186193497841,0.567547169811321,0.0729651162790698,0.189651162790698,0.0323255813953488,0.0609302325581395,0.0146511627906977,0,0.0259883720930233,0.00994186046511628,0.0397093023255814,0.00151162790697674,0
"3","sample_00003","21.04.22",13,"t2",3,NA,23.508,0.683372093023256,25791.75027,749.760182267442,81.9657160885213,43.0071091781858,35.6323271800918,15.0245539809744,212.677827155241,119.323286096942,110.58525,103.107231062481,0.598,0.0409883720930233,0.0784883720930233,0.0270348837209302,0,0.00738372093023256,0,0.0052906976744186,0,0.00802325581395349,0.0218023255813953,0
"4","sample_00004","21.04.22",13,"t2",4,NA,30.84,0.896511627906977,32475.473775,944.054470203488,87.9876349259584,33.061203609756,38.8572181372618,13.6860487532161,296.939698813753,168.295671279623,191.49347826087,170.470643536161,0.568695652173913,0.00726744186046512,0.0727325581395349,0.058953488372093,0.00424418604651163,0.0192441860465116,0.00726744186046512,0.00982558139534884,0,0.013546511627907,0.00843023255813953,0
"5","sample_00005","21.04.22",13,"t2",5,NA,16.606,0.482732558139535,18508.581,538.040145348837,84.098637012695,50.2778449314755,33.3934348678237,15.7654072711661,259.718809151116,175.64833443551,169.94484375,181.501887575931,0.68671875,0.042906976744186,0.132383720930233,0.0327325581395349,0.00726744186046512,0.0072093023255814,0.00116279069767442,0.00174418604651163,0.00476744186046512,0.0277906976744186,0.00726744186046512,0
"6","sample_00006","21.04.22",13,"t2",6,NA,15.976,0.464418604651163,18712.529685,543.96888619186,111.355677666773,73.6771257352801,42.3719597676538,17.5685496813226,239.861848318267,154.175881337647,168.698431372549,165.952426066901,0.538039215686275,0.0613953488372093,0.106860465116279,0.00273255813953488,0,0.0097093023255814,0,0.00122093023255814,0.0162790697674419,0.0122093023255814,0.0287790697674419,0
"7","sample_00007","21.04.22",13,"t2",7,NA,6.382,0.185523255813953,18178.529895,528.445636482558,111.262557687642,88.8684796046372,43.0810201217149,18.5418044892937,304.067746786425,199.850223278462,225.888,202.701582878579,0.458909090909091,0.0425581395348837,0.109941860465116,0.0101744186046512,0,0.0290697674418605,0.00372093023255814,0,0.0180813953488372,0.00441860465116279,0.0269186046511628,0
"8","sample_00008","21.04.22",13,"t2",8,NA,22.914,0.666104651162791,21428.390025,622.918314680232,75.709588861271,51.18428485183,35.8554339033153,20.7858092497756,266.138380135551,231.683931728503,201.872586206897,234.162319609226,0.479655172413793,0.113953488372093,0.101104651162791,0.0108139534883721,0,0.0116279069767442,0.00726744186046512,0.00709302325581395,0.0145348837209302,0.00604651162790698,0.00715116279069767,0
"9","sample_00009","21.04.22",13,"t2",9,NA,21.246,0.617616279069767,18651.906045,542.206571075581,89.6842414908593,47.4614536804029,41.8226740405468,19.05584169904,238.817326752169,167.410034900041,113.04743902439,142.351478059436,0.730121951219512,0.0506976744186047,0.154883720930233,0.00715116279069767,0,0.0290116279069767,0.00726744186046512,0.0173255813953488,0.01,0.0245348837209302,0.0107558139534884,0
"10","sample_00010","21.04.22",13,"t2",10,NA,25.972,0.755,29905.070805,869.333453633721,86.4550121415854,56.3336757444622,39.4184851043588,19.7294355821266,249.126719899183,159.293209834361,106.541935483871,134.447167840958,0.779516129032258,0.0476744186046512,0.0933139534883721,0.0217441860465116,0,0.0343604651162791,0,0,0.00406976744186047,0.0308720930232558,0.0145348837209302,0
