"","file","date","time_point","culture_ID","comment","time","replicate","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","11.05.2022","t7",1,NA,NA,1,7.226,0.210058139534884,8539.53516,248.242301162791,102.3124122,5.67264903508507,50.6839032,21.2786368343858,483.048,472.05883026589,465.33,452.435202874401,0.265,0,0.00726744186046512,0,0,0,0,0.00726744186046512,0,0,0,0
"2","sample_00002","11.05.2022","t7",2,NA,NA,1,4.082,0.118662790697674,11474.303265,333.55532747093,82.1986312665848,13.308568864801,36.2655131169244,0.725092849067688,159.341020176186,26.7807958935017,63.772,50.108980432653,0.866,0,0.00755813953488372,0,0,0,0,0,0,0,0,0
"3","sample_00003","11.05.2022","t7",3,NA,NA,1,23.508,0.683372093023256,25791.75027,749.760182267442,104.28622992,22.7974729436942,37.00273104,9.14313488696384,238.1972,126.064057086864,178.702,120.240741098847,0.374,0,0.0290697674418605,0.00726744186046512,0,0,0,0,0,0,0,0
"4","sample_00004","11.05.2022","t7",4,NA,NA,1,30.84,0.896511627906977,32475.473775,944.054470203488,77.3055604653061,19.975958906581,40.2439220816326,26.0509354786067,286.139931972789,250.335153469393,90.6,72.0848673439856,0.643333333333333,0,0.00726744186046512,0,0,0.00726744186046512,0,0,0,0.00284883720930233,0,0
"5","sample_00005","11.05.2022","t7",5,NA,NA,1,16.606,0.482732558139535,18508.581,538.040145348837,104.412229218034,19.9278334502747,52.7630879500272,7.78628928133969,234.742780249416,224.453887243121,124.306153846154,120.14801326825,0.415384615384615,0,0,0,0,0,0,0,0,0,0,0
"6","sample_00006","11.05.2022","t7",6,NA,NA,1,15.976,0.464418604651163,18712.529685,543.96888619186,99.6049602,20.367058232713,46.3807026,4.323522631719,208.162666666667,57.4982686440789,104.473333333333,70.386276692738,0.333333333333333,0.00726744186046512,0.0508720930232558,0.0127325581395349,0,0.00726744186046512,0,0,0,0,0,0
"7","sample_00007","11.05.2022","t7",7,NA,NA,1,6.382,0.185523255813953,18178.529895,528.445636482558,113.40841259617,31.8336451719609,48.674450582461,9.08499048702219,435.896239321336,293.17502993404,272.81125,263.89509708405,0.490625,0,0.0290697674418605,0,0,0,0.0145348837209302,0,0,0,0,0
"8","sample_00008","11.05.2022","t7",8,NA,NA,1,22.914,0.666104651162791,21428.390025,622.918314680232,79.0629647365847,37.9550164202677,38.9654154113757,15.1748742107769,354.269166383954,268.018786169037,197.731538461538,170.805108864175,0.522307692307692,0.00726744186046512,0.0291860465116279,0,0,0.0191279069767442,0,0,0.0127906976744186,0,0,0
"9","sample_00009","11.05.2022","t7",9,NA,NA,1,21.246,0.617616279069767,18651.906045,542.206571075581,95.8127191965238,28.1879272048671,43.5374099359918,11.8653942278216,233.373602308885,188.230692211287,140.816923076923,107.60176511754,0.321538461538462,0.00784883720930233,0.011453488372093,0.00186046511627907,0,0.0102325581395349,0.00116279069767442,0,0.00215116279069767,0.000755813953488372,0,0
"10","sample_00010","11.05.2022","t7",10,NA,NA,1,25.972,0.755,29905.070805,869.333453633721,81.224766927548,37.9506928487365,38.3161604007088,12.5770234038604,195.762960206108,136.28679978501,106.459318181818,137.292033583784,0.675909090909091,0,0.0373837209302326,0,0.00726744186046512,0.00726744186046512,0.00186046511627907,0.00726744186046512,0.00726744186046512,0,0,0
