"contrast","estimate","SE","df","t.ratio","p.value","combination","system_nr_unconnected_systems"
"high SL_conn - SL_unc",-0.147727292141463,0.0367482476763178,39.7052223572846,-4.0199819442456,0.000252550902065047,1,"1005, 1008, 1012, 1016, 1024, 1027, 1031, 1038, 1045, 1046, 1055, 1056, 1063"
"high MM_conn - MM_unc",0.047007360819769,0.0451329629853176,38.1689798361141,1.04153057345385,0.304181861848863,1,"1005, 1008, 1012, 1016, 1024, 1027, 1031, 1038, 1045, 1046, 1055, 1056, 1063"
"low SL_conn - SL_unc",-0.151403046067074,0.0341173131401812,38.1689806554694,-4.43771892132857,7.4993128517023e-05,1,"1005, 1008, 1012, 1016, 1024, 1027, 1031, 1038, 1045, 1046, 1055, 1056, 1063"
"low MM_conn - MM_unc",0.0570832139186378,0.0451329629853173,38.1689804786777,1.26477878124705,0.213618688611623,1,"1005, 1008, 1012, 1016, 1024, 1027, 1031, 1038, 1045, 1046, 1055, 1056, 1063"
"high SL_conn - SL_unc",-0.164627324615363,0.0416440223362866,38.4326956536749,-3.95320421466384,0.000320189116116863,2,"1002, 1010, 1014, 1016, 1023, 1027, 1033, 1040, 1044, 1047, 1051, 1056, 1063"
"high MM_conn - MM_unc",0.0470073608197702,0.0512680370528941,37.0450070137141,0.916894102484788,0.365129007775899,2,"1002, 1010, 1014, 1016, 1023, 1027, 1033, 1040, 1044, 1047, 1051, 1056, 1063"
"low SL_conn - SL_unc",-0.152521695133627,0.0387549932138295,37.0450070677435,-3.93553662342534,0.00035183744740021,2,"1002, 1010, 1014, 1016, 1023, 1027, 1033, 1040, 1044, 1047, 1051, 1056, 1063"
"low MM_conn - MM_unc",0.108235432848723,0.0512680370528941,37.0450070055186,2.11116787516275,0.041566598292865,2,"1002, 1010, 1014, 1016, 1023, 1027, 1033, 1040, 1044, 1047, 1051, 1056, 1063"
"high SL_conn - SL_unc",-0.156764758732905,0.0409900995511714,38.6669490822435,-3.82445420844129,0.000465175830570836,3,"1001, 1007, 1014, 1018, 1025, 1027, 1034, 1040, 1043, 1047, 1055, 1056, 1063"
"high MM_conn - MM_unc",0.0470073608197685,0.0504520784693436,37.2606812740124,0.931722978436494,0.357477834692608,3,"1001, 1007, 1014, 1018, 1025, 1027, 1034, 1040, 1043, 1047, 1055, 1056, 1063"
