"contrast","estimate","SE","df","t.ratio","p.value","combination","system_nr_unconnected_systems"
"high SL_conn - SL_unc",-0.154425326838045,0.0377039580204038,39.5333123173459,-4.09573251578723,0.000202001181885504,1,"1001, 1008, 1015, 1019, 1022, 1028, 1034, 1040, 1041, 1046, 1054, 1056, 1063"
"high MM_conn - MM_unc",0.0470073608197684,0.0463371630522801,38.027870850826,1.01446350452513,0.31677296610382,1,"1001, 1008, 1015, 1019, 1022, 1028, 1034, 1040, 1041, 1046, 1054, 1056, 1063"
"low SL_conn - SL_unc",-0.161299858647292,0.0350276028275955,38.0278707410914,-4.60493569717583,4.51721569374447e-05,1,"1001, 1008, 1015, 1019, 1022, 1028, 1034, 1040, 1041, 1046, 1054, 1056, 1063"
"low MM_conn - MM_unc",0.0196580452471427,0.0463371630522803,38.0278706000302,0.424239292011971,0.67378176387175,1,"1001, 1008, 1015, 1019, 1022, 1028, 1034, 1040, 1041, 1046, 1054, 1056, 1063"
"high SL_conn - SL_unc",-0.149040630728959,0.0390718295457796,38.5791463347793,-3.81452909837077,0.000480047880577515,2,"1001, 1008, 1012, 1019, 1025, 1027, 1034, 1038, 1045, 1055, 1047, 1057, 1062"
"high MM_conn - MM_unc",0.0874192056527408,0.0480803668951052,37.1626637337774,1.81818923810335,0.0771028284670781,2,"1001, 1008, 1012, 1019, 1025, 1027, 1034, 1038, 1045, 1055, 1047, 1057, 1062"
"low SL_conn - SL_unc",-0.157482372905356,0.0363453410711972,37.1626634930862,-4.33294524865958,0.000107480076176679,2,"1001, 1008, 1012, 1019, 1025, 1027, 1034, 1038, 1045, 1055, 1047, 1057, 1062"
"low MM_conn - MM_unc",0.112479326345539,0.0480803668951053,37.1626638431118,2.33940241327463,0.0247965340289907,2,"1001, 1008, 1012, 1019, 1025, 1027, 1034, 1038, 1045, 1055, 1047, 1057, 1062"
"high SL_conn - SL_unc",-0.163428428118524,0.0379847622087571,39.0045955773223,-4.30247337657012,0.000109697946749219,3,"1001, 1008, 1012, 1019, 1025, 1028, 1032, 1040, 1044, 1054, 1051, 1057, 1065"
"high MM_conn - MM_unc",0.0219553168351808,0.0467131945713614,37.5439219893614,0.470002470108113,0.64107199063604,3,"1001, 1008, 1012, 1019, 1025, 1028, 1032, 1040, 1044, 1054, 1051, 1057, 1065"
"low SL_conn - SL_unc",-0.157482372905356,0.0353118559374845,37.5439223980005,-4.45975915806181,7.20271450076036e-05,3,"1001, 1008, 1012, 1019, 1025, 1028, 1032, 1040, 1044, 1054, 1051, 1057, 1065"
