"contrast","estimate","SE","df","t.ratio","p.value","combination","system_nr_unconnected_systems"
"high SL_conn - SL_unc",0.229229126444395,0.0690448576753743,37.4862154698852,3.32000288163607,0.00201313744390962,8,"1004, 1007, 1011, 1020, 1023, 1028, 1035, 1037, 1044, 1054, 1048, 1056, 1064"
"high MM_conn - MM_unc",0.0829341207175155,0.0849535670013898,35.9742763412681,0.976228822930516,0.335470466399069,8,"1004, 1007, 1011, 1020, 1023, 1028, 1035, 1037, 1044, 1054, 1048, 1056, 1064"
"low SL_conn - SL_unc",0.252257563685563,0.0643840517731751,36.3968918851728,3.9180131839833,0.000377906886032314,8,"1004, 1007, 1011, 1020, 1023, 1028, 1035, 1037, 1044, 1054, 1048, 1056, 1064"
"low MM_conn - MM_unc",0.0096268334391405,0.0853790081759046,36.7563214051825,0.112754102499136,0.910839077480146,8,"1004, 1007, 1011, 1020, 1023, 1028, 1035, 1037, 1044, 1054, 1048, 1056, 1064"
"high SL_conn - SL_unc",0.225315939649195,0.0692844354690755,37.4155057515766,3.25204265754265,0.00242948258803189,9,"1003, 1007, 1015, 1016, 1024, 1027, 1033, 1039, 1041, 1055, 1047, 1056, 1064"
"high MM_conn - MM_unc",0.0856733746313041,0.085288739764933,36.0316534068088,1.00450979657375,0.321831518179358,9,"1003, 1007, 1015, 1016, 1024, 1027, 1033, 1039, 1041, 1055, 1047, 1056, 1064"
"low SL_conn - SL_unc",0.24601197285937,0.0644959606994207,36.213010615869,3.81437798881534,0.000513054168036947,9,"1003, 1007, 1015, 1016, 1024, 1027, 1033, 1039, 1041, 1055, 1047, 1056, 1064"
"low MM_conn - MM_unc",-0.00520529604752284,0.0853351324932865,36.2527555719409,-0.0609982769749887,0.951695628895638,9,"1003, 1007, 1015, 1016, 1024, 1027, 1033, 1039, 1041, 1055, 1047, 1056, 1064"
"high SL_conn - SL_unc",0.21070229133171,0.0670927812566977,37.4793700560601,3.14046142349593,0.00328571922176046,11,"1004, 1006, 1013, 1020, 1022, 1028, 1034, 1036, 1042, 1054, 1046, 1056, 1065"
"high MM_conn - MM_unc",0.0604116446319321,0.0827156429117695,36.3816981008309,0.730353322603942,0.469851456541951,11,"1004, 1006, 1013, 1020, 1022, 1028, 1034, 1036, 1042, 1054, 1046, 1056, 1065"
"low SL_conn - SL_unc",0.253257494879934,0.0628791057575554,37.1775554368391,4.02768919546065,0.000267150419679509,11,"1004, 1006, 1013, 1020, 1022, 1028, 1034, 1036, 1042, 1054, 1046, 1056, 1065"
"low MM_conn - MM_unc",-0.00671578846381687,0.0835857634039933,37.8441603554577,-0.0803460803648774,0.936385407617705,11,"1004, 1006, 1013, 1020, 1022, 1028, 1034, 1036, 1042, 1054, 1046, 1056, 1065"
"high SL_conn - SL_unc",0.225901239766416,0.0700064648367983,33.8789650957234,3.22686255180926,0.00277532867744456,13,"1003, 1010, 1012, 1016, 1024, 1027, 1034, 1038, 1041, 1048, 1052, 1057, 1061"
"high MM_conn - MM_unc",0.0385362006572709,0.0862309379708442,32.4576676309431,0.44689529725747,0.657918520272824,13,"1003, 1010, 1012, 1016, 1024, 1027, 1034, 1038, 1041, 1048, 1052, 1057, 1061"
"low SL_conn - SL_unc",0.245357920710615,0.0651844620544832,32.4576676824556,3.76405531283724,0.000665761576645297,13,"1003, 1010, 1012, 1016, 1024, 1027, 1034, 1038, 1041, 1048, 1052, 1057, 1061"
"low MM_conn - MM_unc",0.00379932390015258,0.0862309379708444,32.4576676767513,0.0440598698049322,0.965126631852757,13,"1003, 1010, 1012, 1016, 1024, 1027, 1034, 1038, 1041, 1048, 1052, 1057, 1061"
"high SL_conn - SL_unc",0.234761350723067,0.0705558545966629,33.2042776572596,3.32731212831444,0.00215202290128407,14,"1005, 1006, 1014, 1017, 1023, 1030, 1034, 1036, 1042, 1051, 1049, 1057, 1061"
"high MM_conn - MM_unc",0.0315193678747025,0.0869194352276455,31.8887386905101,0.36262738928471,0.719275722560466,14,"1005, 1006, 1014, 1017, 1023, 1030, 1034, 1036, 1042, 1051, 1049, 1057, 1061"
"low SL_conn - SL_unc",0.247473876748569,0.0659737964101303,32.4902812134606,3.75109346762663,0.000689406114384604,14,"1005, 1006, 1014, 1017, 1023, 1030, 1034, 1036, 1042, 1051, 1049, 1057, 1061"
"low MM_conn - MM_unc",0.0149099840988713,0.0870869199687056,32.1660724236701,0.171208076990542,0.865132658992015,14,"1005, 1006, 1014, 1017, 1023, 1030, 1034, 1036, 1042, 1051, 1049, 1057, 1061"
"high SL_conn - SL_unc",0.223478244737527,0.0689253944734962,35.2365075408586,3.24232086656336,0.00259389851562381,15,"1005, 1007, 1013, 1019, 1021, 1027, 1035, 1036, 1043, 1051, 1054, 1057, 1061"
"high MM_conn - MM_unc",0.0326487974140571,0.0847364792700033,33.6547677753363,0.385298016808385,0.702441181192719,15,"1005, 1007, 1013, 1019, 1021, 1027, 1035, 1036, 1043, 1051, 1054, 1057, 1061"
"low SL_conn - SL_unc",0.248794268011525,0.0643575638823747,34.3812629902482,3.86581239256107,0.00046884307201261,15,"1005, 1007, 1013, 1019, 1021, 1027, 1035, 1036, 1043, 1051, 1054, 1057, 1061"
"low MM_conn - MM_unc",0.0455715499906912,0.0851745408412076,34.4381018674845,0.535037225215585,0.596062296238703,15,"1005, 1007, 1013, 1019, 1021, 1027, 1035, 1036, 1043, 1051, 1054, 1057, 1061"
"high SL_conn - SL_unc",0.209177144944783,0.0687769196396281,37.5924552055767,3.04138577361146,0.00427625627616393,16,"1005, 1008, 1012, 1019, 1021, 1028, 1035, 1036, 1044, 1054, 1051, 1057, 1061"
"high MM_conn - MM_unc",0.0327759562467949,0.0847758039002394,36.4618004465949,0.386619232598068,0.701285295098334,16,"1005, 1008, 1012, 1019, 1021, 1028, 1035, 1036, 1044, 1054, 1051, 1057, 1061"
"low SL_conn - SL_unc",0.252245770232186,0.0643950534352297,37.2439918318621,3.91716066337147,0.000369034643649769,16,"1005, 1008, 1012, 1019, 1021, 1028, 1035, 1036, 1044, 1054, 1051, 1057, 1061"
"low MM_conn - MM_unc",0.0453182652978485,0.0851747169538216,37.2091970874673,0.53206241145971,0.597845591143452,16,"1005, 1008, 1012, 1019, 1021, 1028, 1035, 1036, 1044, 1054, 1051, 1057, 1061"
"high SL_conn - SL_unc",0.248709415360145,0.0687352537445625,33.3960075814723,3.61836760339042,0.000968500287092272,17,"1002, 1010, 1011, 1018, 1024, 1029, 1035, 1037, 1041, 1048, 1054, 1057, 1062"
"high MM_conn - MM_unc",0.0799628317612625,0.0847538792694046,32.1095560902567,0.943471053485198,0.352485300913284,17,"1002, 1010, 1011, 1018, 1024, 1029, 1035, 1037, 1041, 1048, 1054, 1057, 1062"
"low SL_conn - SL_unc",0.249209755960875,0.0641394210008049,32.2472246824848,3.88543819186874,0.000478219292297666,17,"1002, 1010, 1011, 1018, 1024, 1029, 1035, 1037, 1041, 1048, 1054, 1057, 1062"
"low MM_conn - MM_unc",0.00466023347482536,0.0850221538710899,32.4756936793898,0.0548119903183255,0.956624067108006,17,"1002, 1010, 1011, 1018, 1024, 1029, 1035, 1037, 1041, 1048, 1054, 1057, 1062"
"high SL_conn - SL_unc",0.211007584826061,0.0667770500514396,36.9492746492008,3.15988179566958,0.00314421686135808,18,"1004, 1008, 1011, 1020, 1022, 1030, 1031, 1038, 1044, 1050, 1055, 1057, 1065"
"high MM_conn - MM_unc",0.0742246021219104,0.0822856110980982,35.8017243122039,0.902036226399561,0.37306643844963,18,"1004, 1008, 1011, 1020, 1022, 1030, 1031, 1038, 1044, 1050, 1055, 1057, 1065"
"low SL_conn - SL_unc",0.250908075835154,0.0624007031236105,36.4354351410025,4.02091744604425,0.000279404695083883,18,"1004, 1008, 1011, 1020, 1022, 1030, 1031, 1038, 1044, 1050, 1055, 1057, 1065"
"low MM_conn - MM_unc",0.0408841840586915,0.0827028246210928,36.7819905283606,0.494350516394144,0.62399836901165,18,"1004, 1008, 1011, 1020, 1022, 1030, 1031, 1038, 1044, 1050, 1055, 1057, 1065"
"high SL_conn - SL_unc",0.234482420341447,0.0686302614786965,33.055998602013,3.4166039191652,0.00169771815867727,19,"1005, 1009, 1011, 1018, 1022, 1029, 1031, 1040, 1042, 1046, 1055, 1058, 1060"
"high MM_conn - MM_unc",0.0324883788854548,0.084553376954027,31.7445813899509,0.384235143004628,0.703366070161825,19,"1005, 1009, 1011, 1018, 1022, 1029, 1031, 1040, 1042, 1046, 1055, 1058, 1060"
"low SL_conn - SL_unc",0.251374927623001,0.0640878083155085,32.0849038297862,3.92235175816071,0.000433967852328053,19,"1005, 1009, 1011, 1018, 1022, 1029, 1031, 1040, 1042, 1046, 1055, 1058, 1060"
