"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time","time_point","culture_ID","comment"
"sample_00001",55.079776,6.86463855903525,713.96802,190.700194553523,107.754462,20.5813017585239,42.247008,7.6128157172239,21.3815376,3.39254599721983,2.00728,0.414572352531945,0.03,0.38,5,125,1013.98,184,36.87,2263.11,452.62,57.25,1.92,7.44,186.1,1431.28,48.07,"sample_00001-10","21.04.22",13,"t2",1,NA
"sample_00001",54.5971951219512,7.30819287324633,856.530548780487,401.446939550789,115.339505487805,25.9503970435419,46.7292951219512,9.89785992889125,22.2339567073171,6.36002732491685,2.15714634146341,0.317032347220249,-0.06,0.38,3.28,82,1250.52,1251,381.26,1460.42,445.25,31.51,1.68,8.03,200.69,787.85,41.96,"sample_00001-101","21.04.22",13,"t2",1,NA
"sample_00001",86.018688,5.59735310489728,3768.90084,269.261752093606,262.7562564,12.9673412098806,108.3644892,7.07236728413884,44.338104,2.53955885697662,2.454944,0.239251969486618,-0.08,0.48,5,125,626.4,626,125.28,1672,334.4,46.3,3.55,5.45,136.16,1157.51,88.77,"sample_00001-12","21.04.22",13,"t2",1,NA
"sample_00001",56.611328358209,15.2850292774257,1222.84309701493,703.190629280547,158.621211940299,66.4161531802762,62.0477529850746,30.1589993535987,23.9911119402985,6.31745590855984,2.64462686567164,1.24132341201103,0.02,0.92,2.88,67,422.7,423,146.77,638.02,221.53,35.55,0.77,6.98,133.21,642.1,19.25,"sample_00001-123","21.04.22",13,"t2",1,NA
"sample_00001",56.1446470588235,7.97476830716361,1652.14985294118,493.277238990259,194.718202941176,42.3519886962388,78.4706558823529,19.7740716154606,26.4650823529412,3.36810196303235,2.96843137254902,0.725869830063269,-0.01,0.63,2.04,51,475.31,475,232.99,511.37,250.67,26.84,2.61,4.8,119.89,670.9,65.27,"sample_00001-124","21.04.22",13,"t2",1,NA
"sample_00001",98.4608028169014,20.2854667206562,3551.02573943662,422.388814149313,258.582916901408,33.6467843481226,110.307796478873,19.2198465052651,41.479985915493,3.09493948130519,2.7039014084507,0.628787021742874,0.07,0.75,2.84,71,306.27,293,103.18,753.86,265.44,24.16,2.55,4.98,124.44,603.96,63.83,"sample_00001-125","21.04.22",13,"t2",1,NA
"sample_00001",60.395,5.8210097757626,1338.90174418605,656.949092806849,171.253873255814,62.3657797159775,72.2255337209302,31.2394741176294,22.7483790697674,2.55564386091592,3.08704651162791,1.15120036635655,0.02,0.8,1.8,43,230.27,224,124.37,309.75,172.08,34.11,0.66,5.88,103.83,523.72,16.61,"sample_00001-132","21.04.22",13,"t2",1,NA
"sample_00001",65.8592903225806,24.0198503028239,1546.06790322581,342.351740293228,167.63047983871,28.4986350994527,64.3545653225806,12.2094915645326,30.5643048387097,5.33527676081423,2.15732258064516,0.531321327684338,-0.02,0.38,2.48,62,680.12,603,243.26,811.9,327.38,28.47,1.86,7.33,183.37,711.7,46.42,"sample_00001-138","21.04.22",13,"t2",1,NA
"sample_00001",78.3796422764228,5.22242899665312,2308.88524390244,608.924263733481,218.778431707317,53.7525348659405,82.1160548780488,20.5732719338863,35.7345329268293,5.07702566759911,2.33731707317073,0.692392115252257,0.11,1.26,4.92,123,110.61,68,13.78,670.17,136.21,23.65,0.4,5.02,125.44,591.17,9.92,"sample_00001-14","21.04.22",13,"t2",1,NA
"sample_00001",114.682474576271,16.5743135774607,1944.66927966102,848.952097630825,171.970344915254,51.4020578676597,63.1589949152543,20.3952135767632,37.2487423728814,11.6325380167265,1.74737288135593,0.524861653308725,0.05,0.96,2.44,59,64.32,28,11.66,408.43,167.39,44.3,0.59,7.39,173.29,1107.5,14.74,"sample_00001-140","21.04.22",13,"t2",1,NA
