"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment"
"sample_00001",77.746032,2.3469345240671,2267.61282,144.3175865901,181.3836888,5.60472255429288,66.6997092,2.90143710673349,43.2845856,1.97675980739229,1.546448,0.143441707616268,0.01,0.22,5,125,2751.6,2752,550.32,2971.74,594.35,39.26,5.23,6.39,159.72,981.54,130.69,"sample_00001-8","17.04.2022","t1",1,NA
"sample_00001",49.4236875,1.46685868086454,1439.319375,718.908682661609,181.1352375,67.8480826592454,75.01494375,29.1641339617882,23.01125625,4.71048507079623,3.18110416666667,0.989799490539185,0.06,0.79,1.92,48,261.25,246,128.14,370.47,192.95,28.08,2.33,5.11,127.63,701.89,58.3,"sample_00001-85","17.04.2022","t1",1,NA
"sample_00001",62.622464,8.07683657087632,1802.3067,68.5089862200808,198.4740732,12.7902635125546,88.6518108,8.93285330964505,26.215326,3.46707645001171,3.46748,0.668591955699294,0.02,0.27,5,125,1665.77,1419,283.71,2072.91,414.58,30.44,4.48,5.47,136.83,760.95,112.12,"sample_00001-9","17.04.2022","t1",1,NA
"sample_00001",54.2980540540541,6.32585082088632,574.530810810811,167.518279438989,84.9764432432432,13.8928333894382,30.7442067567568,4.54319063563144,23.3163972972973,4.67813181839399,1.35702702702703,0.264016464815537,-0.01,0.57,1.52,37,148.4,128,83.96,252.33,166.01,16.85,0.36,3.77,94.63,421.32,8.92,"sample_00001-92","17.04.2022","t1",1,NA
"sample_00001",58.6062567567568,4.13143074842884,1956.77391891892,447.447747303871,217.572622297297,48.5197515026028,77.8325168918919,17.3050355170765,32.1146391891892,2.98086401093078,2.45416216216216,0.641046768687415,-0.08,1.42,2.96,74,91.84,92,31.03,341.52,115.38,22.1,0.19,4.56,113.99,552.61,4.68,"sample_00001-98","17.04.2022","t1",1,NA
"sample_00002",55.1729495798319,6.57138727046681,1871.26336134454,665.651581667962,204.260831092437,47.7176382383422,80.3373995798319,20.793311498266,29.1138844537815,5.20476221737325,2.79427731092437,0.753932345617947,0.06,1.18,5,119,377.8,318,63.55,911.77,182.35,23.77,0.37,6.17,150.68,546.51,9.2,"sample_00002-1","17.04.2022","t1",2,NA
"sample_00002",63.59288,1.01339578135959,1893.11094,46.8208178273573,164.2894812,3.62424724488868,60.2603064,1.56788076294518,40.0137084,1.01752119982147,1.507528,0.0687148826439673,0.03,0.42,5,125,1047.91,1048,209.58,2241.34,448.27,34.78,0.75,5.95,148.83,869.44,18.83,"sample_00002-10","17.04.2022","t1",2,NA
"sample_00002",54.04003125,3.64233493424005,918.54,292.854312880968,162.684703125,42.208804460826,67.679803125,19.1000199274383,17.0181,2.77520983748919,3.99753125,1.19323223233462,-0.02,0.59,1.28,32,349.13,338,263.73,378.74,295.89,27.67,0.69,9.42,235.59,691.66,17.16,"sample_00002-106","17.04.2022","t1",2,NA
"sample_00002",63.4960555555556,1.4106782694749,1593.0928125,168.040379131478,153.0435375,10.9199835831815,57.75271875,3.83870750755406,34.96095,2.87534501764448,1.65775,0.0861065095443747,0.02,0.33,2.88,72,717.4,717,249.1,742.73,257.89,21.58,0.83,5.2,129.86,539.41,20.87,"sample_00002-116","17.04.2022","t1",2,NA
"sample_00002",66.5949393939394,5.30660959876569,2815.7625,71.221926582843,268.4124,12.2090322252562,121.264731818182,7.07829454546188,29.6553272727273,1.75301604545971,4.11487878787879,0.459182000788886,-0.03,0.07,1.32,33,879.18,879,666.04,910.58,689.83,41.4,13.62,4.69,117.22,1034.93,340.56,"sample_00002-12","17.04.2022","t1",2,NA
"sample_00002",72.7182727272727,4.89244066310931,3609.54409090909,1391.76166607259,269.326718181818,85.7148495604355,102.179536363636,33.5231066275615,42.7833409090909,12.0398875680255,2.45736363636364,0.790917418973918,-0.17,1.06,1.44,33,125.68,126,87.28,239.3,166.18,63.85,0.29,12.72,132.81,532.08,7.2,"sample_00002-13","17.04.2022","t1",2,NA
"sample_00002",59.1668125,2.24783383818639,506.4271875,68.8975625179215,81.49325625,6.15076326999103,30.571171875,2.60412673611635,21.064978125,1.8457861331562,1.46227083333333,0.186877333710137,0.13,0.77,1.92,48,178.53,169,88.12,278.58,145.09,19.58,0.43,4.31,107.79,489.52,10.82,"sample_00002-132","17.04.2022","t1",2,NA
"sample_00002",60.1322881355932,7.94970132609818,890.18313559322,878.957601074817,112.839383898305,65.5669572354438,42.6292016949152,26.4732994107742,22.9900652542373,6.46497726076257,1.74962711864407,0.58511112703147,-0.17,1.01,2.44,59,54.32,54,22.26,287.45,117.81,30.21,0.21,4.31,69.33,318.86,5.15,"sample_00002-135","17.04.2022","t1",2,NA
"sample_00002",60.5091403508772,4.60486848128694,2215.20078947368,272.153388014641,231.354402631579,21.9119453658607,104.702305263158,12.1999653614617,26.9957368421053,2.80484010276888,3.91980701754386,0.615358038595548,-0.03,0.51,2.28,57,554.51,364,159.79,994.32,436.11,33.65,2.59,6.62,165.43,841.23,64.84,"sample_00002-139","17.04.2022","t1",2,NA
"sample_00002",71.213752293578,14.0754512513388,2561.49866972477,622.833263908078,242.904806422018,56.8341965188499,101.539110550459,27.2452736199259,32.7594096330275,5.14236741675123,3.22781651376147,1.13352509950431,-0.06,0.65,4.36,109,448.06,247,56.57,1281.57,293.94,56.21,1.28,9.61,240.22,1405.35,31.92,"sample_00002-14","17.04.2022","t1",2,NA
"sample_00002",70.4314210526316,7.02875814053381,1254.07184210526,737.676729916708,165.105852631579,81.5511752152868,58.3767,27.3276777032936,26.2527394736842,5.30462554472119,2.2189298245614,0.908348695232357,0.02,1.43,2.28,57,52.2,50,21.94,280.71,123.12,20.64,0.24,5.04,126.01,515.94,5.94,"sample_00002-141","17.04.2022","t1",2,NA
"sample_00002",57.796452991453,5.79072992911906,2429.67288461538,319.399130648489,232.104530769231,25.0762965271496,104.015111538462,12.4414811556293,29.5959807692308,2.34411815140619,3.51065811965812,0.418447709467387,0.05,0.46,4.68,117,833.39,770,164.49,2313.31,494.3,39.25,3.62,7.32,183.04,981.33,90.43,"sample_00002-15","17.04.2022","t1",2,NA
"sample_00002",68.91394,10.5815265331537,2187.10935,1208.69711580689,197.698806,70.4873955491998,71.515143,27.6089217640303,35.873766,10.4616902081241,1.9923,0.509763340448591,-0.14,0.77,2,50,104.1,30,14.99,276.8,138.4,15.14,0.9,3.5,87.52,378.6,22.46,"sample_00002-155","17.04.2022","t1",2,NA
"sample_00002",52.5571428571429,2.02288736504697,1120.05642857143,230.925026048431,196.101165306122,31.5277055578291,86.1113479591837,14.0971440099765,16.4115918367347,1.24452424525009,5.22332653061225,0.692842496163303,-0.05,0.33,1.96,49,455.38,207,105.5,778.08,396.98,28.47,2.36,7.7,192.54,711.86,59.04,"sample_00002-158","17.04.2022","t1",2,NA
"sample_00002",64.273992,1.79815685874319,3121.19892,98.8947940798828,285.8118696,7.21958102032438,131.2961076,3.9438644764841,30.2953932,1.33779959471466,4.345976,0.290402653280334,0,0.51,5,125,644.87,332,66.38,2421.48,484.3,37.35,2.28,7.91,197.82,933.81,56.94,"sample_00002-16","17.04.2022","t1",2,NA
"sample_00002",68.87025,5.54584147635425,722.3934375,58.6012097004636,100.72974375,5.79079227384215,36.783196875,1.82853527626146,25.002253125,1.59818054822478,1.47675,0.114040399709741,0.2,1.15,1.92,48,113.15,113,58.68,177.66,92.53,15.29,0.25,3.04,75.89,382.22,6.18,"sample_00002-160","17.04.2022","t1",2,NA
"sample_00002",76.5116774193548,4.44202474394351,2772.0225,1233.47817881438,247.126819354839,85.1454947120581,92.0648612903226,32.9468406902612,36.0689080645161,8.34537719186593,2.48561290322581,0.64103393968491,0.06,1.23,1.24,31,67.76,50,40.03,178,143.55,17.14,0.31,4.73,118.35,428.58,7.67,"sample_00002-182","17.04.2022","t1",2,NA
"sample_00002",59.0415862068965,3.3185933392375,421.940172413793,149.105372447898,75.1318293103448,15.5270568251239,26.0449913793103,4.6556817641203,20.1416275862069,4.71825591671757,1.33724137931035,0.32528511177256,0,0.83,1.2,29,55.09,55,45.91,87.75,73.12,7.26,0.13,1.82,44.89,181.4,3.14,"sample_00002-185","17.04.2022","t1",2,NA
"sample_00002",55.5093666666667,1.97180046348917,2129.59125,631.003297017778,248.221395,62.478864904679,110.00853,29.2953404121172,24.063345,2.65344374674296,4.48563333333333,1.0369940804983,0,0.09,1.2,30,675.96,676,563.3,676.79,563.99,44.83,4.83,7.89,197.28,1120.73,120.87,"sample_00002-186","17.04.2022","t1",2,NA
"sample_00002",59.4086896551724,11.5665817215664,1293.5350862069,96.7135824998105,172.251806896552,23.0445043749617,72.8867327586207,13.1727234322229,23.4827379310345,5.41209333575636,3.34468965517241,1.10519365153314,0.01,0.28,1.16,29,464.26,464,400.22,481.3,414.91,26.96,3.11,6.59,164.86,674.04,77.79,"sample_00002-2","17.04.2022","t1",2,NA
"sample_00002",75.33514,7.59820469228479,2824.18245,1181.19946199501,249.5269395,72.4850648803796,93.5782875,30.4579910400775,36.7184745,6.77674814269871,2.50918,0.58540436477962,-0.06,1.21,4,100,127.69,100,25.1,524.86,131.22,53.31,0.32,6.74,168.52,1332.78,7.91,"sample_00002-20","17.04.2022","t1",2,NA
"sample_00002",76.5625,6.40181597983124,1446.4575,896.365918872179,183.267,76.9123278242537,67.063575,26.6726364621543,25.14735,7.36978047655705,2.6482962962963,0.605331209187344,-0.24,1.42,2.16,54,95.55,83,38.37,292.47,135.4,19.84,0.73,4.99,124.85,495.99,18.21,"sample_00002-23","17.04.2022","t1",2,NA
"sample_00002",64.670472,4.24245175153814,691.00452,52.7805118917393,99.879966,5.00534284261537,37.6408296,2.32910333631934,23.3939988,1.44646567823961,1.61648,0.157353803115269,-0.05,0.86,5,125,112.25,56,11.17,494.54,98.91,8.9,0.05,2.17,54.29,222.57,1.3,"sample_00002-25","17.04.2022","t1",2,NA
"sample_00002",58.4426388888889,6.12937529864074,1548.21375,543.164843898536,174.5213625,48.532012034508,63.957825,20.6047804581728,30.5398125,5.54677853104684,2.138,0.740112887142418,0.26,1.59,1.44,36,41.68,25,17.05,212.16,147.33,20.66,1.31,5.31,132.68,516.38,32.8,"sample_00002-27","17.04.2022","t1",2,NA
"sample_00002",56.1737073170731,9.17543179555851,1557.03731707317,742.830456285804,192.756951219512,55.766363221191,81.425612195122,18.1653518091237,23.7204219512195,9.07896987615765,3.64515447154472,0.87383960557463,-0.08,0.58,5,123,850.9,851,170.18,2460.36,492.07,92.69,5.08,11.96,222.32,1506.01,127.03,"sample_00002-3","17.04.2022","t1",2,NA
"sample_00002",45.11,1.4747677494757,348.21140625,150.834688205109,69.797025,17.8260661012241,27.15811875,7.91948835198298,15.8810625,2.81762698676431,1.71810416666667,0.421737250035346,0,0.07,2.12,48,1342.72,1343,633.36,1350.61,637.08,84.53,9.38,13.32,147.81,1164.78,234.61,"sample_00002-31","17.04.2022","t1",2,NA
"sample_00002",55.51204,9.63291960431653,1408.77792,164.054310236061,173.8565208,19.4246711879934,75.3063804,11.4764237385191,24.4175148,4.96911412462517,3.27016,0.964357494614603,-0.02,0.38,5,125,1093.82,577,115.47,2259.36,451.87,35.48,2.06,7.01,175.21,887.03,51.61,"sample_00002-32","17.04.2022","t1",2,NA
"sample_00002",65.2095769230769,5.77345047659816,1636.149375,660.242823482405,162.016511538462,54.807450614829,61.2752538461538,21.0837619965587,33.3142875,4.93923419658485,1.83767307692308,0.529362647524614,-0.04,1.51,2.16,52,363.11,363,168.11,521.99,241.66,89.73,0.21,13.96,216.36,964.11,5.2,"sample_00002-36","17.04.2022","t1",2,NA
"sample_00002",54.929,0.657269487719596,2293.889625,86.0394925581472,267.03381375,4.44475540854536,122.404365,1.92677221632848,23.85601875,0.648437750277987,5.13365,0.122161001372821,0,0.08,1.6,40,915.45,915,572.16,917.81,573.63,37.76,10.19,4.74,118.62,943.92,254.83,"sample_00002-39","17.04.2022","t1",2,NA
"sample_00002",56.9602396694215,4.2854618615827,1723.88919421488,755.255735098509,189.309317355372,65.2295342094012,70.3370863636363,24.89035154982,29.7325227272727,7.32713922131278,2.37452066115703,0.692429058931594,-0.16,1.25,5,121,122.22,77,15.33,589.65,117.93,60.49,0.36,7.01,156.19,1512.13,8.91,"sample_00002-40","17.04.2022","t1",2,NA
"sample_00002",70.4261935483871,16.7693464654994,1788.13705645161,504.314222744716,172.878626612903,40.6678265415327,65.6159443548387,16.3280090440215,34.1334,4.97072321300712,1.92377419354839,0.429281229970606,0.05,0.58,2.48,62,313.3,311,125.37,359.69,145.04,29.93,0.8,4.64,116.01,748.27,19.89,"sample_00002-41","17.04.2022","t1",2,NA
"sample_00002",63.7202702702703,17.770641559182,931.396013513514,397.98621537122,123.556633783784,30.7110421113438,48.9626391891892,15.3328635019465,24.2206418918919,9.64281358453965,2.36848648648649,1.17265853279398,-0.08,0.85,1.52,37,323.87,324,213.07,389.11,255.99,44.03,1.41,9.94,209.9,626.2,35.3,"sample_00002-42","17.04.2022","t1",2,NA
"sample_00002",54.7036666666667,2.93068078217238,668.235182926829,382.169868040015,106.604857317073,47.6244066082802,41.1757243902439,21.8296156833847,20.2283341463415,2.3948056404445,2.01541463414634,1.00188248163006,0.01,0.5,4.92,123,825.99,826,167.89,962.63,195.66,21.27,0.46,3.67,91.65,531.65,11.44,"sample_00002-45","17.04.2022","t1",2,NA
"sample_00002",55.2023090909091,5.46784241039515,1530.20413636364,741.564966580658,177.031906363636,63.4730544276839,68.5500054545454,26.0969021075613,26.7692481818182,8.6011759232492,2.60045454545455,0.909335956704057,0.27,0.9,2.2,55,60.72,28,12.69,277.16,125.98,24.06,0.5,4.33,108.15,601.51,12.6,"sample_00002-46","17.04.2022","t1",2,NA
"sample_00002",43.758,0.742473683528048,256.581964285714,78.5234778382215,61.661925,10.2427320582203,24.9184928571428,4.19708311925648,12.9043607142857,2.06624208769045,1.94561904761905,0.279635472851925,0.02,0.36,1.84,42,610.07,406,220.46,906.39,492.6,56.02,1.83,10.71,156.93,700.21,45.76,"sample_00002-49","17.04.2022","t1",2,NA
"sample_00002",64.8286666666667,15.8844598784852,2299.42546875,626.296943199957,228.67498125,59.0564274463367,101.4501375,31.9106511474009,29.35119375,7.47728617583851,3.6855,1.46988436366715,0.08,0.5,1.92,48,344.1,273,142.13,737.53,384.13,32.03,1.71,9.18,229.39,800.68,42.74,"sample_00002-55","17.04.2022","t1",2,NA
"sample_00002",48.7602525252525,3.79731282093931,595.294772727273,258.797940728412,92.9273727272727,26.7644241695581,37.1840727272727,11.8241615389915,19.7355681818182,3.12739966138212,1.86890909090909,0.466108446059434,0.01,0.06,3.96,99,1949.32,1949,492.25,2007.09,506.84,30.71,6.61,3.6,89.99,767.67,165.26,"sample_00002-70","17.04.2022","t1",2,NA
"sample_00002",77.7002758620689,11.0446975994836,658.928017241379,217.3417003548,94.7822896551724,19.2648222537005,34.2902327586207,6.62466096306709,23.7899793103448,4.63810286357774,1.45503448275862,0.201034553312648,0.25,1.1,1.2,29,68.27,64,53.5,125.39,104.49,12.6,0.88,2.89,68.16,315.03,21.99,"sample_00002-72","17.04.2022","t1",2,NA
"sample_00002",73.0730108695652,8.71139829491384,2819.6254076087,1354.12287323869,247.996467391304,66.9976803400814,90.7232135869565,26.1871134530207,37.6290342391304,10.8211915951249,2.50709782608696,0.694505801996075,-0.14,1.01,3.68,92,110.2,83,22.59,476.26,129.42,29.27,0.15,4.39,109.64,731.74,3.72,"sample_00002-81","17.04.2022","t1",2,NA
