"","disturbance","eco_metaeco_type","time_point","day","lnRR_lower","lnRR","lnRR_upper"
"1","low","S (S_S)",0,0,0,0,0
"2","low","S (S_S)",1,4,0.108560058008281,0.221718683603557,0.393446902298444
"3","low","S (S_S)",2,8,-0.323226626590541,-0.151820463836053,0.0196017764557285
"4","low","S (S_S)",3,12,-0.219364041843991,0.190312121639892,0.430214860775907
"5","low","S (S_S)",4,16,-0.801122721873062,-0.508912114163939,-0.230001743448837
"6","low","S (S_S)",5,20,0.0510056698540148,0.382795670285603,0.810521955621643
"7","low","S (S_S)",6,24,-0.548511852039413,-0.107039262950058,0.218638767500263
"8","low","S (S_S)",7,28,-0.763085308330358,-0.225426168116776,0.354430966204997
"9","high","S (S_S)",0,0,0,0,0
"10","high","S (S_S)",1,4,-0.173203351319134,0.0103411408124531,0.20271050723707
"11","high","S (S_S)",2,8,-0.258834889769806,0.0525696749487313,0.332856847067709
"12","high","S (S_S)",3,12,0.241258040514213,0.773719225797978,1.17613665175661
"13","high","S (S_S)",4,16,0.418000916301795,0.888442711365899,1.32053822089132
"14","high","S (S_S)",5,20,0.245674553375822,1.18298318531014,1.75527830722593
"15","high","S (S_S)",6,24,-1.29271504297721,0.30659562424103,0.934129900556509
"16","high","S (S_S)",7,28,-0.984729100702666,1.04386812069136,2.16607980123276
"17","low","S (S_L)",0,0,0,0,0
"18","low","S (S_L)",1,4,-0.0937431059849788,0.00627530333064952,0.127351790393218
"19","low","S (S_L)",2,8,-0.189218666950369,-0.0496361301604915,0.117390665494626
"20","low","S (S_L)",3,12,0.0561235001376231,0.330184333125664,0.601745644075323
"21","low","S (S_L)",4,16,0.236369594648991,0.402680454547863,0.501387719353412
"22","low","S (S_L)",5,20,0.613832640818577,0.849251732491021,1.03967405812318
"23","low","S (S_L)",6,24,0.49277652935708,0.701855308168092,0.838876558240959
"24","low","S (S_L)",7,28,1.05854726925189,1.20866843339634,1.3356569992251
"25","high","S (S_L)",0,0,0,0,0
"26","high","S (S_L)",1,4,-0.116227586245688,0.151958687176642,0.349558102302687
"27","high","S (S_L)",2,8,0.254901424147819,0.555687838506398,0.800598419670537
"28","high","S (S_L)",3,12,0.391949810945319,0.988344625932614,1.3593606018357
"29","high","S (S_L)",4,16,0.036458022423571,0.557455413976777,0.880204108657557
"30","high","S (S_L)",5,20,1.17434249005904,1.54258087483391,1.85532200225892
"31","high","S (S_L)",6,24,0.556367320818029,1.05680174796024,1.33962291218636
"32","high","S (S_L)",7,28,1.22956548543229,1.96343271133081,2.29883338822329
"33","low","L (L_L)",0,0,0,0,0
"34","low","L (L_L)",1,4,-0.319218463227024,0.0385349271523076,0.428423564049945
"35","low","L (L_L)",2,8,0.0480908646110635,0.233567264400083,0.402346382820314
"36","low","L (L_L)",3,12,-0.632166683832229,-0.359279556392135,-0.138744535295188
"37","low","L (L_L)",4,16,-0.408023434447111,-0.101128260557993,0.0734948421061061
"38","low","L (L_L)",5,20,-0.608328014986116,-0.205746494655281,0.0723879680323482
"39","low","L (L_L)",6,24,-0.588600043618658,-0.294151013121694,0.0477978716704085
"40","low","L (L_L)",7,28,-0.706196499911639,-0.49485338132109,-0.218597641762397
"41","high","L (L_L)",0,0,0,0,0
"42","high","L (L_L)",1,4,-0.412936984171972,-0.1417128469166,0.0784156929815369
"43","high","L (L_L)",2,8,-0.0933928831739346,0.11307373069558,0.342379863620287
"44","high","L (L_L)",3,12,-0.572930828498747,-0.164759151463323,0.141047136594991
"45","high","L (L_L)",4,16,-0.723788644557944,-0.332546974623975,-0.0760640073932571
"46","high","L (L_L)",5,20,-0.637860626696096,-0.186917894165053,0.157611558874642
"47","high","L (L_L)",6,24,-0.663582041445405,-0.170313223566554,0.466336004093576
"48","high","L (L_L)",7,28,-0.353320837263477,-0.0853130304323377,0.140752175986928
"49","low","L (S_L)",0,0,0,0,0
"50","low","L (S_L)",1,4,-0.274719653860459,-0.0708623128721967,0.0922431644741353
"51","low","L (S_L)",2,8,-0.192704716545826,0.0674196628995296,0.295143259530691
"52","low","L (S_L)",3,12,-0.423097679443068,-0.166262651254708,0.0379053511116309
"53","low","L (S_L)",4,16,-0.534108217872244,-0.193190363706101,0.0293148111504234
"54","low","L (S_L)",5,20,-0.349228633565772,-0.209186173596375,-0.0423828717446462
"55","low","L (S_L)",6,24,-0.539383474341826,-0.435159540847474,-0.312266012396421
"56","low","L (S_L)",7,28,-0.725040124104261,-0.608795691252213,-0.487563718833723
"57","high","L (S_L)",0,0,0,0,0
"58","high","L (S_L)",1,4,-0.242699809514301,-0.0102124146531675,0.178290216870957
"59","high","L (S_L)",2,8,-0.429454398313198,-0.0877969663981525,0.167338606125148
"60","high","L (S_L)",3,12,-0.483813958724798,-0.252976713516362,-0.0586040109046566
"61","high","L (S_L)",4,16,-0.626004181879996,-0.43948666345645,-0.278052694729479
"62","high","L (S_L)",5,20,-1.0338094789157,-0.568145799427808,-0.251671016490069
"63","high","L (S_L)",6,24,-0.462563732175416,-0.201719184478925,0.0363348445329514
"64","high","L (S_L)",7,28,-0.817837302575205,-0.436460168366586,-0.192468712396664
