"","p_value","delta_AIC"
"1",0.0030226022281592,-7.60327430732423
"2",0.00235867433112531,-8.0993110837403
"3",0.00640711568614414,-6.10069216055444
"4",0.00311395296742209,-7.54372461854791
"5",0.00218315339534185,-8.25396987149315
"6",0.0041424388194793,-6.9729411555154
"7",0.00207714447469453,-8.35352235438722
"8",0.00314507162824791,-7.52383722762306
"9",0.0149903850414953,-4.40069256128027
"10",0.00290633409167015,-7.68172550855797
"11",0.00211837298536101,-8.31421388936315
"12",0.00740235184543838,-5.81191502462798
"13",0.00351551297478676,-7.30113965118926
"14",0.00735166610709419,-5.82565662041679
"15",0.00611968338758029,-6.19248983570333
"16",0.00410964749966644,-6.98883604131333
"17",0.00353040026818232,-7.29268804809044
"18",0.00203564835069894,-8.39388182195535
"19",0.00951124908530448,-5.3105601332868
"20",0.00166646687410241,-8.79409907588069
"21",0.0013618942411527,-9.19775744787466
"22",0.0049144037603558,-6.63116968588793
"23",0.0027121477188408,-7.82002888357647
"24",0.0035608815445917,-7.27549427977374
"25",0.00229088294453262,-8.1576359408582
"26",0.00355011932959088,-7.28154812418097
"27",0.00345680143300782,-7.33482311759826
"28",0.0035851296363577,-7.26192128963021
"29",0.00406766880846026,-7.00937043591921
"30",0.00490670471351517,-6.63430540053287
"31",0.00878774908161722,-5.46879335451013
"32",0.00163365741776775,-8.83386792634928
"33",0.00412004168394714,-6.98378399641797
"34",0.00640440486570462,-6.10153853018528
"35",0.00133547985781039,-9.23692921532347
"36",0.0044167178791357,-6.84471684001846
"37",0.0152787734642607,-4.36258153825838
"38",0.0130090962390306,-4.68421291101868
"39",0.0111312309927381,-4.99600103697276
"40",0.000720288824967164,-10.4717165612078
"41",0.0111973496059455,-4.9841563420232
"42",0.00219481561746959,-8.24331447427221
"43",0.00956452147115487,-5.29938941298815
"44",0.0057644864510802,-6.31207841940159
"45",0.00463671748726425,-6.74749720237196
"46",0.00457447239161009,-6.77452782228647
"47",0.0138868523160396,-4.55362552602583
"48",0.00509188834018724,-6.56021305401191
"49",0.00214188583909795,-8.29213720956614
"50",0.00760392019475594,-5.75818269915453
"51",0.00835480165990646,-5.5698377126123
"52",0.00555955403616486,-6.38447476651891
"53",0.00435104107954485,-6.87468026777015
"54",0.0131226885184515,-4.66682519778806
"55",0.00336342039916347,-7.38959369370332
"56",0.00334807709748963,-7.39873819739205
"57",0.00444824218199896,-6.83049255224842
"58",0.00102655154722743,-9.76310021255131
"59",0.00308410614112404,-7.56298681433282
"60",0.00107372833764579,-9.67323651871038
"61",0.00110049071940784,-9.62399818020413
"62",0.00467444244299429,-6.73129077376916
"63",0.00522422580251904,-6.50889732775295
"64",0.0027193869789737,-7.81469759890479
"65",0.00307339149219609,-7.56994721310548
"66",0.00522622885823037,-6.50813064121121
"67",0.00311787229300329,-7.54120893434037
"68",0.00161557646489483,-8.85612688357924
"69",0.0164851016537332,-4.21059647207858
"70",0.00562823817688859,-6.3599176412763
"71",0.00113422439061604,-9.56361243585707
"72",0.0023209491704931,-8.13155810352055
"73",0.0022699486933597,-8.17599609957688
"74",0.00562825611975422,-6.35991126527142
"75",0.00467283179279704,-6.73198002292247
"76",0.00167681393441048,-8.78171950750266
"77",0.00492655537952546,-6.62623048222986
"78",0.00408630618204258,-7.0002277019471
"79",0.00977829284780408,-5.25518073122248
"80",0.00409421167381308,-6.99636217931356
"81",0.00701979285994395,-5.9180431370205
"82",0.00833045680229567,-5.57567397219236
"83",0.000905761975181497,-10.0134680139772
"84",0.0144260128853613,-4.47744450339405
"85",0.00366868572719421,-7.21584358706878
"86",0.00474293824119725,-6.70219690642716
"87",0.00241518013806878,-8.05196280665314
"88",0.00162678750612775,-8.84229612798072
"89",0.00496594875312055,-6.61030182299646
"90",0.00642717529337888,-6.09444027687778
"91",0.00212432528408473,-8.30860208079139
"92",0.00509301146762882,-6.55977195887408
"93",0.00568077463393866,-6.34133535266665
"94",0.00990961482184281,-5.22849959803989
"95",0.00222443572900515,-8.21650400093722
"96",0.00518448347300594,-6.52417012348224
"97",0.012218046357503,-4.80968242112885
"98",0.00794530719657701,-5.67034762868843
"99",0.00350139201394533,-7.30918934257124
"100",0.00598457906666304,-6.23713854766038
"101",0.00203504212619442,-8.3944775189384
"102",0.00277722265249608,-7.77260779304652
"103",0.00405055236447567,-7.01780404174633
"104",0.00680331245175223,-5.98069132029877
"105",0.00524619130888927,-6.50050586125826
"106",0.0076357597604848,-5.74982567009647
"107",0.00278728781574809,-7.76537253000834
"108",0.00557417571776678,-6.37922165176542
"109",0.00648189659578066,-6.07748425381533
"110",0.0073207057913263,-5.83409707215378
"111",0.00434945404225958,-6.87540989856961
"112",0.00425684955540469,-6.91845186656201
"113",0.0069076784766247,-5.95024332681578
"114",0.00306931058337584,-7.5726046165546
"115",0.00109100669328467,-9.64130887430065
"116",0.00353673215566515,-7.28910419608519
"117",0.00112775888415607,-9.5750458078719
"118",0.00301063056382423,-7.61121146503729
"119",0.00163470408763754,-8.8325869543346
"120",0.00103962030230309,-9.73779945286242
"121",0.00142809789651097,-9.10282372486972
"122",0.0078856647181844,-5.68541752102328
"123",0.00162073927908511,-8.84974577743469
"124",0.00215677451540165,-8.27828290649268
"125",0.00227227812155804,-8.17394474591492
"126",0.00292321485120934,-7.67014258378094
"127",0.00422976129104232,-6.93121943978804
"128",0.00524295268330022,-6.50174090034034
"129",0.0132807998404666,-4.64287181559348
"130",0.00234279826490573,-8.11281844871201
"131",0.00334576248619039,-7.40012132667835
"132",0.00309366860109765,-7.55679528549945
"133",0.00561086033793418,-6.36610242657025
"134",0.00358507991237295,-7.2619490288389
"135",0.00526822134337263,-6.49212495879647
"136",0.00502231446826392,-6.58772880414836
"137",0.00121489166177218,-9.42620074686192
"138",0.00574095463669649,-6.32025953893162
"139",0.00429825786105312,-6.89909097393956
"140",0.00107026423633507,-9.67969942229911
"141",0.00159011492980319,-8.88789796493438
"142",0.00172191257146395,-8.72863929154619
"143",0.00627433271901157,-6.14257627843699
"144",0.000720897564736529,-10.4700270092944
"145",0.00147500178665833,-9.0381921557946
"146",0.00371175918406117,-7.19249868229235
"147",0.00308720803959699,-7.56097628714633
"148",0.00364036574333404,-7.23134224688647
"149",0.00355032607822298,-7.28143165338497
"150",0.00313699632892672,-7.52897904004794
"151",0.00475418236473473,-6.69746110101505
"152",0.00748074317801562,-5.79084627316297
"153",0.00207675488944673,-8.35389750574723
"154",0.00824077567499501,-5.59732160835256
"155",0.00496953525750939,-6.60885790560269
"156",0.00218393172263759,-8.25325696823347
"157",0.00450312773060771,-6.80596614479191
"158",0.00236359859901222,-8.09513998245529
"159",0.00686379265641345,-5.9629902493034
"160",0.00330248142399024,-7.42616229283249
"161",0.0020449777732028,-8.38473671679185
"162",0.00513728355130009,-6.54246166236226
"163",0.00439876686624795,-6.85286207001673
"164",0.000729665797039613,-10.4458478818487
"165",0.00490007189417593,-6.63701080338478
"166",0.00165992579350186,-8.80196476064521
"167",0.00156732141831996,-8.91677443930803
"168",0.00126201637784116,-9.35008907452038
"169",0.000931446915327271,-9.9575427158461
"170",0.00501862241744227,-6.58919960354888
"171",0.00149749132644197,-9.00792804003368
"172",0.00502967821385116,-6.58479854061261
"173",0.0023928881418013,-8.07050843013531
"174",0.00563054173734842,-6.35909923625923
"175",0.00216045672516444,-8.27487126560482
"176",0.00207643685664869,-8.35420380780897
"177",0.00562274858324778,-6.36186932576175
"178",0.00569282857599337,-6.33709608166509
"179",0.00270593250038048,-7.82461738794336
"180",0.0051373721654488,-6.54242716421413
"181",0.0044417466387493,-6.83341518557745
"182",0.00159262967359876,-8.88473749228297
"183",0.00525588203929753,-6.4968148822154
"184",0.00525679314775881,-6.49646821176384
"185",0.00211563264717401,-8.31680277450641
"186",0.0015992506524142,-8.87644020336802
"187",0.00654590403739138,-6.05783152548611
"188",0.00210680821731502,-8.32516233997057
"189",0.00280735876969045,-7.75102235453733
"190",0.00745366274667721,-5.79809944711724
"191",0.00549777532054498,-6.40682351148871
"192",0.00437890968327396,-6.86191103268311
"193",0.00530109110401128,-6.47968522186147
