"file","date","time_point","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00001","13.04.2022","t0",NA,29.44,0.855813953488372,146222.51382,4250.65447151163,95.045238022587,142.974036067987,38.583299970585,17.0879529355013,628.139303703111,432.22567090901,513.816,428.090394425026,0.38975
"sample_00002","13.04.2022","t0",NA,28.872,0.839302325581395,58764.51504,1708.27078604651,69.4722472410105,43.5557835302037,34.9443229319115,14.3275219999473,349.214573746251,252.788134968608,226.70475,236.826606190977,0.46075
"sample_00003","13.04.2022","t0",NA,21.912,0.636976744186047,42617.89404,1238.89226860465,63.8819060370524,57.728886137115,29.5761504363685,13.4555295357318,346.271025032899,262.927662871527,225.166296296296,246.140817031292,0.584444444444444
"sample_00004","13.04.2022","t0",NA,36.12,1.05,83472.19128,2426.51718837209,66.1376373553707,45.6088725011292,31.3231913269751,16.6503921051859,338.574972991425,256.39781678439,194.879183673469,236.809584580776,0.69265306122449
"sample_00005","13.04.2022","t0",NA,26.448,0.768837209302326,32985.29628,958.874891860465,50.2118409302162,27.6720889780212,26.336064825975,10.0709535128141,236.183506077185,225.152587375586,154.269696969697,212.662809211626,0.506363636363636
"sample_00006","13.04.2022","t0",NA,32.112,0.933488372093023,61472.76462,1786.99897151163,60.1150907080939,33.4781814496961,31.8339798924023,16.1113564825256,369.24897839048,297.456212761226,190.699787234043,277.78553366792,0.59
"sample_00007","13.04.2022","t0",NA,36.04,1.04767441860465,80103.11778,2328.57900523256,69.7278724209295,47.8986507192207,34.4970435873904,14.7879413173405,332.154446456972,267.960491862938,209.367777777778,234.934488072438,0.611555555555556
"sample_00008","13.04.2022","t0",NA,33.264,0.966976744186047,62269.66368,1810.16464186047,62.9194992648436,41.9839062544216,31.6572415201811,11.3006263113109,422.242821925235,316.513365781667,287.219423076923,309.226393816883,0.471346153846154
"sample_00009","13.04.2022","t0",NA,32.96,0.958139534883721,136111.75038,3956.73692965116,99.6763404781153,160.397817042537,39.8753398503058,20.9031679943495,473.916318732112,316.990726822563,323.757234042553,313.579976995691,0.376808510638298
"sample_00010","13.04.2022","t0",NA,42.568,1.23744186046512,61712.63478,1793.97194127907,51.984337215038,36.0186289273916,25.6565867207,13.0538963470242,388.8798632077,279.892199121107,163.487076923077,244.843697314756,0.650769230769231
"sample_00011","13.04.2022","t0",NA,36.4,1.05813953488372,93217.11336,2709.79980697674,70.5449634195119,69.0446343711174,32.2516961771941,14.206618775096,429.861015078672,294.234580369377,270.667450980392,253.676745405196,0.547843137254902
"sample_00012","13.04.2022","t0",NA,21.696,0.630697674418605,30148.05744,876.397018604651,51.7674067487889,30.0586627901499,27.2541287980035,13.4321517303032,286.635241794933,247.688773018954,166.503333333333,223.98398744081,0.642666666666667
