"time_point","file","culture_ID","patch_type","bioarea_µm2_per_μL","indiv_per_frame","Ble_indiv_per_frame","Cep_indiv_per_frame","Col_indiv_per_frame","Eug_indiv_per_frame","Eup_indiv_per_frame","Lox_indiv_per_frame","Pau_indiv_per_frame","Pca_indiv_per_frame","Spi_indiv_per_frame","Spi_te_indiv_per_frame","Tet_indiv_per_frame"
0,1,1,"S",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,2,"S",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,3,"S",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,4,"S",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,5,"S",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,6,"M",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,7,"M",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,8,"M",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,9,"M",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,10,"M",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,11,"L",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,12,"L",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,13,"L",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,14,"L",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,15,"L",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,16,"S (S_S)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,17,"S (S_S)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,18,"S (S_S)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,19,"S (S_S)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,20,"S (S_S)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,21,"S (S_S)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,22,"S (S_S)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,23,"S (S_S)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,24,"S (S_S)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,25,"S (S_S)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,26,"M (M_M)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,27,"M (M_M)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,28,"M (M_M)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,29,"M (M_M)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,30,"M (M_M)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,31,"M (M_M)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,32,"M (M_M)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,33,"M (M_M)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,34,"M (M_M)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,35,"M (M_M)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,36,"L (L_L)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,37,"L (L_L)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,38,"L (L_L)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,39,"L (L_L)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,40,"L (L_L)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,41,"L (L_L)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,42,"L (L_L)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,43,"L (L_L)",4251,29,0,0,6,7,1,2,9,0,2,0,0
0,1,44,"L (L_L)",4251,29,0,0,6,7,1,2,9,0,2,0,0
