"","p_value","delta_AIC"
"1",2.87809613128364e-05,-18.2042434348518
"2",3.35075538147125e-11,-46.9360639772303
"3",2.22448111731888e-07,-28.5550223197347
"4",0.000362726563494859,-12.7023665345496
"5",2.49080317691811e-08,-33.1596696609031
"6",2.97416449840061e-06,-23.0615418988768
"7",1.66811839256738e-10,-43.6053112455502
"8",2.61931998924297e-05,-18.4069981499147
"9",3.79663610621039e-07,-27.426419795182
"10",2.51554813965773e-08,-33.1389377033415
"11",0.00697662445407151,-6.10196891742135
"12",6.34975074340315e-09,-36.0216291649558
"13",0.000784235808804052,-11.004810187575
"14",1.21724391360216e-05,-20.052253432109
"15",2.20519510253566e-05,-18.7770832982587
"16",5.63826581313304e-05,-16.7537530187828
"17",0.00047482495060998,-12.1109832632628
"18",0.00369533237205981,-7.54456344597611
"19",5.50190570872049e-05,-16.8066689125471
"20",6.05103833094061e-07,-26.4408161126812
"21",6.07203428159584e-12,-50.472746069589
"22",8.42528307861955e-07,-25.7399616639646
"23",1.26106703505525e-08,-34.5859900663904
"24",5.86761115768112e-09,-36.1867270535599
"25",2.58625970642061e-13,-56.9895664146302
"26",1.82945437378515e-09,-38.6202833752627
"27",2.91940621864476e-08,-32.8266266913574
"28",4.64804696074213e-06,-22.1101786526642
"29",0.00104288480449684,-10.3737271185637
"30",0.000882705538578771,-10.7431782929343
"31",8.53542846126761e-05,-15.85620682032
"32",1.3041891820683e-05,-19.9044051009851
"33",1.9440232335178e-07,-28.8392397655448
"34",5.2177895818202e-05,-16.9212399785638
"35",3.37134654153715e-05,-17.8635724853457
"36",2.6830406373704e-10,-42.6176076847923
"37",9.0572169445891e-06,-20.6851613588674
"38",3.6558723132979e-07,-27.5062422432111
"39",8.0342521786923e-06,-20.9414952487414
"40",0.000240162232559854,-13.6050158803582
"41",1.61710067520263e-08,-34.0651352188415
"42",2.37726566656064e-07,-28.4148850790607
"43",0.000347031755701843,-12.7993590179417
"44",2.04508604935638e-10,-43.1819664920295
"45",4.88454879803335e-09,-36.5699964410264
"46",3.43203701309933e-08,-32.4871631686769
"47",2.39059137928248e-06,-23.5263059733088
"48",3.39757505993338e-07,-27.6610244740045
"49",5.57429483466688e-12,-50.6496437491401
"50",1.11647171809948e-06,-25.1432446600206
"51",0.0534437060907104,-1.32619477086928
"52",0.000646972734407841,-11.4296714023808
"53",8.32746593493074e-09,-35.4545445221856
"54",2.96964031772352e-11,-47.1863256184574
"55",4.08303526092553e-09,-36.9444875933218
"56",3.25163769468016e-08,-32.6004806478782
"57",2.85403648245461e-05,-18.2223138367567
"58",3.39013638705162e-06,-22.7827940622697
"59",1.39523391093808e-09,-39.1853028674882
"60",8.87666978058392e-10,-40.1277021600572
"61",0.0023939316102324,-8.52117103365345
"62",1.88771403073178e-06,-24.0283835491005
"63",0.00166042076616237,-9.33935877762997
"64",3.83877894619092e-05,-17.5836977782974
"65",0.0286977819722026,-2.8171437905221
"66",2.13445332743263e-06,-23.767290847542
"67",9.00981384286952e-06,-20.6963879146692
"68",1.42151117362278e-07,-29.4990069794089
"69",2.77738067939926e-09,-37.7491429866645
