"","file","date","time_point","culture_ID","comment","time","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","25.04.22","t3",1,NA,13,26.608,0.773488372093023,33140.00466,963.372228488372,79.6062812898845,38.5282510550246,30.8277101116917,17.745141150091,355.204642284429,181.655467094155,242.381,225.45057972622,0.534,0,0.0441860465116279,0.0565116279069767,0,0,0,0,0.0195348837209302,0.0390697674418605,0,0
"2","sample_00002","25.04.22","t3",2,NA,13,15.328,0.445581395348837,44023.39146,1279.74975174419,93.6170992754068,47.1151850180728,44.8235092418737,16.3718871135195,339.879475570518,278.710594667405,194.837857142857,269.638810336499,0.567142857142857,0.111860465116279,0.181162790697674,0.155581395348837,0,0.0974418604651163,0,0.063953488372093,0.0123255813953488,0.00627906976744186,0,0
"3","sample_00003","25.04.22","t3",3,NA,13,90.392,2.62767441860465,101822.38974,2959.95319011628,121.026320657993,33.0655870401977,47.4926447126624,12.14270069786,265.689567894166,175.551417476189,203.414285714286,129.708079916844,0.321904761904762,0.0362790697674419,0.376046511627907,0,0,0,0,0.0644186046511628,0,0,0.0290697674418605,0
"4","sample_00004","25.04.22","t3",4,NA,13,116.824,3.39604651162791,127419.47514,3704.05450988372,96.2991343859966,26.7672670897051,44.7752457499718,8.62009401990431,302.474590689504,187.288385538979,227.760909090909,196.503668487616,0.397272727272727,0.00627906976744186,0.145348837209302,0.104651162790698,0,0,0,0,0,0,0,0
"5","sample_00005","25.04.22","t3",5,NA,13,63.336,1.84116279069767,72691.81218,2113.134075,111.020202641946,48.7130632230448,44.2680804162659,20.241762468657,288.210100184198,176.308629954134,117.897,113.907299803046,0.595,0.0290697674418605,0.253953488372093,0,0,0,0,0.11046511627907,0,0.0686046511627907,0,0
"6","sample_00006","25.04.22","t3",6,NA,13,60.792,1.76720930232558,73598.27994,2139.48488197674,113.484094342038,53.2988534195398,43.2203048087739,15.3353878005138,243.024612195468,150.253901697826,159.815789473684,123.991792593062,0.447631578947368,0.170697674418605,0.467674418604651,0,0,0.0558139534883721,0,0,0.0109302325581395,0.0411627906976744,0.0581395348837209,0
"7","sample_00007","25.04.22","t3",7,NA,13,24.464,0.711162790697674,72286.34238,2101.3471622093,97.7447050389598,36.3082904603322,35.9948727263293,18.6146859662399,234.089671573432,120.507376220514,121.739411764706,98.4549031468066,0.698039215686274,0.114651162790698,0.546046511627907,0.0155813953488372,0.0286046511627907,0.0444186046511628,0.0258139534883721,0.00813953488372093,0.0404651162790698,0.176976744186047,0.0290697674418605,0
"8","sample_00008","25.04.22","t3",8,NA,13,86.432,2.51255813953488,83542.13154,2428.55033546512,87.9260651526531,30.5378609349518,42.0111577177557,10.530531384664,217.025843321659,171.820530494338,122.72724137931,146.909631720042,0.57551724137931,0.0665116279069767,0.443953488372093,0.0290697674418605,0,0.0253488372093023,0,0,0.0413953488372093,0,0,0
"9","sample_00009","25.04.22","t3",9,NA,13,80.736,2.34697674418605,71781.80148,2086.6802755814,107.574990433794,19.4735297155031,43.0552207512968,7.20545148502041,227.25944772311,117.638935889482,156.510344827586,101.746686449477,0.376206896551724,0.0290697674418605,0.504418604651163,0.00953488372093023,0,0.0295348837209302,0,0.0411627906976744,0.0290697674418605,0,0,0
"10","sample_00010","25.04.22","t3",10,NA,13,97.736,2.84116279069767,115619.77908,3361.04008953488,120.938408536195,53.815459040438,45.645049329183,11.3872051548539,255.918931169528,164.98374909041,157.188461538462,151.09985348731,0.481025641025641,0.0495348837209302,0.504651162790698,0,0.0274418604651163,0.106046511627907,0.00813953488372093,0.00976744186046512,0.02,0.013953488372093,0.148372093023256,0
"11","sample_00011","25.04.22","t3",11,NA,13,78.192,2.27302325581395,79222.63158,2302.98347616279,107.332507284408,63.7264335429615,44.7464036458201,18.4635450110885,331.157212221518,187.930734098831,236.387346938776,193.416128526203,0.516734693877551,0.155116279069767,0.184883720930233,0.174651162790698,0,0.135581395348837,0,0.0365116279069767,0.0969767441860465,0.0572093023255814,0.0786046511627907,0
"12","sample_00012","25.04.22","t3",12,NA,13,107.192,3.11604651162791,137685.8655,4002.49609011628,113.431202618462,65.2521366805382,45.8610699694985,17.3913101993869,266.131282625662,161.270437900778,124.2226,142.795660438407,0.6458,0.161627906976744,0.366976744186047,0.0869767441860465,0.0383720930232558,0.133023255813953,0,0.0813953488372093,0,0.109767441860465,0.0832558139534884,0
"13","sample_00013","25.04.22","t3",13,NA,13,82.704,2.40418604651163,87994.55736,2557.98131860465,113.982739966888,52.7550342838657,48.2835998933472,12.5068748200275,343.426172412581,178.633814791506,200.798,193.019160536247,0.477142857142857,0.0630232558139535,0.151395348837209,0.0969767441860465,0.0223255813953488,0.092093023255814,0.0223255813953488,0.0558139534883721,0.0688372093023256,0,0.181162790697674,0
"14","sample_00014","25.04.22","t3",14,NA,13,107.648,3.1293023255814,137656.20978,4001.63400523256,104.392966021748,61.8485254162693,41.7434265070843,16.8930403980188,265.510132292466,210.37993430107,180.368846153846,207.751198606928,0.5,0.093953488372093,0.281627906976744,0.0290697674418605,0,0.0290697674418605,0,0,0.0327906976744186,0.0251162790697674,0.0290697674418605,0
"15","sample_00015","25.04.22","t3",15,NA,13,98.192,2.85441860465116,43331.99328,1259.65096744186,112.994542899975,61.5413622248378,48.1371744645587,18.8799707062143,298.656553671499,178.786476079529,155.332666666667,158.361761402636,0.500888888888889,0.273953488372093,0.232790697674419,0.0474418604651163,0,0.141162790697674,0,0.0581395348837209,0.0776744186046512,0.0697674418604651,0.0569767441860465,0
"16","sample_00016","25.04.22","t3",16,NA,13,88.024,2.55883720930233,123431.69934,3588.13079476744,113.31400139941,61.0594886684707,43.5096317779933,21.644528714378,295.964234793908,132.004983934784,178.8925,125.460457017341,0.523333333333333,0.0506976744186047,0.0816279069767442,0.0437209302325581,0,0,0,0.0523255813953488,0,0.0446511627906977,0,0
"17","sample_00017","25.04.22","t3",17,NA,13,81.88,2.38023255813953,71155.61964,2068.47731511628,113.423018440095,62.7113969652279,47.2210523832615,15.6891967547089,324.452166926218,232.22970352985,179.486785714286,199.967815911453,0.528571428571429,0.0551162790697674,0.269302325581395,0.0648837209302326,0,0.0290697674418605,0,0.140232558139535,0,0,0.0544186046511628,0
"18","sample_00018","25.04.22","t3",18,NA,13,77.256,2.24581395348837,79823.0943,2320.4387877907,100.071621212865,57.2754063173094,42.3387053667715,11.4378523975216,328.652629449692,197.484570067086,207.346071428571,181.13004782403,0.465714285714286,0.03,0.288604651162791,0.199767441860465,0,0.0355813953488372,0,0.0576744186046512,0,0,0.0290697674418605,0
"19","sample_00019","25.04.22","t3",19,NA,13,47.184,1.37162790697674,42018.48108,1221.46747325581,94.9274236135911,42.4731377817281,38.6251319888694,15.64081645165,226.427395456707,131.206199534207,122.81,99.8971378795296,0.497916666666667,0.0253488372093023,0.366744186046512,0.037906976744186,0,0,0.0290697674418605,0.0290697674418605,0,0.0425581395348837,0,0
"20","sample_00020","25.04.22","t3",20,NA,13,109.808,3.19209302325581,87614.15058,2546.92298197674,106.631346882681,30.9360824653373,45.2609259116232,10.4329612671254,330.595998728644,237.092189242828,226.516923076923,249.89702469248,0.500769230769231,0.00744186046511628,0.273023255813953,0.0872093023255814,0,0,0,0.0948837209302326,0.0225581395348837,0.0111627906976744,0,0
"21","sample_00021","25.04.22","t3",21,NA,13,129.264,3.75767441860465,117979.63956,3429.64068488372,104.26657613529,31.5990252321471,42.9721503443306,14.0443325454224,332.325548557559,200.040690883661,202.2871875,198.756185770801,0.535625,0,0.313488372093023,0.142790697674419,0,0.0244186046511628,0,0.128372093023256,0.00767441860465116,0.0530232558139535,0,0
"22","sample_00022","25.04.22","t3",22,NA,13,25.936,0.753953488372093,94252.7016,2739.90411627907,69.9446867825974,35.4727356982878,34.288771757677,14.1118527570973,321.322736605541,219.306274413468,189.973333333333,201.907810927,0.45952380952381,0.0406976744186046,0.123720930232558,0.143255813953488,0.0369767441860465,0.0102325581395349,0,0,0,0.00837209302325581,0,0
"23","sample_00023","25.04.22","t3",23,NA,13,11.896,0.345813953488372,40155.15708,1167.30107790698,105.060126467836,39.4961000766816,44.8356303573189,14.3748417952586,340.014137358138,193.073157842919,207.267037037037,200.173089365848,0.37962962962963,0.0646511627906977,0.261627906976744,0.166046511627907,0,0.0934883720930233,0,0.0527906976744186,0,0.0141860465116279,0.0290697674418605,0
"24","sample_00024","25.04.22","t3",24,NA,13,18.736,0.544651162790698,78627.94254,2285.69600406977,84.9494542011867,34.9675661070005,40.104311799284,12.7953013057525,331.165721436454,188.239851535688,185.045,158.968402225096,0.479230769230769,0.0646511627906977,0.206976744186047,0.213255813953488,0,0.0290697674418605,0.0325581395348837,0.0183720930232558,0,0.00674418604651163,0,0
"25","sample_00025","25.04.22","t3",25,NA,13,30.952,0.899767441860465,115137.80802,3347.02930290698,115.175860955339,22.8556457585632,51.8383317356299,10.2906597701576,390.073394655472,216.723905159899,174.283571428571,90.4478887457934,0.318571428571429,0.0290697674418605,0.16,0.0383720930232558,0,0,0,0.0581395348837209,0.026046511627907,0,0,0
