"","file","date","time_point","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","13.04.2022","t0",29.44,0.855813953488372,146222.51382,4250.65447151163,95.045238022587,142.974036067987,38.583299970585,17.0879529355013,628.139303703111,432.22567090901,513.816,428.090394425026,0.38975,0.0290697674418605,0.0123255813953488,0.162790697674419,0.203488372093023,0.0290697674418605,0.0662790697674419,0.268139534883721,0.0102325581395349,0.0744186046511628,0,0
"2","sample_00002","13.04.2022","t0",28.872,0.839302325581395,58764.51504,1708.27078604651,69.4722472410105,43.5557835302037,34.9443229319115,14.3275219999473,349.214573746251,252.788134968608,226.70475,236.826606190977,0.46075,0.16093023255814,0.0290697674418605,0.209302325581395,0.218604651162791,0.0688372093023256,0.0290697674418605,0.0718604651162791,0.0174418604651163,0.00627906976744186,0.0102325581395349,0.0176744186046512
"3","sample_00003","13.04.2022","t0",21.912,0.636976744186047,42617.89404,1238.89226860465,63.8819060370524,57.728886137115,29.5761504363685,13.4555295357318,346.271025032899,262.927662871527,225.166296296296,246.140817031292,0.584444444444444,0.133720930232558,0.0290697674418605,0.0937209302325581,0.0867441860465116,0.0353488372093023,0,0.0316279069767442,0.0227906976744186,0.0623255813953488,0.0290697674418605,0.112558139534884
"4","sample_00004","13.04.2022","t0",36.12,1.05,83472.19128,2426.51718837209,66.1376373553707,45.6088725011292,31.3231913269751,16.6503921051859,338.574972991425,256.39781678439,194.879183673469,236.809584580776,0.69265306122449,0.210232558139535,0.0367441860465116,0.132325581395349,0.174186046511628,0.0844186046511628,0.0581395348837209,0.124418604651163,0.0288372093023256,0.147674418604651,0.023953488372093,0.0290697674418605
"5","sample_00005","13.04.2022","t0",26.448,0.768837209302326,32985.29628,958.874891860465,50.2118409302162,27.6720889780212,26.336064825975,10.0709535128141,236.183506077185,225.152587375586,154.269696969697,212.662809211626,0.506363636363636,0.187674418604651,0.0581395348837209,0.0281395348837209,0.297906976744186,0.0165116279069767,0.0353488372093023,0.0706976744186047,0,0,0,0.0744186046511628
"6","sample_00006","13.04.2022","t0",32.112,0.933488372093023,61472.76462,1786.99897151163,60.1150907080939,33.4781814496961,31.8339798924023,16.1113564825256,369.24897839048,297.456212761226,190.699787234043,277.78553366792,0.59,0.254418604651163,0.171162790697674,0.0916279069767442,0.0758139534883721,0.0623255813953488,0.0290697674418605,0.0730232558139535,0.0123255813953488,0.134651162790698,0,0.0290697674418605
"7","sample_00007","13.04.2022","t0",36.04,1.04767441860465,80103.11778,2328.57900523256,69.7278724209295,47.8986507192207,34.4970435873904,14.7879413173405,332.154446456972,267.960491862938,209.367777777778,234.934488072438,0.611555555555556,0.198139534883721,0.0581395348837209,0.0925581395348837,0.29046511627907,0.0906976744186047,0.116279069767442,0.0834883720930233,0.05,0.0165116279069767,0.0351162790697674,0.0162790697674419
"8","sample_00008","13.04.2022","t0",33.264,0.966976744186047,62269.66368,1810.16464186047,62.9194992648436,41.9839062544216,31.6572415201811,11.3006263113109,422.242821925235,316.513365781667,287.219423076923,309.226393816883,0.471346153846154,0.18953488372093,0.0611627906976744,0.128837209302326,0.172790697674419,0.0662790697674419,0.0325581395348837,0.135348837209302,0.0327906976744186,0.0232558139534884,0.0290697674418605,0.0953488372093023
"9","sample_00009","13.04.2022","t0",32.96,0.958139534883721,136111.75038,3956.73692965116,99.6763404781153,160.397817042537,39.8753398503058,20.9031679943495,473.916318732112,316.990726822563,323.757234042553,313.579976995691,0.376808510638298,0.155116279069767,0.0716279069767442,0.124418604651163,0.107906976744186,0.143255813953488,0.0872093023255814,0.198139534883721,0.0290697674418605,0.0237209302325581,0,0.0176744186046512
"10","sample_00010","13.04.2022","t0",42.568,1.23744186046512,61712.63478,1793.97194127907,51.984337215038,36.0186289273916,25.6565867207,13.0538963470242,388.8798632077,279.892199121107,163.487076923077,244.843697314756,0.650769230769231,0.337209302325581,0.0276744186046512,0.0544186046511628,0.245116279069767,0.0872093023255814,0.0290697674418605,0.143255813953488,0.032093023255814,0.136511627906977,0.0290697674418605,0.115813953488372
"11","sample_00011","13.04.2022","t0",36.4,1.05813953488372,93217.11336,2709.79980697674,70.5449634195119,69.0446343711174,32.2516961771941,14.206618775096,429.861015078672,294.234580369377,270.667450980392,253.676745405196,0.547843137254902,0.255116279069767,0.0144186046511628,0.0830232558139535,0.116279069767442,0.134883720930233,0.086046511627907,0.104418604651163,0,0.03,0.105348837209302,0.128604651162791
"12","sample_00012","13.04.2022","t0",21.696,0.630697674418605,30148.05744,876.397018604651,51.7674067487889,30.0586627901499,27.2541287980035,13.4321517303032,286.635241794933,247.688773018954,166.503333333333,223.98398744081,0.642666666666667,0.226511627906977,0,0.082093023255814,0.1,0.0225581395348837,0.0579069767441861,0.0718604651162791,0,0.0406976744186046,0,0.0290697674418605
