"","file","date","time","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","21.04.22",13,"t2",1,NA,26.608,0.773488372093023,33140.00466,963.372228488372,85.0318952659413,46.2366431712592,36.9235962193198,17.3206410519296,233.347866662342,121.729431781231,127.019347826087,103.713128975012,0.669565217391304,0.156279069767442,0.283953488372093,0.13093023255814,0.0290697674418605,0.0316279069767442,0,0.0441860465116279,0.0132558139534884,0.0930232558139535,0.132558139534884,0
"2","sample_00002","21.04.22",13,"t2",2,NA,15.328,0.445581395348837,44023.39146,1279.74975174419,89.7556366917668,45.5117155432586,35.2871600815134,14.5582489787711,248.378716337547,171.435073659675,187.703333333333,180.539300286091,0.505119047619048,0.296976744186047,0.738604651162791,0.112790697674419,0.236511627906977,0.0637209302325581,0.0376744186046512,0.0446511627906977,0.0430232558139535,0.0872093023255814,0.0290697674418605,0
"3","sample_00003","21.04.22",13,"t2",3,NA,90.392,2.62767441860465,101822.38974,2959.95319011628,85.5293549256199,43.7193587251212,36.8996017784137,15.1080208500645,220.531065260209,122.488454620069,117.557222222222,106.235994911897,0.582777777777778,0.15953488372093,0.298837209302326,0.100697674418605,0,0.04,0,0.0286046511627907,0,0.0155813953488372,0.0937209302325581,0
"4","sample_00004","21.04.22",13,"t2",4,NA,116.824,3.39604651162791,127419.47514,3704.05450988372,93.2017638955744,27.9392896803171,41.3980443806484,11.9501739243727,321.308135986797,169.557720735441,213.108918918919,172.2086660741,0.408378378378378,0.0290697674418605,0.29093023255814,0.21,0.0169767441860465,0.107441860465116,0.0290697674418605,0.0265116279069767,0,0.0290697674418605,0.0290697674418605,0
"5","sample_00005","21.04.22",13,"t2",5,NA,63.336,1.84116279069767,72691.81218,2113.134075,92.0194135772217,51.0956140591457,36.3142713906846,15.2639266730129,259.820042653515,183.573206329184,176.768846153846,184.982071676635,0.626730769230769,0.166744186046512,0.485116279069767,0.156279069767442,0.0290697674418605,0.0358139534883721,0.00674418604651163,0.0188372093023256,0.0072093023255814,0.0772093023255814,0.0290697674418605,0
"6","sample_00006","21.04.22",13,"t2",6,NA,60.792,1.76720930232558,73598.27994,2139.48488197674,120.831550153452,76.3588485233521,44.5535079125278,17.7156276383221,241.77451801066,162.129373821052,169.600476190476,170.506215192526,0.517619047619048,0.236046511627907,0.424418604651163,0,0,0.0353488372093023,0,0,0.076046511627907,0.0418604651162791,0.112093023255814,0
"7","sample_00007","21.04.22",13,"t2",7,NA,24.464,0.711162790697674,72286.34238,2101.3471622093,122.798389756116,94.6175080917015,44.7986013028937,18.179064415275,311.135247886473,196.949972783598,222.498863636364,198.257646665821,0.442727272727273,0.148372093023256,0.455348837209302,0.0406976744186046,0,0.0990697674418605,0.0148837209302326,0.0290697674418605,0.0432558139534884,0.0176744186046512,0.0786046511627907,0
"8","sample_00008","21.04.22",13,"t2",8,NA,86.432,2.51255813953488,83542.13154,2428.55033546512,77.3012112274496,51.7112860989742,36.7797632423567,21.1893301310469,267.863044906222,235.280842125863,200.313396226415,236.868881954223,0.480188679245283,0.459302325581395,0.386976744186046,0.0386046511627907,0,0.0465116279069768,0.0290697674418605,0.0283720930232558,0.0581395348837209,0.0127906976744186,0.0286046511627907,0
"9","sample_00009","21.04.22",13,"t2",9,NA,80.736,2.34697674418605,71781.80148,2086.6802755814,96.4264002992154,51.3319236939724,45.506120117957,19.6910571626299,251.099008019699,184.631137914839,122.14813559322,160.01987733721,0.676101694915254,0.196976744186047,0.573488372093023,0.0286046511627907,0,0.116046511627907,0.0290697674418605,0.0574418604651163,0.04,0.0706976744186047,0.0430232558139535,0
"10","sample_00010","21.04.22",13,"t2",10,NA,97.736,2.84116279069767,115619.77908,3361.04008953488,95.6611707730153,58.0199185500454,44.4595415689612,18.3861234934651,251.486262793778,167.053875574935,104.695454545455,137.729051915887,0.743181818181818,0.171162790697674,0.351395348837209,0.0290697674418605,0,0.190232558139535,0,0,0.0162790697674419,0.096046511627907,0.0581395348837209,0
